chr	pos	lod
Chrom1-5652	1	0	0.0394379726958078
Chrom1-183102	1	1.00000002822922e-07	0.0394379726943015
Chrom1-603629	1	2.00000005645844e-07	0.0394379726928378
Chrom1-761741	1	3.00000008468766e-07	0.0394379726914593
Chrom1-863105	1	0.103471568004863	0.0394364898152304
Chrom1-964613	1	0.103471668004866	0.0394364898138377
Chrom1-1016938	1	0.29823127307677	0.0394337082817202
Chrom1-1069694	1	0.298231373076772	0.0394337077596703
Chrom1-1121619	1	0.761938634387554	0.035541601407445
Chrom1-1172951	1	0.761938734387557	0.0355416014059529
Chrom1-1223030	1	0.76193883438756	0.0355415892054367
Chrom1-1325794	1	1.12247822222867	0.0435503876678496
Chrom1-1390198	1	1.12247832222867	0.0435504089146264
Chrom1-1441272	1	1.5608482569274	0.068696917014293
Chrom1-1492718	1	1.5608483569274	0.0686969230457777
Chrom1-1546098	1	1.5608484569274	0.068696923046133
c1.loc2	1	2	0.0686866007153384
Chrom1-1596723	1	2.37488230695494	0.0686528577319194
Chrom1-1711327	1	2.59177479975153	0.068639563221339
Chrom1-1763616	1	2.59177489975153	0.0686395627650995
Chrom1-1814638	1	2.59177499975153	0.0686395623087179
Chrom1-1872167	1	2.93163406541386	0.06817793497531
Chrom1-1924661	1	3.2714210113261	0.0696225646208148
Chrom1-2027517	1	3.27142111132611	0.069622565314134
Chrom1-2136853	1	3.74661300739908	0.0236551649930732
Chrom1-2187817	1	3.86936961640132	0.0157349215513278
c1.loc4	1	4	0.0151368430663723
Chrom1-2239587	1	4.16994016573716	0.0146737835492701
Chrom1-2291990	1	4.16994026573716	0.0146737833819941
Chrom1-2344686	1	4.5197693826835	0.00917490095179119
Chrom1-2395776	1	4.87048564535907	0.0126847975345896
Chrom1-2446015	1	5.23534709509334	0.0436092639742895
Chrom1-2496728	1	5.23534719509334	0.0436092754009536
Chrom1-2549023	1	5.32624849103758	0.0548093994796233
Chrom1-2650133	1	5.43268963957073	0.0626301325877279
Chrom1-2756385	1	5.6582739067001	0.0770355356416559
c1.loc6	1	6	0.0701687734133003
Chrom1-2807086	1	6.77101698684563	0.0546853690040479
Chrom1-2857437	1	6.77101708684564	0.0546853659817401
Chrom1-2912792	1	6.77101718684564	0.0546853642272538
Chrom1-2965574	1	7.23115784769613	0.0501015699934726
Chrom1-3019235	1	7.48236225482419	0.0317800165560556
Chrom1-3070720	1	7.48236235482419	0.0317800111286601
Chrom1-3122485	1	7.9463985498561	0.012629026055393
Chrom1-3172507	1	7.9463986498561	0.012629026053645
c1.loc8	1	8	0.0153401066614407
Chrom1-3229036	1	8.88687984842846	0.141308069347417
Chrom1-3381594	1	8.88687994842846	0.141308092688405
Chrom1-3432080	1	9.11737529316105	0.141314339680875
Chrom1-3482935	1	9.11737539316105	0.141314339683646
Chrom1-3586241	1	9.11737549316105	0.141314339686303
Chrom1-3800847	1	9.61576382607849	0.101298612548007
Chrom1-3956346	1	9.73747460492996	0.0966394094258902
c1.loc10	1	10	0.189041469410881
Chrom1-4160303	1	10.1513314850335	0.25531669967144
Chrom1-4212527	1	10.1513315850335	0.255316699674268
Chrom1-4372350	1	10.855619093551	0.109292021008883
Chrom1-4538427	1	11.0628943257647	0.0836573333509989
Chrom1-4643471	1	11.8375833438862	0.131849779548645
c1.loc12	1	12	0.152995533095179
Chrom1-4897657	1	12.1220004588309	0.169641395499482
Chrom1-4948517	1	12.1220005588309	0.169641416784657
Chrom1-5056936	1	12.6388664157656	0.220655601124903
Chrom1-5107761	1	12.6388665157656	0.220655609548004
Chrom1-5160796	1	12.6388666157656	0.220655617359441
Chrom1-5213184	1	13.0832233528156	0.306511416736583
Chrom1-5264775	1	13.0832234528156	0.306511453412625
Chrom1-5315439	1	13.0832235528156	0.306511465709761
c1.loc14	1	14	0.333766877890085
Chrom1-5418960	1	14.1012404074118	0.336340879837834
Chrom1-5474279	1	14.1012405074118	0.3363408832179
Chrom1-5525822	1	14.1012406074118	0.336340891573371
Chrom1-5578409	1	14.4944338870687	0.332376983505085
Chrom1-5628901	1	14.8997739657646	0.319499486766404
Chrom1-5679112	1	15.1640255852324	0.430191087691611
Chrom1-5781306	1	15.4484802760875	0.541753856385711
Chrom1-5831406	1	15.4484803760875	0.541753856560419
Chrom1-5882169	1	15.4484804760875	0.541753856735156
c1.loc16	1	16	0.541788812656179
Chrom1-5936223	1	16.0935410285572	0.54179440510454
Chrom1-5987582	1	16.0935411285572	0.541794391006732
Chrom1-6039981	1	16.7382288276951	0.377919034064334
Chrom1-6094232	1	16.7382289276951	0.377919056895891
Chrom1-6144233	1	16.7382290276951	0.377919060370303
Chrom1-6318649	1	17.6098727589947	0.458668351138925
Chrom1-6369443	1	17.6098728589947	0.458668359239681
Chrom1-6420980	1	17.6098729589947	0.458668367340408
Chrom1-6523782	1	17.8970247699018	0.556471995377862
c1.loc18	1	18	0.563531887672966
Chrom1-6629073	1	18.1264280110141	0.571490518443085
Chrom1-6679388	1	18.1264281110141	0.571490522403494
Chrom1-6782046	1	18.7007566422192	0.747690130186896
Chrom1-6833788	1	18.9065784435635	0.75658749727431
Chrom1-6891522	1	19.0515741996239	0.77361898961108
Chrom1-6942777	1	19.5270202672787	0.815046788395918
c1.loc20	1	20	0.874324615211862
Chrom1-6994230	1	20.0519922909055	0.878841985838534
Chrom1-7046610	1	20.0519923909055	0.878842004003346
