chr	pos	lod
Chrom6-113053991	6	70.6448067326139	3.86106509715786
Chrom6-113158052	6	71.1027055688265	3.97041806565834
Chrom6-113260337	6	71.3565204081214	3.95494172559957
Chrom6-113313990	6	71.3616637504543	3.9532995183083
Chrom6-113494390	6	71.9464462340902	3.84248416257267
Chrom6-113599149	6	71.9464463340902	3.8424841282148
c6.loc72	6	72	3.83145696977611
Chrom6-113707234	6	72.1770964905507	3.79314637637091
Chrom6-113811553	6	73.0643362620003	3.87196227693293
Chrom6-113914390	6	73.0643363620003	3.87196227693296
Chrom6-113965828	6	73.0643364620003	3.87196227693298
Chrom6-114016508	6	73.0643365620003	3.87196228050877
Chrom6-114068701	6	73.0643366620003	3.87196220870335
Chrom8-7445	8	0	7.42477538766718
Chrom8-243832	8	1.00000002822922e-07	7.42477538792208
Chrom8-706453	8	0.13033932651705	7.38969044003815
Chrom8-809383	8	0.130339426517053	7.38969043553067
Chrom8-860567	8	0.50434702352013	7.92871842770636
Chrom8-916061	8	0.535002899129933	7.9303543124185
Chrom8-967460	8	1.14321343282798	7.84658497703755
Chrom8-1017714	8	1.14321353282799	7.84658495397101
Chrom8-1069979	8	1.14321363282799	7.84658496535806
Chrom8-1204806	8	1.81501476545355	8.2104312981555
Chrom8-1255399	8	1.81501486545356	8.21043134157702
c8.loc2	8	2	8.28949474091271
Chrom8-1391034	8	2.12180437439786	8.33996932114178
Chrom8-1453558	8	2.25071722339409	8.31421186281901
Chrom8-1557094	8	2.30849519664491	8.2529120346496
Chrom8-1670903	8	2.72022386850786	8.49266014730112
Chrom8-1723240	8	2.72022396850787	8.49266016546352
Chrom8-1773352	8	2.72022406850787	8.49266016573761
Chrom8-1901458	8	3.14834646532374	8.43902039158306
Chrom8-2003156	8	3.22744065123091	8.41830907853243
Chrom8-2056322	8	3.56816171215157	9.5730280721844
Chrom8-2109818	8	3.56816181215158	9.57302834973375
Chrom8-2159897	8	3.56816191215158	9.57302839321694
c8.loc4	8	4	10.198626909873
Chrom8-2213088	8	4.42262194311178	10.5924483738132
Chrom8-2264545	8	4.42262204311178	10.592448449967
Chrom8-2315267	8	4.42262214311179	10.592448481542
Chrom8-2416517	8	4.6315812319131	11.2313995027741
Chrom8-2520969	8	4.83997419003871	10.895301436655
Chrom8-2622795	8	5.27410409109928	11.2970470579541
Chrom8-2820307	8	5.27410419109928	11.2970470676812
Chrom8-3013566	8	5.27410429109928	11.2970471106668
Chrom8-3178199	8	5.88754992328386	10.5612739377129
Chrom8-3233334	8	5.88755002328386	10.5612737408912
Chrom8-3287505	8	5.88755012328386	10.5612737435944
c8.loc6	8	6	10.5733221132319
Chrom8-3338267	8	6.05702121175024	10.5783747365224
Chrom8-3390545	8	6.3944881399706	10.5936022392791
Chrom8-3443071	8	6.3944882399706	10.5936022400609
Chrom8-3625470	8	7.49668893382306	11.0091636553667
Chrom8-3727778	8	7.49668903382306	11.0091636782775
Chrom8-3779417	8	7.49668913382306	11.009163702838
