chr	pos	lod
Chrom2-93112369	2	76.1280582771657	3.50140929957934
Chrom2-94667168	2	76.2306787976794	3.50140929957934
Chrom2-97022457	2	76.333297394968	3.50140929957934
Chrom2-99596652	2	76.333297494968	3.50140929957934
Chrom2-101551991	2	76.4359160914477	3.50140929957934
Chrom2-107015396	2	76.5385363943961	3.50140929957934
Chrom2-117320155	2	76.6411558290937	3.50140929957934
Chrom2-118312936	2	76.7437750462366	3.50140929957934
Chrom2-119294796	2	76.8463940466421	3.50140929957934
Chrom2-119731832	2	76.9490130465707	3.50140929957934
Chrom2-119924209	2	77.0515453186473	3.50140929957936
Chrom2-128902024	2	77.1881962331702	3.55256929026939
Chrom6-73270	6	0	10.9165463555476
Chrom6-129067	6	1.00000002822922e-07	10.916546356011
Chrom6-181093	6	2.00000005645844e-07	10.9165463564745
Chrom6-231178	6	3.00000008468766e-07	10.9165463569379
Chrom6-336857	6	0.142888806526717	9.73526914359482
Chrom6-391127	6	0.14288890652672	9.73526835873625
Chrom6-507884	6	0.142889006526723	9.73526757388817
Chrom6-717185	6	0.142889106526726	9.73526757388817
Chrom6-827419	6	0.24640024268566	9.73526757388817
Chrom6-879492	6	0.246400342685662	9.73526757388817
Chrom6-930925	6	0.401036503906482	9.73526757388814
Chrom6-981010	6	0.401036603906485	9.73526757388817
Chrom6-1041076	6	0.401036703906488	9.73526757388814
Chrom6-1315788	6	0.555481851187793	9.73526757388817
Chrom6-1591152	6	0.970043466301647	10.4990735973191
Chrom6-1704506	6	0.97004356630165	10.4990737342059
Chrom6-1856576	6	1.09107225500776	10.6320128342306
Chrom6-1959797	6	1.63604158147202	9.9089972359304
Chrom6-2013476	6	1.95698856839003	9.49484524029876
c6.loc2	6	2	9.40814707048369
Chrom6-2116314	6	2.01729888024157	9.37147009305693
Chrom6-2273738	6	2.51924632266273	9.44471483340755
Chrom6-2375622	6	2.77406982610984	9.47446992973858
Chrom6-2433430	6	2.77406992610985	9.47446994039032
Chrom6-2598284	6	3.25034837984214	9.48284997023671
Chrom6-2763924	6	3.48847204290306	9.45009102427812
Chrom6-2867802	6	3.71978283969091	9.45879980112787
Chrom6-2920772	6	3.86163927187879	9.45879980112781
Chrom6-2971046	6	3.86163937187879	9.45879980112787
Chrom6-3073307	6	3.8616394718788	9.45879982068402
c6.loc4	6	4	9.75624768199941
Chrom6-3177492	6	4.31105527017933	10.1877952056556
Chrom6-3292422	6	4.411092702964	10.3220342925536
Chrom6-3343495	6	5.01773564678791	11.2819986243276
Chrom6-3395469	6	5.36482860481246	11.8153056347794
Chrom6-3449893	6	5.36482870481246	11.8153056784753
Chrom6-3557058	6	5.83248005047386	11.8533900022648
c6.loc6	6	6	11.8577492057554
Chrom6-3659787	6	6.12377503075363	11.8577266400922
Chrom6-3768149	6	6.31045455914472	11.8524474541216
Chrom6-3819694	6	6.31045465914472	11.8524474813066
Chrom6-3871865	6	6.70920358332416	12.6335613773859
Chrom6-3979303	6	7.44831772108912	13.19488522273
Chrom6-4030167	6	7.44831782108913	13.1948852156619
Chrom6-4134050	6	7.79123726115418	13.1496309343194
Chrom6-4185289	6	7.79123736115419	13.1496310197363
Chrom6-4287717	6	7.9856346024176	13.2948341470005
c6.loc8	6	8	13.3310278559599
Chrom6-4343022	6	8.31263333136983	13.9367518686745
Chrom6-4397163	6	8.57162938617707	14.2297343392662
Chrom6-4448805	6	8.57162948617707	14.229734319998
Chrom6-4605791	6	9.16173149323558	13.7354754382729
Chrom6-4657266	6	9.16173159323558	13.7354754394657
Chrom6-4757587	6	9.71650089817456	12.6079527931408
Chrom6-4810911	6	9.71650099817456	12.6079525604043
c6.loc10	6	10	12.5025479133631
Chrom6-4962302	6	10.4164992978407	12.0746174812319
Chrom6-5020730	6	10.4164993978407	12.0746174752264
Chrom6-5227053	6	11.1033593162009	11.4315096588386
Chrom6-5280222	6	11.2041671771479	11.4315096588385
Chrom6-5647729	6	11.4417479682122	10.5020604025112
Chrom6-5751007	6	11.9636755089479	9.98267916179523
Chrom6-5801565	6	11.9636756089479	9.9826790377744
Chrom6-5851898	6	11.9636757089479	9.9826789111554
c6.loc12	6	12	9.98013152150546
Chrom6-6007371	6	12.8615824058296	9.53380491375862
Chrom6-6061231	6	12.8615825058296	9.53380486835519
Chrom6-6225256	6	13.1688362142265	9.53380486835519
Chrom6-6275705	6	13.1688363142265	9.53380488878128
Chrom6-6384796	6	13.8952121974912	9.25960648570779
Chrom6-6437612	6	13.8952122974912	9.25960648570779
c6.loc14	6	14	9.2472425957582
Chrom6-6597375	6	14.4123768153272	9.03897231791734
Chrom6-6648202	6	14.5366516131979	9.03897231791734
Chrom6-6750259	6	14.9661531756631	9.09747839004257
Chrom6-6800747	6	14.9661532756631	9.09747836211767
Chrom6-6904345	6	15.6509737141548	8.935384185326
Chrom6-6954373	6	15.6509738141548	8.93538418532592
c6.loc16	6	16	9.12779566534877
Chrom6-7056419	6	16.2015357807524	9.11910531584078
Chrom6-7106949	6	16.2015358807524	9.11910528810321
Chrom6-7260338	6	17.2652035061135	8.16208389404488
Chrom6-7363382	6	17.2652036061135	8.16208386943029
Chrom6-7417027	6	17.9420343078368	7.51943801143639
c6.loc18	6	18	7.47804816913649
Chrom6-7521953	6	18.4244745240047	7.04768597764232
Chrom6-7636574	6	18.5524463561422	6.5648600993606
Chrom6-7798277	6	18.7036273449325	6.56486009936066
Chrom6-7964580	6	18.8727922290534	6.56486009936066
Chrom6-8066554	6	19.0374582184706	6.60546225988173
Chrom6-8168820	6	19.5151027377392	6.50018763228184
Chrom6-8223410	6	19.7580353507228	6.38414556244098
c6.loc20	6	20	6.38414548395576
Chrom6-8332167	6	20.1365838945175	6.38414556244092
Chrom6-8437215	6	20.5261348426906	6.1162247757602
Chrom6-8553196	6	20.9060288304123	5.74011234732589
Chrom6-8606754	6	20.9060289304123	5.7401122858686
Chrom6-8666408	6	20.9937751096111	5.67906850961725
Chrom6-8774367	6	21.6638061861047	5.28138842796977
