chr	pos	lod
Chrom1-5652	1	0	0.628749552157565
Chrom1-183102	1	1.00000002822922e-07	0.628749551963104
Chrom1-603629	1	2.00000005645844e-07	0.62874955176872
Chrom1-761741	1	3.00000008468766e-07	0.628749551574352
Chrom1-863105	1	0.103471568004863	0.628547928199261
Chrom1-964613	1	0.103471668004866	0.628547916224178
Chrom1-1016938	1	0.29823127307677	0.604422569831975
Chrom1-1069694	1	0.298231373076772	0.604422565515435
Chrom1-1121619	1	0.761938634387554	0.564832309263949
Chrom1-1172951	1	0.761938734387557	0.564832309266237
Chrom1-1223030	1	0.76193883438756	0.564832301971293
Chrom1-1325794	1	1.12247822222867	0.304054785051832
Chrom1-1390198	1	1.12247832222867	0.304054732689224
Chrom1-1441272	1	1.5608482569274	0.297691399887391
Chrom1-1492718	1	1.5608483569274	0.297691398313262
Chrom1-1546098	1	1.5608484569274	0.297691396739182
c1.loc2	1	2	0.290265758724111
Chrom1-1596723	1	2.37488230695494	0.283182222813501
Chrom1-1711327	1	2.59177479975153	0.278801866672914
Chrom1-1763616	1	2.59177489975153	0.27880187807893
Chrom1-1814638	1	2.59177499975153	0.278801889484939
Chrom1-1872167	1	2.93163406541386	0.317012351573098
Chrom1-1924661	1	3.2714210113261	0.351758850297735
Chrom1-2027517	1	3.27142111132611	0.351758859713421
Chrom1-2136853	1	3.74661300739908	0.369795506365037
Chrom1-2187817	1	3.86936961640132	0.373189533304242
c1.loc4	1	4	0.376153612298701
Chrom1-2239587	1	4.16994016573716	0.378970241022984
Chrom1-2291990	1	4.16994026573716	0.378970255855698
Chrom1-2344686	1	4.5197693826835	0.290333542792069
Chrom1-2395776	1	4.87048564535907	0.204452355575576
Chrom1-2446015	1	5.23534709509334	0.244785425820211
Chrom1-2496728	1	5.23534719509334	0.24478542932578
Chrom1-2549023	1	5.32624849103758	0.207747994484642
Chrom1-2650133	1	5.43268963957073	0.1879932668134
Chrom1-2756385	1	5.6582739067001	0.225912590282256
c1.loc6	1	6	0.233784115948218
Chrom1-2807086	1	6.77101698684563	0.250911521701006
Chrom1-2857437	1	6.77101708684564	0.250911521795878
Chrom1-2912792	1	6.77101718684564	0.250911524065003
Chrom1-2965574	1	7.23115784769613	0.247305802943785
Chrom1-3019235	1	7.48236225482419	0.215189874066994
Chrom1-3070720	1	7.48236235482419	0.215189862328693
Chrom1-3122485	1	7.9463985498561	0.134820424961227
Chrom1-3172507	1	7.9463986498561	0.134820418533749
c1.loc8	1	8	0.130920830966296
Chrom1-3229036	1	8.88687984842846	0.0878796715723169
Chrom1-3381594	1	8.88687994842846	0.0878796697758801
Chrom1-3432080	1	9.11737529316105	0.087884162823137
Chrom1-3482935	1	9.11737539316105	0.0878841628250839
Chrom1-3586241	1	9.11737549316105	0.0878841628269456
Chrom1-3800847	1	9.61576382607849	0.106265603332929
Chrom1-3956346	1	9.73747460492996	0.116905045555868
c1.loc10	1	10	0.124479179605416
Chrom1-4160303	1	10.1513314850335	0.129580873344032
Chrom1-4212527	1	10.1513315850335	0.129580873345958
Chrom1-4372350	1	10.855619093551	0.137553271496785
Chrom1-4538427	1	11.0628943257647	0.134811946322628
Chrom1-4643471	1	11.8375833438862	0.293269078996495
c1.loc12	1	12	0.323869089323018
Chrom1-4897657	1	12.1220004588309	0.347792772447498
Chrom1-4948517	1	12.1220005588309	0.347792799451184
Chrom1-5056936	1	12.6388664157656	0.370643287114731
Chrom1-5107761	1	12.6388665157656	0.370643288048477
Chrom1-5160796	1	12.6388666157656	0.370643282507444
Chrom1-5213184	1	13.0832233528156	0.444637003954782
Chrom1-5264775	1	13.0832234528156	0.44463703394868
Chrom1-5315439	1	13.0832235528156	0.444637033949334
c1.loc14	1	14	0.47090737488405
Chrom1-5418960	1	14.1012404074118	0.473134840878409
Chrom1-5474279	1	14.1012405074118	0.47313485141602
Chrom1-5525822	1	14.1012406074118	0.473134861953341
Chrom1-5578409	1	14.4944338870687	0.538806384722633
Chrom1-5628901	1	14.8997739657646	0.618031895641558
Chrom1-5679112	1	15.1640255852324	0.640876837608651
Chrom1-5781306	1	15.4484802760875	0.888365008717471
Chrom1-5831406	1	15.4484803760875	0.888365095609046
Chrom1-5882169	1	15.4484804760875	0.888365107333399
c1.loc16	1	16	0.888345822401035
Chrom1-5936223	1	16.0935410285572	0.888343079108367
Chrom1-5987582	1	16.0935411285572	0.888343077973076
Chrom1-6039981	1	16.7382288276951	0.926669441831557
Chrom1-6094232	1	16.7382289276951	0.926669444642698
Chrom1-6144233	1	16.7382290276951	0.926669444638208
Chrom1-6318649	1	17.6098727589947	0.9403992953401
Chrom1-6369443	1	17.6098728589947	0.940399300839069
Chrom1-6420980	1	17.6098729589947	0.9403993168985
Chrom1-6523782	1	17.8970247699018	0.987839972226453
c1.loc18	1	18	1.0050613661758
Chrom1-6629073	1	18.1264280110141	1.02588733904307
Chrom1-6679388	1	18.1264281110141	1.02588735829578
Chrom1-6782046	1	18.7007566422192	1.36579746796377
Chrom1-6833788	1	18.9065784435635	1.41548388350428
Chrom1-6891522	1	19.0515741996239	1.44787895961448
Chrom1-6942777	1	19.5270202672787	1.68204102411864
c1.loc20	1	20	1.85030925132246
Chrom1-6994230	1	20.0519922909055	1.86679914329347
Chrom1-7046610	1	20.0519923909055	1.86679913790005
Chrom1-7098549	1	20.6219415147693	1.90568432855861
Chrom1-7150657	1	20.8907858828773	1.90408497794598
Chrom1-7201632	1	20.8907859828773	1.90408497558492
Chrom1-7267012	1	21.4748075447272	1.99274990863258
Chrom1-7373428	1	21.9419675765868	1.97641213351044
c1.loc22	1	22	1.98670058943921
Chrom1-7535262	1	22.1133534802102	2.00582317578854
Chrom1-7638676	1	22.1133535802102	2.00582319207718
Chrom1-7798435	1	22.2476391396362	2.23935934931924
Chrom1-7917007	1	22.2476392396362	2.23935936512435
Chrom1-8080770	1	22.493879116791	2.39729360418733
Chrom1-8133986	1	22.493879216791	2.39729360414462
Chrom1-8190487	1	22.65744863269	2.26553086155251
Chrom1-8315433	1	22.65744873269	2.26553075860235
Chrom1-8418313	1	22.9880906363023	2.06093143902223
Chrom1-8519661	1	23.1990511379591	2.0608422575333
Chrom1-8570618	1	23.1990512379591	2.06084225749066
Chrom1-8620754	1	23.1990513379591	2.06084225744743
c1.loc24	1	24	2.15909762181508
Chrom1-8723314	1	24.0351135343336	2.16395781067483
Chrom1-8824762	1	24.8715986109492	2.17831282293042
Chrom1-8880536	1	24.8715987109492	2.17831281045389
Chrom1-8939823	1	24.8715988109492	2.17831282822532
Chrom1-9041782	1	25.4670509154335	2.15550881758327
Chrom1-9094942	1	25.6763342193412	2.2406643179798
Chrom1-9146814	1	25.6763343193412	2.24066436114149
c1.loc26	1	26	2.43887089034595
Chrom1-9202503	1	26.547780744899	2.7575619323206
Chrom1-9313638	1	26.547780844899	2.75756197397031
Chrom1-9363831	1	26.547780944899	2.75756202260293
Chrom1-9465395	1	27.0707766700726	2.81437130864847
Chrom1-9519090	1	27.199406856907	2.82015375176454
Chrom1-9620268	1	27.3292516514762	2.82267214752682
Chrom1-9676126	1	27.3292517514762	2.82267219203041
Chrom1-9783173	1	27.6684541469588	2.97289889263316
Chrom1-9833757	1	27.7452713696009	3.04363453408515
Chrom1-9887020	1	27.9064613311172	3.09366639789741
c1.loc28	1	28	3.16632494557798
Chrom1-9995779	1	28.4398393590234	3.48992473363563
Chrom1-10054696	1	28.8004175017485	4.07112356723866
Chrom1-10105268	1	28.8004176017485	4.07112370790145
Chrom1-10158658	1	28.8004177017485	4.0711237538998
Chrom1-10264368	1	29.8206639275874	4.28164902630571
Chrom1-10314433	1	29.8206640275874	4.28164899864693
c1.loc30	1	30	4.46442813174605
Chrom1-10469547	1	30.0442358693533	4.49722780008487
Chrom1-10782470	1	30.2594592018528	4.52486512050355
Chrom1-11002572	1	30.5246015150964	5.03709161946629
Chrom1-11282337	1	31.3436613870164	5.61569987516447
Chrom1-11581340	1	31.5432559709027	5.68442046076673
Chrom1-11734526	1	31.7431112777533	5.62978140690284
c1.loc32	1	32	5.6820585334269
Chrom1-11888825	1	32.4219039912082	5.72207253640325
Chrom1-12010387	1	32.4219040912082	5.7220725259648
Chrom1-12113892	1	32.8386390639686	5.69394549661174
Chrom1-12164327	1	33.578721464302	6.52682977689028
Chrom1-12215819	1	33.6235232290978	6.55314782142235
c1.loc34	1	34	6.72586343796704
Chrom1-12266909	1	34.0070192051692	6.72879185131692
Chrom1-12370910	1	34.2727225599418	6.72879185131686
Chrom1-12522284	1	34.3820431104492	6.72879185131645
Chrom1-12628489	1	34.5878426884874	6.79569011021459
Chrom1-12745616	1	34.5878427884874	6.79569011021459
Chrom1-12902338	1	34.5878428884874	6.79569011021457
