chr	pos	lod
Chrom1-111013441	1	52.8013454098666	3.49676021769781
Chrom1-111116026	1	52.8013455098666	3.49676029917526
Chrom1-111217315	1	52.8013456098666	3.49676029917698
Chrom1-112330121	1	53.0064672089632	3.49676029917526
Chrom1-113008060	1	53.4327321036604	3.47019541991671
Chrom1-113112203	1	53.5259597454316	3.47762931793092
Chrom1-113167329	1	53.6283327857229	3.44704711471545
Chrom1-114409403	1	55.3756180131636	3.49925491302731
Chrom1-114511994	1	55.3756181131636	3.49925499993019
Chrom1-114772670	1	55.4771437345352	3.49925499993196
c1.loc56	1	56	3.73382378878588
Chrom1-115029927	1	56.0830419889183	3.73526665493991
Chrom1-115134316	1	56.2012352646029	3.73526665493988
Chrom1-115245443	1	56.4068580400199	3.87818028484801
Chrom1-115349709	1	56.4068581400199	3.87818028484814
Chrom1-115551454	1	56.5346424590995	3.62700192452562
Chrom1-115606027	1	56.9216474397811	3.41985464222569
Chrom1-115716576	1	56.9216475397811	3.41985461955592
Chrom1-116034887	1	57.0244710514173	3.41985461955589
Chrom2-136800537	2	87.4376648736552	3.50922919901885
Chrom2-136855359	2	87.4376649736552	3.5092292324979
Chrom2-136913106	2	87.4376650736552	3.50922925498682
Chrom2-136965746	2	87.4376651736552	3.50922927777329
Chrom2-137018255	2	87.4376652736552	3.50922930056116
Chrom2-137070126	2	87.9079729453656	3.45337776149525
c2.loc88	2	88	3.43981530406545
Chrom2-140364507	2	97.2255892486529	3.79150698142617
Chrom2-140422511	2	97.3435860986665	3.49034056314063
Chrom2-140536613	2	97.3435861986665	3.49034031048058
c2.loc100	2	100	3.44166855081774
Chrom2-142147923	2	100.287735682909	3.49696467446857
Chrom2-142198991	2	100.287735782909	3.49696471918354
Chrom2-142302906	2	100.751884790284	4.12539162179174
Chrom2-142354237	2	100.909074492943	4.18699271812878
Chrom2-142514983	2	100.909074592943	4.18699270908999
Chrom2-142669933	2	100.909074692943	4.18699274199847
Chrom2-142829756	2	101.603275970857	4.08785660429622
Chrom2-142931685	2	101.77267143141	4.23848663260924
Chrom2-143085728	2	101.77267153141	4.23848672399292
Chrom2-143241505	2	101.901442098068	4.25230453330019
c2.loc102	2	102	4.27664504685829
Chrom2-143343491	2	102.396570840844	4.26541594556195
Chrom2-143448004	2	102.396570940844	4.26541595442525
Chrom2-143548343	2	102.396571040844	4.26541596329665
Chrom2-143627017	2	102.396575350692	4.26541634599924
Chrom2-143790374	2	102.528868211963	4.27441875866954
Chrom2-143986729	2	102.528868311963	4.27441875975276
c2.loc104	2	104	4.1914686149097
Chrom2-157952042	2	105.559638436039	3.85261220197148
Chrom2-158008701	2	105.559638536039	3.8526122043162
Chrom2-158111591	2	105.559638636039	3.85261220961225
Chrom2-158164507	2	105.559638736039	3.85261221489884
Chrom2-158322042	2	105.559638836039	3.85261223156226
c2.loc106	2	106	3.93177928662847
Chrom2-158422866	2	106.016435402762	3.93211332968768
Chrom2-158472943	2	106.016435502762	3.9321133431287
Chrom2-158593127	2	106.188562011176	3.80724837964361
Chrom2-158644541	2	106.353490877545	3.82646803968268
Chrom2-158696738	2	106.353490977545	3.82646802070816
Chrom2-158849784	2	106.802023419621	3.73929163865682
Chrom2-159004427	2	107.02405807135	4.14282483196725
Chrom2-159359365	2	107.322228147189	4.15362631542298
Chrom2-159724787	2	107.466714278892	4.15704036311055
Chrom2-159932239	2	107.466714378892	4.15704036463652
Chrom2-159982557	2	107.84196424874	4.23209756535202
c2.loc108	2	108	4.26461926097379
Chrom2-160099085	2	108.220687393173	4.3119373476555
Chrom2-160315233	2	108.350689675813	4.31039395813571
Chrom2-160418714	2	108.803723272914	4.04342367011702
Chrom2-160471701	2	108.803723372915	4.0434236688883
Chrom2-160522934	2	109.099798261523	4.0779179560011
Chrom2-160624334	2	109.428457615619	4.10279270972124
Chrom2-160682453	2	109.428457715619	4.10279274482255
Chrom2-160784200	2	109.910813051744	4.05942757176628
Chrom2-160880356	2	109.910813151744	4.05942753190119
Chrom2-160933992	2	109.910813251744	4.05942747722068
c2.loc110	2	110	4.06444412514243
Chrom2-160984977	2	110.526660008141	4.02834976774548
Chrom2-161041513	2	110.526660108141	4.02834977230731
Chrom2-161092343	2	110.74500236095	4.01334688903435
Chrom2-161193549	2	110.74500246095	4.01334685811101
Chrom2-161243994	2	110.74500256095	4.01334685386857
Chrom2-161294747	2	111.211915063897	3.83872250408646
Chrom2-161354783	2	111.225022375517	3.8347009974643
Chrom2-161405166	2	111.712504889907	3.96651666836247
c2.loc112	2	112	4.0317608657404
Chrom2-161455676	2	112.216801021874	4.07197800389702
Chrom2-161558395	2	112.318618714532	4.07197800389747
Chrom2-161822025	2	112.420929298492	4.07197800389723
Chrom2-162140650	2	112.730484631628	3.96619869266534
Chrom2-162241985	2	112.730484731628	3.96619863934615
Chrom2-162653500	2	112.730484831628	3.84342428355876
Chrom8-103202417	8	65.5599109226313	3.41920481158685
Chrom8-103257615	8	65.5599110226313	3.41920481823603
Chrom8-103363153	8	65.5599111226313	3.41920481956734
c8.loc66	8	66	3.41406340022276
Chrom8-103674741	8	67.0191642400613	3.62696349580303
Chrom8-103779407	8	67.1760821201384	3.60756980449429
Chrom8-103938310	8	67.4209596211129	3.81957084639372
Chrom8-104042782	8	67.4423494308111	3.81582193253134
c8.loc68	8	68	3.64977157627875
Chrom8-104093808	8	68.0620082971552	3.6242937059787
Chrom8-104194049	8	68.4033502783048	3.58482074555492
Chrom8-104255524	8	69.6280318863425	3.4217603285331
Chrom8-104306559	8	69.6280319863425	3.42176033782496
c8.loc70	8	70	3.45006497905972
Chrom8-104409546	8	70.2120052156594	3.43555237887924
Chrom8-104463295	8	70.2120053156594	3.43555233985508
Chrom8-106365948	8	75.2029686948748	3.53544513450204
Chrom8-106418837	8	75.2952813574722	3.50377779133551
Chrom8-107223367	8	79.1668757384837	3.47048832528048
Chrom8-107380743	8	79.632175892836	3.52671308256609
Chrom8-107441145	8	79.7393486167085	3.52187954966666
Chrom8-107503569	8	79.8005377410812	3.53331627134557
c8.loc80	8	80	3.4643177739799
Chrom8-107553887	8	80.0835014939268	3.4171069370919
Chrom8-107846210	8	80.9781773093965	3.52572289893101
Chrom8-107898797	8	80.9781774093965	3.52572289390577
Chrom8-107959685	8	81.3407554378357	3.46684535230168
Chrom8-108013020	8	81.8465903617004	3.40912999303212
Chrom8-108063415	8	81.8465904617004	3.40912997425269
Chrom8-108113427	8	81.8465905617004	3.40912995547274
Chrom8-108170548	8	81.8465906617004	3.40912993005418
Chrom8-108686093	8	82.9775419870272	3.47163932638809
Chrom8-108994208	8	83.2618024864814	3.41094867994683
Chrom8-109378693	8	84.6793330650557	3.46809751212349
Chrom8-109431169	8	84.6793331650557	3.46809749157603
Chrom8-109598573	8	84.6793332650557	3.46809749166314
Chrom8-109657468	8	84.6793333650558	3.46809749187874
Chrom8-109708330	8	84.6793334650558	3.46809749209423
Chrom8-109963987	8	84.6793335650558	3.46809749230968
Chrom8-110015317	8	84.6793336650558	3.46809749252519
