trait	model	alpha	n_qtl	best_chr	best_pos	best_lod	selected_int	pve	covariate_only_pve	total_qtl_pve	log_file
INFA	normal	0.05	2	1	90	8.97639707425736	NA	28.3913048257516	6.27742649478369	22.1138783309679	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_INFA_20260513_122832.log
CAL	normal	0.05	0	NA	NA	NA	NA	NA	NA	NA	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_CAL_20260513_122837.log
VEFN	binary	0.05	0	NA	NA	NA	NA	NA	NA	NA	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_VEFN_20260513_122837.log
VNG	binary	0.05	1	6	8.57162938617707	31.0468478658406	NA	66.7231586214796	3.68585428983393	63.0373043316456	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_VNG_20260513_122837.log
RALA	normal	0.05	1	6	8.57162938617707	13.0250031823902	NA	38.9788994205457	3.93295510544963	35.0459443150961	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_RALA_20260513_122842.log
RAST	normal	0.05	1	6	8.57162938617707	14.2917631091865	NA	41.0851874765867	1.69758362515769	39.387603851429	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_RAST_20260513_122846.log
COL	normal	0.05	2	6	18.4244745240047	7.86837243201765	NA	40.6792607540896	17.9735117468776	22.7057490072121	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_COL_20260513_122851.log
COLL	normal	0.05	2	6	18.8727922290534	5.80423642524266	NA	26.7079419968415	4.94368261737371	21.7642593794678	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_COLL_20260513_122856.log
STAE	normal	0.05	3	3	60.8471573645268	5.84693780258047	NA	33.1815901514043	2.57616957119168	30.6054205802126	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_STAE_20260513_122901.log
TUA	normal	0.05	1	7.5	20.8467839601848	5.02778035985557	NA	10.5869671582806	0.0391896682046755	10.547777490076	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_TUA_20260513_122907.log
STATL	normal	0.05	1	2	38.1277540239129	9.19682870483868	NA	51.6293280535455	41.0295765958182	10.5997514577274	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_STATL_20260513_122911.log
LABL	normal	0.05	2	6	18.5524463561422	9.87346554983668	NA	37.3931954697996	13.9117946419893	23.4814008278103	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_LABL_20260513_122916.log
LABW	normal	0.05	4	2	71.6764905869214	6.94523796401998	NA	46.2883272917345	7.87236883774818	38.4159584539864	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_LABW_20260513_122921.log
CLL	normal	0.05	1	8	41.0816556290401	5.914166404409	NA	13.4842524674847	1.70554068226272	11.778711785222	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_CLL_20260513_122927.log
STAL	normal	0.05	1	6	18.8727922290534	7.98861056511302	NA	27.4977064800136	13.9699322964463	13.5277741835673	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_STAL_20260513_122932.log
STAW	normal	0.05	2	2	94.6579119819928	8.78422511814772	NA	36.0578364467534	12.2588820885616	23.7989543581918	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_STAW_20260513_122936.log
ANL	normal	0.05	1	2	46.0799576438947	4.52533425437018	NA	18.3477230932607	9.96420416029976	8.38351893296097	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_ANL_20260513_122941.log
ANW	normal	0.05	0	NA	NA	NA	NA	NA	NA	NA	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_ANW_20260513_122946.log
STIW	normal	0.05	0	NA	NA	NA	NA	NA	NA	NA	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_STIW_20260513_122946.log
STYL	normal	0.05	0	NA	NA	NA	NA	NA	NA	NA	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_STYL_20260513_122947.log
VFN	normal	0.05	1	1	57.4352752360499	5.52920256947334	NA	11.4264215850329	0.843806189016272	10.5826153960166	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_VFN_20260513_122947.log
FNSC	normal	0.05	1	3	29.6112555610807	4.9796377142307	NA	9.75740296938857	0.0270231527163656	9.73037981667221	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_FNSC_20260513_122953.log
EFNSC40	normal	0.05	1	2	79.5	5.79584224282189	NA	15.4453936443704	0.0155997563082821	15.4297938880621	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/qtl_log_EFNSC40_20260513_122958.log
