chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-4576623	9.36943198962067	2.62506269727533
chr2	lod_1.5	Chrom2-11436320	24.6458396999835	4.19746947758489
chr2	lod_1.5	Chrom2-14562741	30.659403044976	2.37121311684746
chr2	lod_2	Chrom2-3896824	8.21172986843419	2.0738049790134
chr2	lod_2	Chrom2-11436320	24.6458396999835	4.19746947758489
chr2	lod_2	Chrom2-15041390	31.7515297290852	2.05294010404452
chr2	bayes	Chrom2-6090649	13.0984114735212	3.21338248754904
chr2	bayes	Chrom2-11436320	24.6458396999835	4.19746947758489
chr2	bayes	Chrom2-14382139	29.8651962069567	3.29447477839636
chr1	lod_1.5	Chrom1-112330121	53.0064672089632	3.81894201604138
chr1	lod_1.5	Chrom1-117959962	57.4352752360499	5.52920256947334
chr1	lod_1.5	Chrom1-124526980	61.8614668315148	4.01297174441999
chr1	lod_2	Chrom1-110853266	52.3048591120826	3.42270985572657
chr1	lod_2	Chrom1-117959962	57.4352752360499	5.52920256947334
chr1	lod_2	Chrom1-124793447	62.5018674117262	3.48927385133953
chr1	bayes	Chrom1-111217315	52.8013456098666	3.54480806871118
chr1	bayes	Chrom1-117959962	57.4352752360499	5.52920256947334
chr1	bayes	Chrom1-124743220	62.3675882887131	3.72293762867309
