chr	pos	lod
Chrom2-922294	2	0.80647517795362	3.77347616240519
c2.loc2	2	2	3.92967740298468
Chrom2-1340325	2	2.21798435598771	4.16118691194129
Chrom2-1396160	2	2.39027566795576	4.17886824118631
Chrom2-1452395	2	2.64944085570836	4.47231638105978
Chrom2-1561233	2	2.90924106507422	4.71775807441747
Chrom2-1670354	2	3.09313857806797	4.74392307229215
Chrom2-1722267	2	3.32497117482492	4.7423141169582
Chrom2-1772571	2	3.46108108976558	4.62626631348314
Chrom2-2037270	2	3.73728049394073	4.49183460059243
c2.loc4	2	4	4.49262181878868
Chrom2-2373770	2	4.42289266838883	4.49230406683733
Chrom2-2427998	2	4.42289276838883	4.49230395885968
Chrom2-2529679	2	4.98073073565203	3.89664567701789
Chrom2-2581054	2	4.98073083565203	3.89664567926962
Chrom2-2632994	2	4.98073093565203	3.89664568152136
Chrom2-2683121	2	5.3553334537152	3.91767772599343
Chrom2-2736558	2	5.3553335537152	3.91767772961327
Chrom2-2839292	2	5.79789972218197	3.91481847336701
Chrom2-2919626	2	5.79789982218198	3.91481847060095
c2.loc6	2	6	4.03978117621512
Chrom2-3181097	2	6.21256944877326	4.14444924702008
Chrom2-4683565	2	9.56201796903387	4.40525472414123
c2.loc10	2	10	4.43296087607462
Chrom2-4785190	2	10.6672008029204	4.27621174837418
Chrom2-4886118	2	10.6672009029204	4.27621172272808
Chrom2-5048280	2	10.6672010029204	4.27621169708181
Chrom2-5105895	2	10.9293506053382	4.27691105872515
Chrom2-5156989	2	11.3246133397476	4.23605285823322
Chrom2-5207209	2	11.3246134397476	4.23605285850147
Chrom2-5260899	2	11.3246135397476	4.23605285876965
Chrom2-5364959	2	11.3246136397476	4.23605285903767
Chrom2-5517692	2	11.4986849506841	4.23652040736624
Chrom2-5576049	2	11.6747718850906	4.23699500102134
Chrom2-5677501	2	11.6747719850906	4.23699501561447
c2.loc12	2	12	4.71705166377063
Chrom2-5780035	2	12.2963680734076	5.07955045568934
Chrom2-5830452	2	12.7178771056742	5.27782942088834
Chrom2-5936760	2	13.0984112735212	5.18066771020403
Chrom2-5987173	2	13.0984113735212	5.18066770950054
Chrom2-6090649	2	13.0984114735212	5.18066770835304
Chrom2-6257901	2	13.6668192155023	5.14974444176403
Chrom2-6477608	2	13.9979689761637	5.14291913153397
c2.loc14	2	14	5.14286907387179
Chrom2-6584184	2	14.3277657448572	5.13353403506017
Chrom2-6789180	2	14.3277658448572	5.13353403184226
Chrom2-7001375	2	14.4455994219425	4.90961544333561
Chrom2-7179644	2	15.1238849387807	4.53072642182519
Chrom2-7231931	2	15.1238850387807	4.53072641294386
Chrom2-7352083	2	15.4061297446635	4.5507158892002
Chrom2-7407433	2	15.8322979522546	4.02400203184004
Chrom2-7513697	2	15.8322980522546	4.0240018499855
Chrom2-7621070	2	15.8322981522546	4.02400177866468
c2.loc16	2	16	3.99047427859244
Chrom2-42768288	2	67.6401645431762	3.78054587500196
c2.loc72	2	72	3.81412000404941
Chrom2-47452871	2	72.137237807417	3.83820975902705
Chrom2-47557091	2	72.137237907417	3.83820968222153
Chrom2-47777410	2	72.8008380911237	3.82015754316984
Chrom2-47879994	2	73.1945095311221	3.81839120255694
Chrom2-47930938	2	73.1945096311221	3.81839126252243
Chrom2-48035691	2	73.6637322578618	4.04223885583286
Chrom2-48208735	2	73.6637323578618	4.04223885583286
Chrom2-48691029	2	73.6637324578618	4.04223885583286
Chrom2-48834267	2	73.6637325578618	4.04223885583286
Chrom2-48987447	2	73.6637326578619	4.04223885583286
Chrom2-49352451	2	73.7663689482425	4.09342138962938
Chrom2-49559363	2	73.8687301593115	4.09342138962944
c2.loc74	2	74	4.09342132343289
Chrom2-50336763	2	74.0745478491326	4.09342138962938
Chrom2-50440628	2	74.0745479491326	4.09342138962938
Chrom2-50980348	2	74.0745480491326	4.09342138962938
Chrom2-51413438	2	74.2803668686467	4.08958715127221
Chrom2-52126773	2	74.3827259833609	4.08554493697062
Chrom2-52319337	2	74.3827260833609	4.08554493697062
Chrom2-54412830	2	74.4853442484743	3.95558350291822
Chrom2-54516602	2	74.5877037562761	4.02911327795135
Chrom2-54884360	2	74.7935259478462	4.55854042863996
Chrom2-55089747	2	74.9993481388811	4.64663121387048
Chrom2-67092948	2	75.1018369871025	4.64663121387048
Chrom2-71219895	2	75.1529292929099	4.64663121387048
Chrom2-73410888	2	75.2041164005814	4.64663121387048
Chrom2-76412602	2	75.3068658083616	4.72689490996993
Chrom2-77167831	2	75.4094837506587	4.72689490996993
Chrom2-77371168	2	75.4094838506587	4.72689490996993
Chrom2-78533456	2	75.4094839506587	4.72689490996993
Chrom2-80576007	2	75.5121016786054	4.67531326211349
Chrom2-86794839	2	75.6145909009599	4.8131852893186
Chrom2-89054996	2	75.7688259088432	4.72129368356508
Chrom2-89657524	2	75.922733454419	4.32957356717765
Chrom2-90299153	2	75.922733554419	4.32957356717765
c2.loc76	2	76	4.41847700827469
Chrom2-91447276	2	76.0254379734429	4.44714769356216
Chrom2-93112369	2	76.1280582771657	4.31866396780856
Chrom2-94667168	2	76.2306787976794	4.44699440976399
Chrom2-97022457	2	76.333297394968	4.56815506070194
Chrom2-99596652	2	76.333297494968	4.56815506070194
Chrom2-101551991	2	76.4359160914477	4.56815506070194
Chrom2-107015396	2	76.5385363943961	4.67205805534314
Chrom2-117320155	2	76.6411558290937	4.67205805534314
Chrom2-118312936	2	76.7437750462366	4.63924643741603
Chrom2-119294796	2	76.8463940466421	4.63924643741603
Chrom2-119731832	2	76.9490130465707	4.63924643741609
Chrom2-119924209	2	77.0515453186473	4.74833480888651
Chrom2-128902024	2	77.1881962331702	4.74175762929798
Chrom2-129054640	2	77.4628937185688	5.47845051183521
Chrom2-129165232	2	77.4628938185688	5.47845066213989
Chrom2-129625143	2	77.4628939185688	5.47845066213984
Chrom2-129740274	2	77.6169868048368	5.55732494143575
Chrom2-129791481	2	77.7708200289383	5.54072222156384
Chrom2-129947911	2	77.7708201289383	5.54072222156384
Chrom2-130519794	2	77.8736106711385	5.52859935148558
Chrom2-131226038	2	77.9758396873618	5.1750040426715
c2.loc78	2	78	5.17327965959549
Chrom2-131381449	2	78.2333850415289	5.15458625513691
Chrom2-131549992	2	78.4908309259213	5.15458625513691
Chrom2-131809095	2	78.632124667842	5.1958319529864
Chrom2-131965415	2	78.8629036010556	5.17923812922049
Chrom2-132178593	2	79.0035053889088	4.91631290465966
Chrom2-132290069	2	79.0035054889088	4.91631262784654
Chrom2-132979028	2	79.4171779716228	4.92940594213513
Chrom2-133030668	2	79.4171780716228	4.92940593543454
Chrom2-133082194	2	79.5949373306512	4.9294059354346
Chrom2-133134422	2	79.7727346424314	4.9294059354346
Chrom2-133185053	2	79.7727347424314	4.92940593543454
c2.loc80	2	80	4.97940151781319
Chrom2-133352929	2	80.172573737938	5.02243910632023
Chrom2-133506154	2	80.6261618224741	4.75716959957145
Chrom2-133608381	2	80.9307036281882	4.59771657893992
Chrom2-133764594	2	81.0641825630283	4.51994429346001
Chrom2-133865537	2	81.2563223026542	4.51994429346001
Chrom2-134079434	2	81.2854918849755	4.48071340031061
Chrom2-134234252	2	81.5086372207932	4.12974318804851
Chrom2-134336818	2	81.5086373207932	4.12974298212777
c2.loc82	2	82	4.16458849861255
Chrom2-134388056	2	82.0278820070425	4.1662726398647
Chrom2-134438542	2	82.0278821070425	4.16627264691283
Chrom2-134539563	2	82.2762399682389	4.15768177041474
Chrom2-134591599	2	82.4260178099331	4.15254119721283
Chrom2-134642084	2	82.5759620964861	4.14743798002883
Chrom2-134797489	2	82.757613595853	4.14132802607583
Chrom2-134847924	2	83.0300515546092	4.20294797407524
Chrom2-134901296	2	83.4407117596792	4.22418185414489
c2.loc84	2	84	4.28012792763246
Chrom2-134951512	2	84.0455507040014	4.27959707294144
Chrom2-135002204	2	84.0455508040014	4.27959716018643
Chrom2-135053052	2	84.0455509040014	4.27959724584741
Chrom2-135155193	2	84.6585610835185	4.54443418093581
Chrom2-135205619	2	84.6585611835185	4.54443418655836
Chrom2-135312497	2	84.9821365196784	4.54443418655831
Chrom2-135482189	2	84.9821366196785	4.54443418655831
Chrom2-135692297	2	85.0846653519718	4.54443418655836
Chrom2-135795279	2	85.2560206999177	4.54364340836759
Chrom2-135949750	2	85.4269838129565	4.52991069537427
Chrom2-136164117	2	85.6557947271046	4.54226990597232
Chrom2-136266969	2	85.807386890739	4.54493319298183
c2.loc86	2	86	4.28009055555486
Chrom2-136375809	2	86.1131841748897	4.08866330451048
Chrom2-136589033	2	86.3288446045896	4.08010313978701
Chrom2-136800537	2	87.4376648736552	4.04017084549793
Chrom2-136855359	2	87.4376649736552	4.04017084102742
Chrom2-136913106	2	87.4376650736552	4.04017083733379
Chrom2-136965746	2	87.4376651736552	4.04017085746437
Chrom2-137018255	2	87.4376652736552	4.04017087759502
Chrom2-137070126	2	87.9079729453656	4.05051842136209
c2.loc88	2	88	4.04210784194311
Chrom2-137135995	2	88.6669584585271	3.81981874955937
Chrom2-137197250	2	88.6669585585271	3.81981872019287
Chrom2-137308328	2	88.6669586585271	3.81981869082637
Chrom2-137359435	2	89.0616244488405	3.79235371628408
Chrom2-137665304	2	89.0616245488405	3.79235368176307
Chrom2-137717373	2	89.0616246488405	3.79235372373148
Chrom2-137768489	2	89.6037855528476	3.80134945294327
Chrom2-137821131	2	89.9233779355627	3.800756105235
Chrom2-137871250	2	89.9233780355627	3.80075610507538
c2.loc90	2	90	3.80202899767119
Chrom2-138073989	2	90.4773780304623	3.82442835853931
Chrom2-138132192	2	91.2193006668245	3.81582667202014
Chrom2-138183446	2	91.2193007668245	3.81582667098519
Chrom2-138236215	2	91.2193008668245	3.81582666995024
Chrom2-138287393	2	91.2193009668245	3.81582666995041
Chrom2-138341727	2	91.5599821479392	3.82434745830705
c2.loc92	2	92	3.80049895424071
Chrom3-7817773	3	14.493402658655	3.83629527915127
Chrom3-7875722	3	14.493402758655	3.83629527366207
Chrom3-8086481	3	15.0988946879327	4.49070419454949
Chrom3-8300255	3	15.4304376008213	4.49070419454949
c3.loc16	3	16	4.18783775580243
Chrom3-8458417	3	16.3317241951743	3.98396887641985
Chrom3-8508780	3	16.7745814076907	4.09883346315655
Chrom3-8559330	3	16.7745815076907	4.09883347739469
Chrom3-8615214	3	16.7745816076907	4.09883350880915
Chrom3-8824118	3	17.1762395460885	4.37634951354079
Chrom3-9045767	3	17.4429582496924	4.34472162132812
Chrom3-9146673	3	17.4429583496924	4.34472158570804
c3.loc18	3	18	4.33722248093869
Chrom3-9254158	3	18.1031006114511	4.31243196249449
Chrom3-9308254	3	18.2376127624151	4.25349974148753
Chrom3-9468381	3	18.581961280163	4.18087588696721
Chrom3-9519188	3	18.581961380163	4.1808758764459
Chrom3-9569889	3	18.9080246733443	4.05538570705289
Chrom3-9627625	3	19.5516427850073	3.89504645504064
c3.loc20	3	20	3.90832015504503
Chrom3-9678570	3	20.1353745911176	3.90797478352272
Chrom3-9839372	3	20.5184162188586	4.01914659840531
Chrom3-10082179	3	20.5184163188586	4.01914650673484
Chrom3-10542479	3	21.4664187462384	3.86965211128103
