chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-12015573	25.3189802638361	5.11411331468321
chr2	lod_1.5	Chrom2-18358950	38.1277540239129	6.81241657892781
chr2	lod_1.5	Chrom2-18832578	39.2974645971716	5.29529975950427
chr2	lod_2	Chrom2-8250900	17.8931139644137	4.64533953444246
chr2	lod_2	Chrom2-18358950	38.1277540239129	6.81241657892781
chr2	lod_2	Chrom2-23161770	42.4326536454264	3.62560009039436
chr2	bayes	Chrom2-9951860	21.2915418990313	5.18789839436954
chr2	bayes	Chrom2-18358950	38.1277540239129	6.81241657892781
chr2	bayes	Chrom2-23161770	42.4326536454264	3.62560009039436
chr6	lod_1.5	Chrom6-5851898	11.9636757089479	6.19247856622553
chr6	lod_1.5	Chrom6-7521953	18.4244745240047	7.86837243201765
chr6	lod_1.5	Chrom6-109501058	59.387413222563	5.92284779782378
chr6	lod_2	Chrom6-5020730	10.4164993978407	5.61195354732908
chr6	lod_2	Chrom6-7521953	18.4244745240047	7.86837243201765
chr6	lod_2	Chrom6-109712605	59.5181558938976	5.68715993110973
chr6	bayes	Chrom6-5647729	11.4417479682122	6.19844448115154
chr6	bayes	Chrom6-7521953	18.4244745240047	7.86837243201765
chr6	bayes	Chrom6-109501058	59.387413222563	5.92284779782378
