chr	pos	lod
Chrom4-294403	4	0	4.83562273197288
Chrom4-449194	4	1.00000002822922e-07	4.83562273207212
Chrom4-878760	4	2.00000005645844e-07	4.83562273217143
Chrom4-556194	4	3.00000008468766e-07	4.83562273227074
Chrom4-777952	4	4.00000011291688e-07	4.83562273229069
Chrom4-724456	4	5.0000001411461e-07	4.83562273231058
Chrom4-18807	4	6.00000016937532e-07	4.83562273233059
Chrom4-674377	4	7.00000019760454e-07	4.83562273235049
Chrom4-192751	4	8.00000022583376e-07	4.83562273237038
Chrom4-608699	4	9.00000025406298e-07	4.83562273239039
Chrom4-398021	4	1.00000002822922e-06	4.83562273241091
Chrom4-929301	4	0.268193322754636	4.83567466864321
Chrom4-987818	4	0.535871340374083	5.06390152930408
Chrom4-1105696	4	0.535871440374086	5.06390161194116
Chrom4-1054735	4	0.535871540374089	5.06390161200318
Chrom4-1209962	4	0.95328631156839	5.06415928034244
Chrom4-1158406	4	0.953286411568393	5.06415928040434
Chrom4-1313334	4	1.22956162526039	5.06432665049351
Chrom4-1414400	4	1.22956172526039	5.06432665055371
Chrom4-1471295	4	1.2295618252604	5.06432665061402
Chrom4-1543167	4	1.2295619252604	5.06432666255529
Chrom4-1594414	4	1.79544014738965	5.0325579361018
c4.loc2	4	2	5.04724502596355
Chrom4-1696624	4	2.0641165796382	5.04710072214692
Chrom4-1749121	4	2.4693762312902	4.99354930862899
Chrom4-1915354	4	2.4693763312902	4.99354931027915
Chrom4-1862458	4	2.4693764312902	4.99354935212574
Chrom4-2183942	4	2.9203601963729	5.1542469869683
Chrom4-2080230	4	2.9203602963729	5.15424698702435
Chrom4-2132765	4	2.9203603963729	5.15424698708119
Chrom4-2233943	4	3.42045794336328	5.27891118387731
Chrom4-2286647	4	3.83344884367456	5.82640223138611
Chrom4-2449114	4	3.83344894367456	5.82640235185113
Chrom4-2398186	4	3.83344904367457	5.82640235189746
c4.loc4	4	4	5.83224824482613
Chrom4-2552618	4	4.04686256344954	5.8338575656569
Chrom4-2609617	4	4.04686266344955	5.8338575690737
Chrom4-2718368	4	4.52629569308872	5.50024327921159
Chrom4-2770682	4	4.52629579308873	5.50024318543751
Chrom4-2661805	4	4.52629589308873	5.5002431887155
Chrom4-2932057	4	4.88039623773484	5.31897730838796
Chrom4-2988823	4	4.88039633773485	5.31897731140833
Chrom4-2881053	4	4.88039643773485	5.31897731443212
Chrom4-3047272	4	5.59116600836567	5.82810963684153
Chrom4-3147791	4	5.59116610836568	5.82810963245618
Chrom4-3203204	4	5.75428622195748	6.20914243100827
c4.loc6	4	6	6.38013807117306
Chrom4-3364144	4	6.01216782853793	6.38426574116141
Chrom4-3476373	4	6.20165161107983	6.58525981403244
Chrom4-3628628	4	6.6040143419735	6.59141985754292
Chrom4-3944090	4	7.13063189903886	6.59148702739657
Chrom4-3892624	4	7.13063199903886	6.59148702740794
Chrom4-3995080	4	7.45752533840427	6.59152136794393
Chrom4-4047248	4	7.45752543840427	6.59152136795336
Chrom4-4203621	4	7.78009363091359	6.59154965076692
c4.loc8	4	8	6.66729881791275
Chrom4-4261417	4	8.1021040053948	6.65515930376341
Chrom4-4368463	4	8.1021041053948	6.65515927710328
Chrom4-4311885	4	8.10210420539481	6.65515928275289
Chrom4-4478319	4	8.42769442609774	6.67146356599449
Chrom4-4528833	4	8.42769452609775	6.6714635703508
Chrom4-4581175	4	8.78874015957531	6.99845944631636
Chrom4-4632167	4	9.07096087028569	7.01474544726324
Chrom4-4682806	4	9.15483620593127	7.10707998848579
Chrom4-4939746	4	9.59439646997815	7.03781304514371
Chrom4-4837838	4	9.59439656997815	7.03781304811946
Chrom4-4786840	4	9.59439666997815	7.03781305109464
Chrom4-4735437	4	9.59439676997816	7.03781305407165
Chrom4-4992388	4	9.97287964320203	7.11299383649771
c4.loc10	4	10	7.12236100128217
Chrom4-5147442	4	11.607996249247	7.05810041464133
Chrom4-5256462	4	11.607996349247	7.05810041482863
Chrom4-5198038	4	11.607996449247	7.05810041501593
Chrom4-5095853	4	11.6079965492471	7.05810041520346
Chrom4-5310537	4	11.8116442976674	7.05674844344497
c4.loc12	4	12	7.05040911934725
Chrom4-5363427	4	12.4128677389317	7.01985251711722
Chrom4-5465190	4	12.6820339268685	6.6588281797496
Chrom4-5566558	4	12.9851272657353	6.67084547608761
Chrom4-5515458	4	12.9851273657353	6.67084548001299
Chrom4-5828052	4	13.4083689291682	7.30125886541543
Chrom4-5616622	4	13.4083690291682	7.30125886570374
c4.loc14	4	14	7.42406745065222
Chrom4-5986395	4	14.1021428112526	7.43164376979075
Chrom4-5932985	4	14.1021429112526	7.43164374458581
Chrom4-6201986	4	14.4469579316961	7.58774191087338
Chrom4-6144118	4	14.4469580316961	7.58774191116731
Chrom4-6092143	4	14.4469581316961	7.58774191146159
Chrom4-6378012	4	14.8110516505403	7.3858099055447
Chrom4-6483257	4	15.5092106341939	6.65635552815866
