chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-102296993	49.7147151884736	2.28143183667155
chr1	lod_1.5	Chrom1-110853266	52.3048591120826	4.0581479425754
chr1	lod_1.5	Chrom1-124526980	61.8614668315148	1.20447048895659
chr1	lod_2	Chrom1-18511464	42.2189446302547	1.90980171917076
chr1	lod_2	Chrom1-110853266	52.3048591120826	4.0581479425754
chr1	lod_2	Chrom1-124526980	61.8614668315148	1.20447048895659
chr1	bayes	Chrom1-103361357	49.8173387571623	2.69549959152116
chr1	bayes	Chrom1-110853266	52.3048591120826	4.0581479425754
chr1	bayes	Chrom1-123567103	61.4481945915442	3.10876885260808
chr8	lod_1.5	Chrom8-13376083	35.0250532494458	5.78943244502478
chr8	lod_1.5	Chrom8-38038103	40.5679102737759	7.80903273545438
chr8	lod_1.5	Chrom8-38356098	40.7733458704726	7.80903273545438
chr8	lod_1.5	Chrom8-38467862	40.7733459704726	7.80903273545438
chr8	lod_1.5	Chrom8-40191569	40.8760939238291	7.80903273545438
chr8	lod_1.5	Chrom8-40515877	40.8760940238291	7.80903273545438
chr8	lod_1.5	Chrom8-44276226	41.0816554290401	7.80903273545438
chr8	lod_1.5	Chrom8-44440966	41.0816555290401	7.80903273545438
chr8	lod_1.5	Chrom8-84936295	42.3156153195737	4.26448526824902
chr8	lod_2	Chrom8-13376083	35.0250532494458	5.78943244502478
chr8	lod_2	Chrom8-38038103	40.5679102737759	7.80903273545438
chr8	lod_2	Chrom8-38356098	40.7733458704726	7.80903273545438
chr8	lod_2	Chrom8-38467862	40.7733459704726	7.80903273545438
chr8	lod_2	Chrom8-40191569	40.8760939238291	7.80903273545438
chr8	lod_2	Chrom8-40515877	40.8760940238291	7.80903273545438
chr8	lod_2	Chrom8-44276226	41.0816554290401	7.80903273545438
chr8	lod_2	Chrom8-44440966	41.0816555290401	7.80903273545438
chr8	lod_2	Chrom8-84936295	42.3156153195737	4.26448526824902
chr8	bayes	Chrom8-13532250	35.7380312179653	6.49022206905511
chr8	bayes	Chrom8-38038103	40.5679102737759	7.80903273545438
chr8	bayes	Chrom8-84093539	41.6974416005708	6.51839057405719
chr9	lod_1.5	Chrom9-78403	0	4.89315943360332
chr9	lod_1.5	c9.loc8	8	6.10665792653272
chr9	lod_1.5	Chrom9-5230136	11.3788157836196	4.41175425897425
chr9	lod_2	Chrom9-78403	0	4.89315943360332
chr9	lod_2	c9.loc8	8	6.10665792653272
chr9	lod_2	Chrom9-5447972	11.9519805916177	4.04721410757121
chr9	bayes	Chrom9-78403	0	4.89315943360332
chr9	bayes	c9.loc8	8	6.10665792653272
chr9	bayes	Chrom9-4078838	8.16515661702292	5.85124792355104
