chr	pos	lod
c1.loc38	1	38	3.46419902568327
Chrom1-15996245	1	38.1528814033053	3.53413318689896
Chrom1-16098601	1	38.2893537580596	3.49937393021425
Chrom1-17634061	1	40.8436629437429	4.63257075147554
Chrom1-17737887	1	41.2155531349241	4.98611258184579
Chrom1-17845954	1	41.5868001923233	5.29352690744339
Chrom1-18053208	1	41.5868002923233	5.29352690819843
Chrom1-18203714	1	41.7092201463062	5.29352690819843
Chrom1-18306263	1	41.9301021841797	5.29352690819843
Chrom1-18409583	1	41.9859968783154	5.29352690819839
c1.loc42	1	42	5.29517967826513
Chrom1-18511464	1	42.2189446302547	5.32035565997053
Chrom1-18663582	1	42.8243675219366	5.17075754264548
Chrom1-18824405	1	43.1871229709535	5.17075754264552
Chrom1-18875865	1	43.2553394337504	5.19812874216423
Chrom1-18925875	1	43.3995390716731	5.16505454394417
Chrom1-19027847	1	43.5435414288201	5.0012679589326
Chrom1-19181536	1	43.7492656739006	4.91264188120343
Chrom1-19283131	1	43.9548355031532	4.82492731055335
c1.loc44	1	44	4.82492779925592
Chrom1-19663347	1	44.1602730572025	4.82492731055329
Chrom1-19957038	1	44.1602731572025	4.82492731055331
Chrom1-20109800	1	44.263022276929	4.82492731055331
Chrom1-20360524	1	44.3656444328576	4.82492731055331
Chrom1-21009672	1	44.4680048797201	4.82492731055335
Chrom1-21219775	1	44.6742365323194	5.31186534813493
Chrom1-21271611	1	44.8786294180737	5.38183973345804
Chrom1-21438326	1	44.8786295180737	5.38183949959911
Chrom1-21902059	1	45.2915932576083	5.51344822953988
Chrom1-21953006	1	45.2915933576083	5.51344822910305
Chrom1-22003207	1	45.2915934576083	5.51344817926821
Chrom1-22163295	1	45.7040969012589	5.31803794710174
Chrom1-22268844	1	45.7040970012589	5.31803794710171
c1.loc46	1	46	5.31803822295365
Chrom1-22475360	1	46.0129803007012	5.31803794710166
Chrom1-22526478	1	46.0129804007012	5.31803794696275
Chrom1-22579384	1	46.0129805007012	5.31803794682381
Chrom1-22685108	1	46.4259708964349	5.24463983914521
Chrom1-22738930	1	46.4259709964349	5.24463983914521
Chrom1-22840863	1	46.6307997771104	5.2121082051235
Chrom1-23114620	1	46.9750419689817	5.23830059334894
Chrom1-23326642	1	47.145668748031	5.23830059334894
Chrom1-23482000	1	47.3169437814551	5.23830059334898
Chrom1-23532260	1	47.3169438814551	5.23830059334894
Chrom1-23585018	1	47.660115554752	5.23830059334894
Chrom1-23686485	1	47.660115654752	5.23830059334894
Chrom1-24175311	1	47.7629160861082	5.23830059334895
Chrom1-24493594	1	47.8655385459496	5.32300165630357
Chrom1-24752701	1	47.9681608099173	5.32300165630357
c1.loc48	1	48	5.33071774703907
Chrom1-25711641	1	48.0707832908858	5.33964072425981
Chrom1-25929840	1	48.1731453759963	5.33964072425982
Chrom1-26549204	1	48.3792398128846	5.4669375711817
Chrom1-27184802	1	48.481601684225	5.37733241550877
Chrom1-27286572	1	48.5839635543164	5.33683204262732
Chrom1-27984580	1	48.7900588654815	5.44194181215688
Chrom1-29782651	1	48.8921630544678	5.49916775750222
Chrom1-33223725	1	49.0976068543367	4.42231950844781
Chrom1-33348869	1	49.0976069543367	4.42231950844781
Chrom1-34690118	1	49.4067616756502	4.37572312048216
Chrom1-34801647	1	49.4067617756502	4.37572309947345
Chrom1-39507600	1	49.5094682685881	4.37572309947345
Chrom1-99913906	1	49.6120918373803	4.37572309947345
