chr	interval	marker	pos	lod
chr4	lod_1.5	Chrom4-2609617	4.04686266344955	4.70652575682612
chr4	lod_1.5	c4.loc10	10	6.33584777908567
chr4	lod_1.5	Chrom4-12427727	26.9768539789319	4.76343671813361
chr4	lod_2	Chrom4-2233943	3.42045794336328	4.19327378360519
chr4	lod_2	c4.loc10	10	6.33584777908567
chr4	lod_2	Chrom4-12633024	27.6658646877998	4.13289586169199
chr4	bayes	Chrom4-2718368	4.52629569308872	5.0342080221026
chr4	bayes	c4.loc10	10	6.33584777908567
chr4	bayes	Chrom4-11397134	26.4802465150859	5.24241352834424
chr6	lod_1.5	Chrom6-2598284	3.25034837984214	2.28391875483766
chr6	lod_1.5	Chrom6-112844321	70.1169302318963	3.87842269443879
chr6	lod_1.5	Chrom6-115435712	79.346214467835	2.32847944397761
chr6	lod_2	Chrom6-231178	3.00000008468766e-07	1.57429636792436
chr6	lod_2	Chrom6-112844321	70.1169302318963	3.87842269443879
chr6	lod_2	Chrom6-117806323	86.772287090584	1.82488059190455
chr6	bayes	Chrom6-2763924	3.48847204290306	2.51331066928085
chr6	bayes	Chrom6-112844321	70.1169302318963	3.87842269443879
chr6	bayes	Chrom6-115279661	77.2745518391483	2.51856021506057
chr8	lod_1.5	Chrom8-3829622	7.49668923382307	4.66559934934027
chr8	lod_1.5	Chrom8-21606017	39.7545603202593	6.1746754057935
chr8	lod_1.5	Chrom8-94872639	50.5584538161282	4.43205336725695
chr8	lod_2	Chrom8-3013566	5.27410429109928	3.98483963724024
chr8	lod_2	Chrom8-21606017	39.7545603202593	6.1746754057935
chr8	lod_2	Chrom8-95787883	52.5029350358179	3.5608283526978
chr8	bayes	Chrom8-3625470	7.49668893382306	4.66559931237024
chr8	bayes	Chrom8-21606017	39.7545603202593	6.1746754057935
chr8	bayes	Chrom8-94767003	50.1258159152174	4.73527733565662
