chr	pos	lod
Chrom1-5652	1	0	0.810120379280147
Chrom1-183102	1	1.00000002822922e-07	0.810120378831838
Chrom1-603629	1	2.00000005645844e-07	0.810120378383544
Chrom1-761741	1	3.00000008468766e-07	0.810120377935378
Chrom1-863105	1	0.103471568004863	0.809655593802947
Chrom1-964613	1	0.103471668004866	0.809655587253199
Chrom1-1016938	1	0.29823127307677	0.796902186594682
Chrom1-1069694	1	0.298231373076772	0.796902193757985
Chrom1-1121619	1	0.761938634387554	0.786618006345689
Chrom1-1172951	1	0.761938734387557	0.786618006357739
Chrom1-1223030	1	0.76193883438756	0.786618009004329
Chrom1-1325794	1	1.12247822222867	0.57357683545433
Chrom1-1390198	1	1.12247832222867	0.573576794583219
Chrom1-1441272	1	1.5608482569274	0.571796915204195
Chrom1-1492718	1	1.5608483569274	0.57179691471767
Chrom1-1546098	1	1.5608484569274	0.571796914231117
c1.loc2	1	2	0.569308226283684
Chrom1-1596723	1	2.37488230695494	0.566661876072961
Chrom1-1711327	1	2.59177479975153	0.564918444360068
Chrom1-1763616	1	2.59177489975153	0.564918462003803
Chrom1-1814638	1	2.59177499975153	0.564918479647352
Chrom1-1872167	1	2.93163406541386	0.617168167397662
Chrom1-1924661	1	3.2714210113261	0.651233558493221
Chrom1-2027517	1	3.27142111132611	0.651233565622145
Chrom1-2136853	1	3.74661300739908	0.691295327399073
Chrom1-2187817	1	3.86936961640132	0.698098867437699
c1.loc4	1	4	0.703565897874277
Chrom1-2239587	1	4.16994016573716	0.707866559685148
Chrom1-2291990	1	4.16994026573716	0.707866591872949
Chrom1-2344686	1	4.5197693826835	0.612107115227755
Chrom1-2395776	1	4.87048564535907	0.42206664283359
Chrom1-2446015	1	5.23534709509334	0.526085672995023
Chrom1-2496728	1	5.23534719509334	0.526085682625414
Chrom1-2549023	1	5.32624849103758	0.464286909129867
Chrom1-2650133	1	5.43268963957073	0.394131267171541
Chrom1-2756385	1	5.6582739067001	0.412086850245438
c1.loc6	1	6	0.399764424024774
Chrom1-2807086	1	6.77101698684563	0.363725584867501
Chrom1-2857437	1	6.77101708684564	0.363725577447441
Chrom1-2912792	1	6.77101718684564	0.363725581166195
Chrom1-2965574	1	7.23115784769613	0.323896852656484
Chrom1-3019235	1	7.48236225482419	0.280237343639765
Chrom1-3070720	1	7.48236235482419	0.280237331873741
Chrom1-3122485	1	7.9463985498561	0.264404576724565
Chrom1-3172507	1	7.9463986498561	0.264404574887463
c1.loc8	1	8	0.268675622767777
Chrom1-3229036	1	8.88687984842846	0.339766784665999
Chrom1-3381594	1	8.88687994842846	0.339766790589586
Chrom1-3432080	1	9.11737529316105	0.339798639544482
Chrom1-3482935	1	9.11737539316105	0.339798639558357
Chrom1-3586241	1	9.11737549316105	0.33979863957217
Chrom1-3800847	1	9.61576382607849	0.335613127284372
Chrom1-3956346	1	9.73747460492996	0.340859184916023
c1.loc10	1	10	0.252968582612922
Chrom1-4160303	1	10.1513314850335	0.204346060392025
Chrom1-4212527	1	10.1513315850335	0.204346060405954
Chrom1-4372350	1	10.855619093551	0.173909482744745
Chrom1-4538427	1	11.0628943257647	0.15890655172408
Chrom1-4643471	1	11.8375833438862	0.293289318511805
c1.loc12	1	12	0.314763127044753
Chrom1-4897657	1	12.1220004588309	0.331453953962615
Chrom1-4948517	1	12.1220005588309	0.331453976618248
Chrom1-5056936	1	12.6388664157656	0.330091142777709
Chrom1-5107761	1	12.6388665157656	0.330091139142249
Chrom1-5160796	1	12.6388666157656	0.330091130851641
Chrom1-5213184	1	13.0832233528156	0.25392381017789
Chrom1-5264775	1	13.0832234528156	0.253923813543394
Chrom1-5315439	1	13.0832235528156	0.253923813575125
c1.loc14	1	14	0.299768796082312
Chrom1-5418960	1	14.1012404074118	0.304357767387628
Chrom1-5474279	1	14.1012405074118	0.304357777934965
Chrom1-5525822	1	14.1012406074118	0.304357788481517
Chrom1-5578409	1	14.4944338870687	0.372916237793326
Chrom1-5628901	1	14.8997739657646	0.453329892785113
Chrom1-5679112	1	15.1640255852324	0.469181669071784
Chrom1-5781306	1	15.4484802760875	0.66707573726949
Chrom1-5831406	1	15.4484803760875	0.667075810832007
Chrom1-5882169	1	15.4484804760875	0.667075818193612
c1.loc16	1	16	0.667364706570886
Chrom1-5936223	1	16.0935410285572	0.667414946094262
Chrom1-5987582	1	16.0935411285572	0.667414947543862
Chrom1-6039981	1	16.7382288276951	0.694039014193012
Chrom1-6094232	1	16.7382289276951	0.694039017964427
Chrom1-6144233	1	16.7382290276951	0.694039018018522
Chrom1-6318649	1	17.6098727589947	0.706275086933302
Chrom1-6369443	1	17.6098728589947	0.70627509109706
Chrom1-6420980	1	17.6098729589947	0.70627510402787
Chrom1-6523782	1	17.8970247699018	0.744372815067075
c1.loc18	1	18	0.758160807225808
Chrom1-6629073	1	18.1264280110141	0.774801951165327
Chrom1-6679388	1	18.1264281110141	0.774801978748196
Chrom1-6782046	1	18.7007566422192	1.12511009491259
Chrom1-6833788	1	18.9065784435635	1.1940783357915
Chrom1-6891522	1	19.0515741996239	1.23248210026222
Chrom1-6942777	1	19.5270202672787	1.61985805118274
c1.loc20	1	20	1.89077971643422
Chrom1-6994230	1	20.0519922909055	1.9177802836474
Chrom1-7046610	1	20.0519923909055	1.91778027947202
Chrom1-7098549	1	20.6219415147693	2.0244244315303
Chrom1-7150657	1	20.8907858828773	2.06873258844656
Chrom1-7201632	1	20.8907859828773	2.06873259489081
Chrom1-7267012	1	21.4748075447272	2.19667257777504
Chrom1-7373428	1	21.9419675765868	2.20467646559266
c1.loc22	1	22	2.21100395368572
