chr	pos	lod
Chrom2-17869	2	0	0.00324807189650755
Chrom2-124577	2	1.00000002822922e-07	0.00324807188351883
Chrom2-550580	2	0.10197987531197	0.00844671259341112
Chrom2-768406	2	0.545071631783923	0.0155381835520529
Chrom2-872275	2	0.545071731783926	0.0155381875004252
Chrom2-922294	2	0.80647517795362	0.010079211943463
Chrom2-972438	2	1.34173894834407	0.00161657857634623
Chrom2-1073791	2	1.87198825322641	0.00101851250511231
Chrom2-1236932	2	1.87198835322641	0.00101851187909574
c2.loc2	2	2	0.00146817723666004
Chrom2-1340325	2	2.21798435598771	0.014724538994443
Chrom2-1396160	2	2.39027566795576	0.0291933030457017
Chrom2-1452395	2	2.64944085570836	0.0363302459789736
Chrom2-1561233	2	2.90924106507422	0.0494455215647633
Chrom2-1670354	2	3.09313857806797	0.0559212280133181
Chrom2-1722267	2	3.32497117482492	0.0557705876786088
Chrom2-1772571	2	3.46108108976558	0.0610637189296881
Chrom2-2037270	2	3.73728049394073	0.114454527503341
c2.loc4	2	4	0.114188686486727
Chrom2-2373770	2	4.42289266838883	0.113756835339302
Chrom2-2427998	2	4.42289276838883	0.113756853882876
Chrom2-2529679	2	4.98073073565203	0.232933403743601
Chrom2-2581054	2	4.98073083565203	0.23293341853531
Chrom2-2632994	2	4.98073093565203	0.232933421802187
Chrom2-2683121	2	5.3553334537152	0.207529341882974
Chrom2-2736558	2	5.3553335537152	0.207529337027097
Chrom2-2839292	2	5.79789972218197	0.206837382867178
Chrom2-2919626	2	5.79789982218198	0.206837384213742
c2.loc6	2	6	0.199554587228107
Chrom2-3181097	2	6.21256944877326	0.190614564734801
Chrom2-3232903	2	6.34617022010741	0.212945974737266
Chrom2-3291827	2	6.55804929513579	0.149782867026005
Chrom2-3342703	2	6.78856505457184	0.190268871341516
Chrom2-3393426	2	6.93854640505694	0.190052293582511
Chrom2-3499828	2	6.93854650505695	0.190052293438072
Chrom2-3611997	2	7.2390946319094	0.189615918928126
Chrom2-3714339	2	7.23909473190941	0.189615925670353
Chrom2-3834391	2	7.98248709125552	0.175563557586315
c2.loc8	2	8	0.17703204442077
Chrom2-3896824	2	8.21172986843419	0.193950723328498
Chrom2-4050191	2	8.70998380234533	0.273393879583068
Chrom2-4310626	2	9.11530565440523	0.273328590435
Chrom2-4364006	2	9.24845174977863	0.27330694941972
Chrom2-4466196	2	9.24845184977864	0.273306949403604
Chrom2-4576623	2	9.36943198962067	0.341376521470607
Chrom2-4683565	2	9.56201796903387	0.419360665269153
c2.loc10	2	10	0.311700293139552
Chrom2-4785190	2	10.6672008029204	0.170304961149952
Chrom2-4886118	2	10.6672009029204	0.170304965408064
Chrom2-5048280	2	10.6672010029204	0.170304969666347
Chrom2-5105895	2	10.9293506053382	0.170267217895372
Chrom2-5156989	2	11.3246133397476	0.143350881170363
Chrom2-5207209	2	11.3246134397476	0.143350881157659
Chrom2-5260899	2	11.3246135397476	0.143350881144698
Chrom2-5364959	2	11.3246136397476	0.143350881131937
Chrom2-5517692	2	11.4986849506841	0.143328415330529
Chrom2-5576049	2	11.6747718850906	0.143305561191426
Chrom2-5677501	2	11.6747719850906	0.143305548707957
c2.loc12	2	12	0.124705163057286
Chrom2-5780035	2	12.2963680734076	0.104803148190115
Chrom2-5830452	2	12.7178771056742	0.0745599111636466
Chrom2-5936760	2	13.0984112735212	0.0527699937155433
Chrom2-5987173	2	13.0984113735212	0.0527699937057093
Chrom2-6090649	2	13.0984114735212	0.0527699935828991
Chrom2-6257901	2	13.6668192155023	0.0596068039676823
Chrom2-6477608	2	13.9979689761637	0.0610083790497526
c2.loc14	2	14	0.0610172468065286
Chrom2-6584184	2	14.3277657448572	0.0624836809210194
Chrom2-6789180	2	14.3277658448572	0.0624836813779268
Chrom2-7001375	2	14.4455994219425	0.0972995641519105
Chrom2-7179644	2	15.1238849387807	0.0948909191235714
Chrom2-7231931	2	15.1238850387807	0.0948909191090195
Chrom2-7352083	2	15.4061297446635	0.114295469820036
Chrom2-7407433	2	15.8322979522546	0.0995013317455005
Chrom2-7513697	2	15.8322980522546	0.0995013325775176
Chrom2-7621070	2	15.8322981522546	0.0995013363395856
c2.loc16	2	16	0.101812307992077
Chrom2-7722875	2	16.5990409418859	0.122889860721585
Chrom2-7828235	2	17.0482162934954	0.148992907061967
Chrom2-7935148	2	17.1717607381977	0.157210194385442
Chrom2-8036322	2	17.1717608381977	0.157210194145989
Chrom2-8138062	2	17.8931138644137	0.152347684226442
Chrom2-8250900	2	17.8931139644137	0.152347704069513
c2.loc18	2	18	0.173701288607475
Chrom2-8312329	2	18.1700378629195	0.20718867412026
Chrom2-8362508	2	18.1700379629195	0.207188674116907
Chrom2-8534728	2	18.7298052779706	0.152265098538436
Chrom2-8693204	2	18.7298053779706	0.152265088693071
Chrom2-8750710	2	18.7298054779706	0.152265088683151
Chrom2-8958966	2	18.9760602724898	0.152230797508452
Chrom2-9010988	2	18.9760603724898	0.15223080631776
Chrom2-9113862	2	19.6048807932008	0.152528019913234
Chrom2-9217292	2	19.7845117300668	0.0791596513975605
Chrom2-9271955	2	19.7845118300668	0.0791596513498405
Chrom2-9322644	2	19.9951783371993	0.0790906830399649
c2.loc20	2	20	0.0790910597768857
Chrom2-9374383	2	20.0391773348359	0.0790951876454358
Chrom2-9426462	2	20.235216397941	0.0794679235763454
Chrom2-9477357	2	20.2950676986413	0.079794269931881
Chrom2-9527721	2	20.4736370231241	0.0799916816009159
Chrom2-9631210	2	20.7131938006155	0.122999980895884
Chrom2-9737277	2	20.9642467005033	0.207916543605876
Chrom2-9840589	2	20.9642468005033	0.207916581831341
Chrom2-9951860	2	21.2915418990313	0.273030507003142
Chrom2-10008393	2	21.2915419990313	0.273030525778466
Chrom2-10061748	2	21.6183240540762	0.209384980696086
Chrom2-10216233	2	21.6183241540762	0.209384960452979
Chrom2-10317666	2	21.9894114689357	0.455441042281706
Chrom2-10367820	2	21.9894115689357	0.455441093964026
c2.loc22	2	22	0.457841758794075
Chrom2-10469968	2	22.3806756078318	0.538813852199212
Chrom2-10572884	2	22.6703595307429	0.578228428078717
Chrom2-10676948	2	22.8947597305449	0.567849263088561
Chrom2-10726982	2	22.8947598305449	0.56784926205728
Chrom2-11020702	2	23.4350103084336	0.584960399401098
Chrom2-11121830	2	23.7458696790007	0.592381658573771
Chrom2-11176246	2	23.7458697790007	0.592381661149801
Chrom2-11227156	2	23.7458698790007	0.592381661306831
Chrom2-11281495	2	23.8516417404039	0.592506325590591
c2.loc24	2	24	0.592539750366655
Chrom2-11332379	2	24.281027358325	0.592162534265725
Chrom2-11385837	2	24.281027458325	0.592162531530391
Chrom2-11436320	2	24.6458396999835	0.592072343201892
Chrom2-11538872	2	24.6458397999835	0.59207234108473
Chrom2-11641169	2	24.6458398999835	0.592072341718506
Chrom2-11808250	2	25.1410290711159	0.638339041009715
Chrom2-12015573	2	25.3189802638361	0.636376107959137
Chrom2-12121107	2	25.6790092917765	0.632340233987804
Chrom2-12223898	2	25.6790093917765	0.632340232855967
Chrom2-12329733	2	25.6790094917765	0.632340231724214
Chrom2-12432524	2	25.6790095917765	0.63234021639937
c2.loc26	2	26	0.607311814362305
Chrom2-12533633	2	26.0434845965415	0.603500622446575
Chrom2-12636116	2	26.2439647562251	0.601507810698052
Chrom2-12690566	2	26.6497154525311	0.56634236150731
Chrom2-12809533	2	26.6497155525311	0.566342360482224
Chrom2-12859749	2	26.6497156525311	0.56634235945711
Chrom2-12964373	2	27.0087755154938	0.597155076395183
Chrom2-13180456	2	27.1872850426893	0.613060980774719
Chrom2-13340518	2	27.3321294680469	0.613001581164497
Chrom2-13393879	2	27.623241172449	0.612881679264547
Chrom2-13446167	2	27.623241272449	0.61288167922342
c2.loc28	2	28	0.6127253598045
Chrom2-13702714	2	28.0398925699492	0.612708858682936
Chrom2-13815647	2	28.0398926699492	0.612708849848985
Chrom2-13969238	2	28.8787770792329	0.588707066078143
Chrom2-14020217	2	29.0314166044306	0.585291039047291
Chrom2-14074666	2	29.0314167044306	0.585291037211107
Chrom2-14179797	2	29.0314168044306	0.585291039287824
Chrom2-14280803	2	29.489869048048	0.619695601845365
Chrom2-14331940	2	29.489869148048	0.619695607177476
Chrom2-14382139	2	29.8651962069567	0.790035057846609
c2.loc30	2	30	0.783911925360655
Chrom2-14562741	2	30.659403044976	0.754800602076955
Chrom2-14667199	2	30.9155736940028	0.70260709071627
Chrom2-14782211	2	30.9155737940028	0.702607091133672
Chrom2-14886788	2	31.2692190489371	0.861033700200039
Chrom2-14936900	2	31.2692191489371	0.861033717334834
Chrom2-15041390	2	31.7515297290852	0.970328466888049
c2.loc32	2	32	1.02467426008943
Chrom2-15189735	2	32.2073523149975	1.0666409368703
Chrom2-15350197	2	32.2073524149975	1.06664093035624
Chrom2-15512884	2	32.6734036142903	0.810217351418117
Chrom2-15564211	2	32.6734037142903	0.810217349573492
Chrom2-15666418	2	32.9136264987385	0.831047152866205
Chrom2-15720492	2	33.1548610140433	0.831044012244575
Chrom2-15772443	2	33.3949982740508	0.831041303582822
Chrom2-16033825	2	33.3949983740508	0.8310413035816
Chrom2-16136817	2	33.3949984740508	0.83104130061173
Chrom2-16242408	2	33.8316743205875	0.772105744558985
Chrom2-16299972	2	33.8316744205875	0.772105780681414
c2.loc34	2	34	0.831277494544025
Chrom2-16351768	2	34.1843400430904	0.884699738869216
Chrom2-16510670	2	34.5739084191358	0.882111315564345
Chrom2-16616712	2	34.5739085191358	0.882111316903348
Chrom2-16788844	2	34.8406123980911	0.886159206327875
Chrom2-16893275	2	34.8406124980911	0.886159206323526
Chrom2-16998688	2	34.8406125980911	0.886159200932582
Chrom2-17100264	2	35.1704992838503	0.881210939547486
Chrom2-17152980	2	35.1705059523782	0.881209939204808
Chrom2-17263199	2	35.6622768115906	0.766876412198201
Chrom2-17316165	2	35.7829407827716	0.810039242181034
c2.loc36	2	36	0.810000283268607
Chrom2-17426101	2	36.0273914223029	0.809995471554117
Chrom2-17535352	2	36.2712702888785	0.809951995511824
Chrom2-17638256	2	36.2712703888785	0.809951995493748
Chrom2-17844284	2	36.5024616971349	0.811612547523879
