chr	pos	lod
Chrom1-5652	1	0	2.19390416875012
Chrom1-183102	1	1.00000002822922e-07	2.19390416890332
Chrom1-603629	1	2.00000005645844e-07	2.1939041690564
Chrom1-761741	1	3.00000008468766e-07	2.19390416920959
Chrom1-863105	1	0.103471568004863	2.19406282384591
Chrom1-964613	1	0.103471668004866	2.19406282188532
Chrom1-1016938	1	0.29823127307677	2.18661688882003
Chrom1-1069694	1	0.298231373076772	2.1866168811257
Chrom1-1121619	1	0.761938634387554	2.129229520472
Chrom1-1172951	1	0.761938734387557	2.12922952062632
Chrom1-1223030	1	0.76193883438756	2.12922953107795
Chrom1-1325794	1	1.12247822222867	1.86669424886907
Chrom1-1390198	1	1.12247832222867	1.86669412888955
Chrom1-1441272	1	1.5608482569274	1.70309223223836
Chrom1-1492718	1	1.5608483569274	1.70309218868948
Chrom1-1546098	1	1.5608484569274	1.70309214961668
c1.loc2	1	2	1.53204147589292
Chrom1-1596723	1	2.37488230695494	1.39041894431773
Chrom1-1711327	1	2.59177479975153	1.39070387064896
Chrom1-1763616	1	2.59177489975153	1.39070386799767
Chrom1-1814638	1	2.59177499975153	1.39070386534638
Chrom1-1872167	1	2.93163406541386	1.38181712098196
Chrom1-1924661	1	3.2714210113261	1.37357389258693
Chrom1-2027517	1	3.27142111132611	1.37357389030802
Chrom1-2136853	1	3.74661300739908	1.35532562611729
Chrom1-2187817	1	3.86936961640132	1.35278872353177
c1.loc4	1	4	1.35112585847759
Chrom1-2239587	1	4.16994016573716	1.3505747906429
Chrom1-2291990	1	4.16994026573716	1.35057479093865
Chrom1-2344686	1	4.5197693826835	1.29386454089911
Chrom1-2395776	1	4.87048564535907	1.19488872303998
Chrom1-2446015	1	5.23534709509334	0.984893313732073
Chrom1-2496728	1	5.23534719509334	0.984893277817662
Chrom1-2549023	1	5.32624849103758	0.957214620793764
Chrom1-2650133	1	5.43268963957073	0.948070714269761
Chrom1-2756385	1	5.6582739067001	0.845922611675519
c1.loc6	1	6	0.748957098777964
Chrom1-2807086	1	6.77101698684563	0.525716889074204
Chrom1-2857437	1	6.77101708684564	0.525716874179977
Chrom1-2912792	1	6.77101718684564	0.525716868298559
Chrom1-2965574	1	7.23115784769613	0.523983792326192
Chrom1-3019235	1	7.48236225482419	0.523866245547595
Chrom1-3070720	1	7.48236235482419	0.523866234659238
Chrom1-3122485	1	7.9463985498561	0.429447818217284
Chrom1-3172507	1	7.9463986498561	0.429447804852714
c1.loc8	1	8	0.423608504984429
Chrom1-3229036	1	8.88687984842846	0.333535207338059
Chrom1-3381594	1	8.88687994842846	0.333535201441634
Chrom1-3432080	1	9.11737529316105	0.313883114503824
Chrom1-3482935	1	9.11737539316105	0.313883114578687
Chrom1-3586241	1	9.11737549316105	0.313883114653493
Chrom1-3800847	1	9.61576382607849	0.398596071281588
Chrom1-3956346	1	9.73747460492996	0.408146940325196
c1.loc10	1	10	0.409781584989105
Chrom1-4160303	1	10.1513314850335	0.411840619366842
Chrom1-4212527	1	10.1513315850335	0.411840619454949
Chrom1-4372350	1	10.855619093551	0.551474028147027
Chrom1-4538427	1	11.0628943257647	0.551701699351213
Chrom1-4643471	1	11.8375833438862	0.697221218343202
c1.loc12	1	12	0.726968054952067
Chrom1-4897657	1	12.1220004588309	0.749121423504391
Chrom1-4948517	1	12.1220005588309	0.749121431782555
Chrom1-5056936	1	12.6388664157656	0.688144667860797
Chrom1-5107761	1	12.6388665157656	0.68814465213103
Chrom1-5160796	1	12.6388666157656	0.688144661188403
Chrom1-5213184	1	13.0832233528156	0.68601470220591
