chr	pos	lod
Chrom1-15895473	1	37.8785883666525	3.87773753016697
Chrom1-15946213	1	37.8785884666525	3.87773756127393
c1.loc38	1	38	3.98905672147735
Chrom1-15996245	1	38.1528814033053	4.03133629564246
Chrom1-16098601	1	38.2893537580596	3.99828134512164
Chrom1-16368825	1	38.4390972837862	3.80486448833948
Chrom1-16473225	1	38.6161833262119	3.84176228332811
Chrom1-16577688	1	38.7492796980689	3.86333627726985
Chrom1-16631397	1	39.0854216630121	3.87001381175664
Chrom1-16786631	1	39.421506590683	3.79336429401211
Chrom1-16943084	1	39.421506690683	3.79336430850974
c1.loc40	1	40	3.85050293020092
Chrom1-17357072	1	40.2450239849802	3.92160441244117
Chrom1-17407545	1	40.2450240849802	3.92160441244123
Chrom1-17457715	1	40.2450241849802	3.92160441244123
Chrom1-17634061	1	40.8436629437429	5.36103824408555
Chrom1-17737887	1	41.2155531349241	5.76417087693544
Chrom1-17845954	1	41.5868001923233	6.11294639883374
Chrom1-18053208	1	41.5868002923233	6.11294639754705
Chrom1-18203714	1	41.7092201463062	6.11294639754698
Chrom1-18306263	1	41.9301021841797	6.11294639754699
Chrom1-18409583	1	41.9859968783154	6.11294639754696
c1.loc42	1	42	6.11435493844589
Chrom1-18511464	1	42.2189446302547	6.13512466564197
Chrom1-18663582	1	42.8243675219366	6.00924058102025
Chrom1-18824405	1	43.1871229709535	6.00924058102034
Chrom1-18875865	1	43.2553394337504	6.01289677523042
Chrom1-18925875	1	43.3995390716731	5.91542050452755
Chrom1-19027847	1	43.5435414288201	5.67276964161232
Chrom1-19181536	1	43.7492656739006	5.55010230324831
Chrom1-19283131	1	43.9548355031532	5.42153409683888
c1.loc44	1	44	5.42153465789434
Chrom1-19663347	1	44.1602730572025	5.42153409683884
Chrom1-19957038	1	44.1602731572025	5.42153409683888
Chrom1-20109800	1	44.263022276929	5.42153409683888
Chrom1-20360524	1	44.3656444328576	5.42153409683888
Chrom1-21009672	1	44.4680048797201	5.42153409683894
Chrom1-21219775	1	44.6742365323194	6.0722512944506
Chrom1-21271611	1	44.8786294180737	6.19163857366368
Chrom1-21438326	1	44.8786295180737	6.19163832436001
Chrom1-21902059	1	45.2915932576083	6.36022554938184
Chrom1-21953006	1	45.2915933576083	6.36022555268679
Chrom1-22003207	1	45.2915934576083	6.36022550308702
Chrom1-22163295	1	45.7040969012589	6.13535771534602
Chrom1-22268844	1	45.7040970012589	6.13535771534599
c1.loc46	1	46	6.13535804217254
Chrom1-22475360	1	46.0129803007012	6.13535771534596
Chrom1-22526478	1	46.0129804007012	6.13535772204418
Chrom1-22579384	1	46.0129805007012	6.13535772874229
Chrom1-22685108	1	46.4259708964349	6.07358799589025
Chrom1-22738930	1	46.4259709964349	6.07358799589025
Chrom1-22840863	1	46.6307997771104	6.02604802316813
Chrom1-23114620	1	46.9750419689817	6.07754075884598
Chrom1-23326642	1	47.145668748031	6.077540758846
Chrom1-23482000	1	47.3169437814551	6.07754075884606
Chrom1-23532260	1	47.3169438814551	6.077540758846
Chrom1-23585018	1	47.660115554752	6.077540758846
Chrom1-23686485	1	47.660115654752	6.077540758846
Chrom1-24175311	1	47.7629160861082	6.077540758846
Chrom1-24493594	1	47.8655385459496	6.15834162494306
Chrom1-24752701	1	47.9681608099173	6.15834162494302
c1.loc48	1	48	6.15983409805008
Chrom1-25711641	1	48.0707832908858	6.15211691834303
Chrom1-25929840	1	48.1731453759963	6.15211691834303
Chrom1-26549204	1	48.3792398128846	6.21262445707822
Chrom1-27184802	1	48.481601684225	6.14788351801755
Chrom1-27286572	1	48.5839635543164	6.08495540079979
Chrom1-27984580	1	48.7900588654815	6.16381922152772
Chrom1-29782651	1	48.8921630544678	6.23609577278276
Chrom1-33223725	1	49.0976068543367	5.32514153927549
Chrom1-33348869	1	49.0976069543367	5.32514153927549
Chrom1-34690118	1	49.4067616756502	5.25610889398233
Chrom1-34801647	1	49.4067617756502	5.2561088658594
Chrom1-39507600	1	49.5094682685881	5.25610886585937
Chrom1-99913906	1	49.6120918373803	5.2561088658594
Chrom1-102296993	1	49.7147151884736	5.2561088658594
Chrom1-103361357	1	49.8173387571623	4.939300314718
Chrom1-103675120	1	49.9199625436917	4.93263535566172
c1.loc50	1	50	4.92585403997631
Chrom1-104096031	1	50.022325919725	4.91937113151826
Chrom1-104768386	1	50.2284265285951	4.9193711315183
Chrom1-106197386	1	50.3305297118583	4.9193711315183
Chrom1-107158010	1	50.5366303207072	4.9193711315183
Chrom1-107263246	1	50.6389936998355	4.91937113151826
Chrom1-108284003	1	50.7410956171125	4.9193711315183
Chrom1-108494030	1	51.0505341100918	5.00142792034043
Chrom1-109218990	1	51.340034065902	5.00142792034049
Chrom1-109281516	1	51.340034165902	5.00142792034043
Chrom1-109332307	1	51.629323815394	5.00142792034043
Chrom1-109593936	1	51.9766394439115	5.07008446647848
Chrom1-109855771	1	51.9766395439115	5.07008447953666
c1.loc52	1	52	5.28452519258271
Chrom1-110042458	1	52.1828797360261	6.24075550410379
Chrom1-110853266	1	52.3048591120826	6.02785613130963
Chrom1-111013441	1	52.8013454098666	5.90913398469407
Chrom1-111116026	1	52.8013455098666	5.9091339613107
Chrom1-111217315	1	52.8013456098666	5.90913396131093
Chrom1-112330121	1	53.0064672089632	5.90913396131073
Chrom1-113008060	1	53.4327321036604	5.81602182877099
Chrom1-113112203	1	53.5259597454316	5.7174869224876
Chrom1-113167329	1	53.6283327857229	5.70749286740417
Chrom1-113218365	1	53.9231696467156	5.72193682904545
c1.loc54	1	54	5.72316038423767
Chrom1-113322003	1	54.4223015622162	5.71089538580856
Chrom1-113422520	1	54.4223016622162	5.71089538580857
Chrom1-113576066	1	54.759063369229	5.6301219048424
Chrom1-113780650	1	54.759063469229	5.63012190484257
Chrom1-113936162	1	55.0680735334075	5.6301219048424
Chrom1-114353330	1	55.2218801394243	5.63012190484244
Chrom1-114409403	1	55.3756180131636	5.6301219048424
Chrom1-114511994	1	55.3756181131636	5.63012190484224
Chrom1-114772670	1	55.4771437345352	5.63012190484234
c1.loc56	1	56	5.81914182947196
Chrom1-115029927	1	56.0830419889183	5.84282597339133
Chrom1-115134316	1	56.2012352646029	5.84282597339154
Chrom1-115245443	1	56.4068580400199	5.84282597339133
Chrom1-115349709	1	56.4068581400199	5.84282597339133
Chrom1-115551454	1	56.5346424590995	5.87028637153257
Chrom1-115606027	1	56.9216474397811	5.34692920368536
Chrom1-115716576	1	56.9216475397811	5.34692897891078
Chrom1-116034887	1	57.0244710514173	5.34692897891078
Chrom1-117022097	1	57.1270914903887	5.34692897891078
Chrom1-117241720	1	57.2294527342076	5.34692897891078
Chrom1-117522189	1	57.4352751360499	5.24026323554506
Chrom1-117959962	1	57.4352752360499	5.24026323554507
Chrom1-118062249	1	57.4352753360499	5.24026323554507
Chrom1-118502226	1	57.5378256997597	5.240263235545
Chrom1-119180827	1	57.6673901308554	4.98685142837589
c1.loc58	1	58	4.30961957796674
Chrom1-119335679	1	58.0257213091195	4.25440124156282
Chrom1-119387110	1	58.1549116180915	4.25440124156285
Chrom1-119592282	1	58.1549117180915	4.25440124156279
Chrom1-120069674	1	58.2574759051026	4.25440124156282
Chrom1-120436286	1	58.4632321068141	4.25440124156279
Chrom1-120549952	1	58.4632322068141	4.25440124156282
Chrom1-120652550	1	58.5872209960776	4.25440124156282
Chrom1-121283676	1	59.0440671168088	3.9887045187329
Chrom1-121334052	1	59.3110270289579	3.81598097452698
Chrom1-121384502	1	59.3701080943262	3.78288364997938
Chrom1-121435757	1	59.5039519767497	3.84792769327038
Chrom1-121539380	1	59.6979779156267	3.93396868416973
Chrom1-121805703	1	59.9729591052424	3.96270745682756
c1.loc60	1	60	3.96021917557768
Chrom1-121959926	1	60.1087456399895	3.9481455757377
Chrom1-122854954	1	60.5220280989218	4.01719569274256
Chrom1-123007270	1	60.9340376636462	4.0171956927426
Chrom1-123212824	1	60.9340377636462	4.01719569274255
Chrom1-123414383	1	61.1911224175004	4.01332583935036
Chrom1-123567103	1	61.4481945915442	3.9970782929089
Chrom8-14882957	8	37.5728472066028	3.82034687350891
Chrom8-14986015	8	37.5728473066028	3.82034695393062
Chrom8-15087752	8	37.5728474066028	3.82034702800323
Chrom8-15259653	8	37.5728493816064	3.82034789929781
Chrom8-15485229	8	37.8523738969763	3.92825087528072
Chrom8-15592502	8	37.8523739969763	3.92825089104446
c8.loc38	8	38	3.84472569362251
