chr	pos	lod
Chrom1-9202503	1	26.547780744899	3.91147283722379
Chrom1-9313638	1	26.547780844899	3.9114728831075
Chrom1-9363831	1	26.547780944899	3.91147293099948
Chrom1-9465395	1	27.0707766700726	3.91525742229388
Chrom1-9519090	1	27.199406856907	3.90481143854909
Chrom1-9620268	1	27.3292516514762	3.88985852538246
Chrom1-9676126	1	27.3292517514762	3.88985857194061
Chrom1-9783173	1	27.6684541469588	3.99938677311729
Chrom1-9833757	1	27.7452713696009	4.06555705834694
Chrom1-9887020	1	27.9064613311172	4.10320744232687
c1.loc28	1	28	4.16179906635269
Chrom1-9995779	1	28.4398393590234	4.40220175033196
Chrom1-10054696	1	28.8004175017485	4.92880857771227
Chrom1-10105268	1	28.8004176017485	4.92880869638422
Chrom1-10158658	1	28.8004177017485	4.92880872546296
Chrom1-10264368	1	29.8206639275874	5.07683968946612
Chrom1-10314433	1	29.8206640275874	5.07683965598668
c1.loc30	1	30	5.31214289362889
Chrom1-10469547	1	30.0442358693533	5.35239472885223
Chrom1-10782470	1	30.2594592018528	5.3731020526687
Chrom1-11002572	1	30.5246015150964	5.8694949283286
Chrom1-11282337	1	31.3436613870164	6.4966431540223
Chrom1-11581340	1	31.5432559709027	6.52736207800628
Chrom1-11734526	1	31.7431112777533	6.48114395632655
c1.loc32	1	32	6.48129015311745
Chrom1-11888825	1	32.4219039912082	6.43322156186767
Chrom1-12010387	1	32.4219040912082	6.43322154249027
Chrom1-12113892	1	32.8386390639686	6.3991039517832
Chrom1-12164327	1	33.578721464302	7.48569544482632
Chrom1-12215819	1	33.6235232290978	7.52005595503018
c1.loc34	1	34	7.68237031857291
Chrom1-12266909	1	34.0070192051692	7.68503248770694
Chrom1-12370910	1	34.2727225599418	7.68503248770697
Chrom1-12522284	1	34.3820431104492	7.685032487706
Chrom1-12628489	1	34.5878426884874	7.70656610348727
Chrom1-12745616	1	34.5878427884874	7.70656610348727
Chrom1-12902338	1	34.5878428884874	7.70656610348742
Chrom1-12952798	1	34.7106719628827	7.70656610348727
Chrom1-13105023	1	34.9581537777207	7.70656610348727
Chrom1-13213048	1	35.204679608573	7.13170392502011
Chrom1-13320090	1	35.204679708573	7.13170392502041
Chrom1-13490147	1	35.204679808573	7.13170392502041
Chrom1-13540912	1	35.3588311764454	7.13170392502041
Chrom1-13642304	1	35.5123709599889	7.13170392502041
Chrom1-13793503	1	35.5123710599889	7.13170392502047
Chrom1-13960398	1	35.8299267196203	7.56661129759981
Chrom1-14062896	1	35.9869776446686	7.56661129759964
c1.loc36	1	36	7.56661127661988
Chrom1-14167820	1	36.2870880348772	7.56661129760036
Chrom1-14219704	1	36.3067956038196	7.56661129759988
Chrom1-14269866	1	36.5000138487212	7.56661129759977
Chrom1-14476516	1	36.6303954674544	7.3950567627542
Chrom1-14581432	1	36.7250749281307	7.22181362554835
Chrom1-14736217	1	36.9525675838073	7.18377495425476
Chrom1-14898290	1	37.0548736961089	7.18377495425479
Chrom1-15102016	1	37.1574940033545	7.1837749542548
Chrom1-15417330	1	37.2598539411607	7.1837749542548
Chrom1-15575835	1	37.4651561581081	7.18377495425479
Chrom1-15895473	1	37.8785883666525	7.25607831296286
Chrom1-15946213	1	37.8785884666525	7.25607826774451
c1.loc38	1	38	7.22980582360768
Chrom1-15996245	1	38.1528814033053	7.10282908865984
Chrom1-16098601	1	38.2893537580596	7.00395580101145
Chrom1-16368825	1	38.4390972837862	7.27342081020718
Chrom1-16473225	1	38.6161833262119	7.34105550122129
Chrom1-16577688	1	38.7492796980689	7.42229144918622
Chrom1-16631397	1	39.0854216630121	7.75448255525239
Chrom1-16786631	1	39.421506590683	7.58477934663544
Chrom1-16943084	1	39.421506690683	7.58477969133626
Chrom1-17043617	1	39.5847857523571	7.99844182150813
Chrom1-17147073	1	39.6964707211547	7.99844182150813
Chrom1-17198172	1	39.7475013564607	7.99844182150816
c1.loc40	1	40	8.49327093527956
Chrom1-17357072	1	40.2450239849802	8.91659652090023
Chrom1-17407545	1	40.2450240849802	8.9165965209004
Chrom1-17457715	1	40.2450241849802	8.91659652089945
Chrom1-17634061	1	40.8436629437429	9.71752009708759
Chrom1-17737887	1	41.2155531349241	10.1621162828904
Chrom1-17845954	1	41.5868001923233	10.4701512108635
Chrom1-18053208	1	41.5868002923233	10.4701512118547
Chrom1-18203714	1	41.7092201463062	10.4701512118543
Chrom1-18306263	1	41.9301021841797	10.4701512118544
Chrom1-18409583	1	41.9859968783154	10.4701512118542
c1.loc42	1	42	10.4678685764586
Chrom1-18511464	1	42.2189446302547	10.4187762674062
Chrom1-18663582	1	42.8243675219366	9.9169645482716
Chrom1-18824405	1	43.1871229709535	9.91696454827238
Chrom1-18875865	1	43.2553394337504	9.9483953358313
Chrom1-18925875	1	43.3995390716731	9.96757236312153
Chrom1-19027847	1	43.5435414288201	9.91520302894594
Chrom1-19181536	1	43.7492656739006	9.85320280851534
Chrom1-19283131	1	43.9548355031532	9.30880897302571
c1.loc44	1	44	9.30880905428027
Chrom1-19663347	1	44.1602730572025	9.30880897302582
Chrom1-19957038	1	44.1602731572025	9.30880897302577
Chrom1-20109800	1	44.263022276929	9.30880897302577
Chrom1-20360524	1	44.3656444328576	9.30880897302577
Chrom1-21009672	1	44.4680048797201	9.30880897302587
Chrom1-21219775	1	44.6742365323194	9.32229422659485
Chrom1-21271611	1	44.8786294180737	9.5300000791973
Chrom1-21438326	1	44.8786295180737	9.53000003933196
Chrom1-21902059	1	45.2915932576083	10.1145092342182
Chrom1-21953006	1	45.2915933576083	10.1145092333897
Chrom1-22003207	1	45.2915934576083	10.1145091255118
Chrom1-22163295	1	45.7040969012589	9.57730363935408
Chrom1-22268844	1	45.7040970012589	9.57730363935412
c1.loc46	1	46	9.57730368421585
Chrom1-22475360	1	46.0129803007012	9.57730363935405
Chrom1-22526478	1	46.0129804007012	9.57730372404234
Chrom1-22579384	1	46.0129805007012	9.57730380873075
Chrom1-22685108	1	46.4259708964349	9.86994824064547
Chrom1-22738930	1	46.4259709964349	9.86994824064548
Chrom1-22840863	1	46.6307997771104	9.78835180999035
Chrom1-23114620	1	46.9750419689817	10.0699801565643
Chrom1-23326642	1	47.145668748031	10.0699801565643
Chrom1-23482000	1	47.3169437814551	10.0699801565645
Chrom1-23532260	1	47.3169438814551	10.0699801565643
Chrom1-23585018	1	47.660115554752	10.0699801565643
Chrom1-23686485	1	47.660115654752	10.0699801565643
Chrom1-24175311	1	47.7629160861082	10.0699801565643
Chrom1-24493594	1	47.8655385459496	9.8433439351789
Chrom1-24752701	1	47.9681608099173	9.84334393517881
c1.loc48	1	48	9.83445126953589
Chrom1-25711641	1	48.0707832908858	9.69719557679435
Chrom1-25929840	1	48.1731453759963	9.69719557679441
Chrom1-26549204	1	48.3792398128846	8.83733144968143
Chrom1-27184802	1	48.481601684225	9.01338459705948
Chrom1-27286572	1	48.5839635543164	8.7770405744774
Chrom1-27984580	1	48.7900588654815	8.12452554217725
Chrom1-29782651	1	48.8921630544678	7.70090747897429
Chrom1-33223725	1	49.0976068543367	8.42687194306572
Chrom1-33348869	1	49.0976069543367	8.42687194306571
Chrom1-34690118	1	49.4067616756502	8.43814448355752
Chrom1-34801647	1	49.4067617756502	8.43814445297987
Chrom1-39507600	1	49.5094682685881	8.43814445297983
Chrom1-99913906	1	49.6120918373803	8.43814445297985
Chrom1-102296993	1	49.7147151884736	8.43814445297985
Chrom1-103361357	1	49.8173387571623	8.94377774747647
Chrom1-103675120	1	49.9199625436917	8.73049162823742
c1.loc50	1	50	8.2958599550918
Chrom1-104096031	1	50.022325919725	8.16142226076808
Chrom1-104768386	1	50.2284265285951	8.16142226076809
Chrom1-106197386	1	50.3305297118583	8.16142226076809
Chrom1-107158010	1	50.5366303207072	8.1614222607681
Chrom1-107263246	1	50.6389936998355	8.16142226076823
Chrom1-108284003	1	50.7410956171125	8.16142226076809
Chrom1-108494030	1	51.0505341100918	8.30357214348678
Chrom1-109218990	1	51.340034065902	8.30357214348686
Chrom1-109281516	1	51.340034165902	8.3035721434869
Chrom1-109332307	1	51.629323815394	8.30357214348681
Chrom1-109593936	1	51.9766394439115	7.92020177544158
Chrom1-109855771	1	51.9766395439115	7.92020164693692
c1.loc52	1	52	8.04696295898601
Chrom1-110042458	1	52.1828797360261	8.21682589069395
Chrom1-110853266	1	52.3048591120826	7.3095153997306
Chrom1-111013441	1	52.8013454098666	7.3590472730417
Chrom1-111116026	1	52.8013455098666	7.35904728577278
Chrom1-111217315	1	52.8013456098666	7.35904728577413
Chrom1-112330121	1	53.0064672089632	7.35904728577278
Chrom1-113008060	1	53.4327321036604	7.04256095054955
Chrom1-113112203	1	53.5259597454316	6.93192662541069
Chrom1-113167329	1	53.6283327857229	6.87229892111153
Chrom1-113218365	1	53.9231696467156	6.8822512787601
c1.loc54	1	54	6.87311303785383
Chrom1-113322003	1	54.4223015622162	6.7396409607061
Chrom1-113422520	1	54.4223016622162	6.73964096070628
Chrom1-113576066	1	54.759063369229	7.26452140220555
Chrom1-113780650	1	54.759063469229	7.26452140220575
Chrom1-113936162	1	55.0680735334075	7.26452140220554
Chrom1-114353330	1	55.2218801394243	7.26452140220537
Chrom1-114409403	1	55.3756180131636	7.26452140220555
Chrom1-114511994	1	55.3756181131636	7.26452140220436
Chrom1-114772670	1	55.4771437345352	7.2645214022054
c1.loc56	1	56	7.46929844789853
Chrom1-115029927	1	56.0830419889183	7.46102945437607
Chrom1-115134316	1	56.2012352646029	7.46102945437675
Chrom1-115245443	1	56.4068580400199	7.46102945437607
Chrom1-115349709	1	56.4068581400199	7.46102945437606
Chrom1-115551454	1	56.5346424590995	7.46327555067795
Chrom1-115606027	1	56.9216474397811	7.24492349693621
Chrom1-115716576	1	56.9216475397811	7.24492340728817
Chrom1-116034887	1	57.0244710514173	7.24492340728816
Chrom1-117022097	1	57.1270914903887	7.24492340728816
Chrom1-117241720	1	57.2294527342076	7.24492340728815
Chrom1-117522189	1	57.4352751360499	6.98862744696823
Chrom1-117959962	1	57.4352752360499	6.9886274469683
Chrom1-118062249	1	57.4352753360499	6.98862744696829
Chrom1-118502226	1	57.5378256997597	6.98862744696784
Chrom1-119180827	1	57.6673901308554	7.00276906206024
c1.loc58	1	58	6.90862481113623
Chrom1-119335679	1	58.0257213091195	6.88813285734416
Chrom1-119387110	1	58.1549116180915	6.88813285734353
Chrom1-119592282	1	58.1549117180915	6.88813285734413
Chrom1-120069674	1	58.2574759051026	6.88813285734413
Chrom1-120436286	1	58.4632321068141	6.88813285734413
Chrom1-120549952	1	58.4632322068141	6.88813285734413
Chrom1-120652550	1	58.5872209960776	6.88813285734413
Chrom1-121283676	1	59.0440671168088	7.10112136153705
Chrom1-121334052	1	59.3110270289579	6.68645848728634
Chrom1-121384502	1	59.3701080943262	6.5598669209135
Chrom1-121435757	1	59.5039519767497	6.41309651956226
Chrom1-121539380	1	59.6979779156267	6.16677279854085
Chrom1-121805703	1	59.9729591052424	6.27924050020935
c1.loc60	1	60	6.2691452377479
Chrom1-121959926	1	60.1087456399895	6.22302619391886
Chrom1-122854954	1	60.5220280989218	6.61728282236297
Chrom1-123007270	1	60.9340376636462	6.61728282236379
Chrom1-123212824	1	60.9340377636462	6.61728282236278
Chrom1-123414383	1	61.1911224175004	6.60699758325799
Chrom1-123567103	1	61.4481945915442	6.5640188657444
Chrom1-124526980	1	61.8614668315148	5.24534062268072
Chrom1-124688940	1	61.8614815721045	5.24534062268064
c1.loc62	1	62	5.20556802541524
Chrom1-124743220	1	62.3675882887131	5.04424326682914
Chrom1-124793447	1	62.5018674117262	4.96992715340186
Chrom1-124843976	1	62.5688655939961	4.97451716687483
Chrom1-124999633	1	63.1379959192866	5.0444923331338
Chrom1-125154164	1	63.3049611729116	5.0380505877225
Chrom1-125310236	1	63.3049612729116	5.03805058772258
Chrom1-125734252	1	63.464465451177	4.97156756251077
c1.loc64	1	64	4.43520617114771
Chrom1-125892221	1	64.1020125059223	4.31187995584843
Chrom1-125942490	1	64.3407746508903	4.25636324650793
Chrom1-126105948	1	64.3407747508903	4.25636322166304
Chrom1-126216853	1	64.3407748508903	3.85756182099676
c1.loc66	1	66	3.82373504608066
c1.loc68	1	68	3.77247512239918
c1.loc70	1	70	3.70793509075203
c1.loc72	1	72	3.62812883340208
c1.loc74	1	74	3.53112382471933
c1.loc76	1	76	3.41520941753063
Chrom8-7445	8	0	4.46775058046951
Chrom8-243832	8	1.00000002822922e-07	4.46775058043583
Chrom8-706453	8	0.13033932651705	4.45357880610736
Chrom8-809383	8	0.130339426517053	4.45357881655404
Chrom8-860567	8	0.50434702352013	5.21353830305428
Chrom8-916061	8	0.535002899129933	5.22918721582832
Chrom8-967460	8	1.14321343282798	5.31648267009844
Chrom8-1017714	8	1.14321353282799	5.31648266737036
Chrom8-1069979	8	1.14321363282799	5.3164826478702
Chrom8-1204806	8	1.81501476545355	5.00621264462801
Chrom8-1255399	8	1.81501486545356	5.00621260812865
c8.loc2	8	2	4.93669765749436
Chrom8-1391034	8	2.12180437439786	4.88913703006065
Chrom8-1453558	8	2.25071722339409	5.06558880777358
Chrom8-1557094	8	2.30849519664491	5.11782347463505
Chrom8-1670903	8	2.72022386850786	5.45782944939949
Chrom8-1723240	8	2.72022396850787	5.45782950850405
Chrom8-1773352	8	2.72022406850787	5.45782950841485
Chrom8-1901458	8	3.14834646532374	5.33481862035821
Chrom8-2003156	8	3.22744065123091	5.3076429858205
Chrom8-2056322	8	3.56816171215157	5.10114819799293
Chrom8-2109818	8	3.56816181215158	5.10114811666507
Chrom8-2159897	8	3.56816191215158	5.10114815683553
c8.loc4	8	4	5.25067324297427
Chrom8-2213088	8	4.42262194311178	5.28707683009135
Chrom8-2264545	8	4.42262204311178	5.28707681030748
Chrom8-2315267	8	4.42262214311179	5.2870767751359
Chrom8-2416517	8	4.6315812319131	5.20795446372181
Chrom8-2520969	8	4.83997419003871	4.64696762498167
Chrom8-2622795	8	5.27410409109928	4.87825818532114
Chrom8-2820307	8	5.27410419109928	4.87825821138438
Chrom8-3013566	8	5.27410429109928	4.87825829353996
Chrom8-3178199	8	5.88754992328386	4.85275085619821
Chrom8-3233334	8	5.88755002328386	4.85275082238615
Chrom8-3287505	8	5.88755012328386	4.85275083143502
c8.loc6	8	6	4.92332801367092
Chrom8-3338267	8	6.05702121175024	4.95899377444044
Chrom8-3390545	8	6.3944881399706	5.16794434066073
Chrom8-3443071	8	6.3944882399706	5.16794440195349
Chrom8-3625470	8	7.49668893382306	5.7661870171179
Chrom8-3727778	8	7.49668903382306	5.76618699898138
Chrom8-3779417	8	7.49668913382306	5.76618697485575
Chrom8-3829622	8	7.49668923382307	5.7661869603759
c8.loc8	8	8	5.55310064628921
Chrom8-3893935	8	8.27240784818021	5.40526304977728
Chrom8-3945024	8	8.46042090377302	5.29227921241093
Chrom8-3995550	8	8.46042100377302	5.29227919081087
Chrom8-4048181	8	9.08645758631888	5.12165053220127
Chrom8-4202009	8	9.13163036023931	5.12495650743109
Chrom8-4308869	8	9.42567823565969	5.12459772439917
Chrom8-4362180	8	9.42567833565969	5.12459772427644
Chrom8-4414227	8	9.64928580078023	5.12464038861543
Chrom8-4515667	8	9.73036047497831	5.12465592514845
c8.loc10	8	10	5.20222990330765
Chrom8-4618588	8	10.1609249211476	5.24416512075852
Chrom8-4674336	8	10.1609250211476	5.24416514574375
Chrom8-4777953	8	10.8796158378744	5.4680961464164
Chrom8-4833081	8	10.9999726629396	5.53256287138564
