chr	pos	lod
Chrom1-5652	1	0	0.0910945715016283
Chrom1-183102	1	1.00000002822922e-07	0.0910945714972513
Chrom1-603629	1	2.00000005645844e-07	0.0910945714927038
Chrom1-761741	1	3.00000008468766e-07	0.0910945714884406
Chrom1-863105	1	0.103471568004863	0.0910899699418906
Chrom1-964613	1	0.103471668004866	0.0910899698962453
Chrom1-1016938	1	0.29823127307677	0.0910683660174527
Chrom1-1069694	1	0.298231373076772	0.0910683809907482
Chrom1-1121619	1	0.761938634387554	0.170925921802166
Chrom1-1172951	1	0.761938734387557	0.17092592179614
Chrom1-1223030	1	0.76193883438756	0.170925905176716
Chrom1-1325794	1	1.12247822222867	0.116292296618269
Chrom1-1390198	1	1.12247832222867	0.1162922982856
Chrom1-1441272	1	1.5608482569274	0.106111578905541
Chrom1-1492718	1	1.5608483569274	0.106111577700574
Chrom1-1546098	1	1.5608484569274	0.106111563302363
c1.loc2	1	2	0.0539074183222397
Chrom1-1596723	1	2.37488230695494	0.0308837319366262
Chrom1-1711327	1	2.59177479975153	0.0308687483612857
Chrom1-1763616	1	2.59177489975153	0.0308687411965707
Chrom1-1814638	1	2.59177499975153	0.0308687340314009
Chrom1-1872167	1	2.93163406541386	0.0313976349108316
Chrom1-1924661	1	3.2714210113261	0.080556089553852
Chrom1-2027517	1	3.27142111132611	0.0805561107186463
Chrom1-2136853	1	3.74661300739908	0.078887321652303
Chrom1-2187817	1	3.86936961640132	0.0782427687029781
c1.loc4	1	4	0.0774647223701663
Chrom1-2239587	1	4.16994016573716	0.0763180178428797
Chrom1-2291990	1	4.16994026573716	0.0763180207233631
Chrom1-2344686	1	4.5197693826835	0.0993635024120749
Chrom1-2395776	1	4.87048564535907	0.137250978851853
Chrom1-2446015	1	5.23534709509334	0.108071640790001
Chrom1-2496728	1	5.23534719509334	0.108071622824809
Chrom1-2549023	1	5.32624849103758	0.105359289775379
Chrom1-2650133	1	5.43268963957073	0.126393109080027
Chrom1-2756385	1	5.6582739067001	0.139859207279244
c1.loc6	1	6	0.121317378246147
Chrom1-2807086	1	6.77101698684563	0.0880097824414747
Chrom1-2857437	1	6.77101708684564	0.0880097807419133
Chrom1-2912792	1	6.77101718684564	0.0880097781946461
Chrom1-2965574	1	7.23115784769613	0.0238771222460059
Chrom1-3019235	1	7.48236225482419	0.00474178869490061
Chrom1-3070720	1	7.48236235482419	0.00474178563814576
Chrom1-3122485	1	7.9463985498561	0.00774577311403846
Chrom1-3172507	1	7.9463986498561	0.00774577346402339
c1.loc8	1	8	0.00947042928964947
Chrom1-3229036	1	8.88687984842846	0.0674502973384961
Chrom1-3381594	1	8.88687994842846	0.067450303313592
Chrom1-3432080	1	9.11737529316105	0.0703617467235063
Chrom1-3482935	1	9.11737539316105	0.0703617467177082
Chrom1-3586241	1	9.11737549316105	0.0703617467116828
Chrom1-3800847	1	9.61576382607849	0.0445098559754911
Chrom1-3956346	1	9.73747460492996	0.0415156322953294
c1.loc10	1	10	0.08406102932571
Chrom1-4160303	1	10.1513314850335	0.115546843981576
Chrom1-4212527	1	10.1513315850335	0.115546843976915
Chrom1-4372350	1	10.855619093551	0.353250288510367
Chrom1-4538427	1	11.0628943257647	0.352233268452778
Chrom1-4643471	1	11.8375833438862	0.426993135499913
c1.loc12	1	12	0.424815247301922
Chrom1-4897657	1	12.1220004588309	0.422907277239858
Chrom1-4948517	1	12.1220005588309	0.422907260115096
Chrom1-5056936	1	12.6388664157656	0.406556046485434
Chrom1-5107761	1	12.6388665157656	0.406556054648775
Chrom1-5160796	1	12.6388666157656	0.406556060544233
Chrom1-5213184	1	13.0832233528156	0.288055969832385
Chrom1-5264775	1	13.0832234528156	0.288055940729009
Chrom1-5315439	1	13.0832235528156	0.288055912511766
c1.loc14	1	14	0.2739723554497
Chrom1-5418960	1	14.1012404074118	0.273648781200791
Chrom1-5474279	1	14.1012405074118	0.27364878079544
Chrom1-5525822	1	14.1012406074118	0.273648780389635
Chrom1-5578409	1	14.4944338870687	0.352804684694263
Chrom1-5628901	1	14.8997739657646	0.451571501524825
Chrom1-5679112	1	15.1640255852324	0.683977130625578
Chrom1-5781306	1	15.4484802760875	0.890694377302964
Chrom1-5831406	1	15.4484803760875	0.89069438212664
Chrom1-5882169	1	15.4484804760875	0.890694389091777
c1.loc16	1	16	0.917610484628085
Chrom1-5936223	1	16.0935410285572	0.922404696399383
Chrom1-5987582	1	16.0935411285572	0.922404646184418
Chrom1-6039981	1	16.7382288276951	0.439480449232121
Chrom1-6094232	1	16.7382289276951	0.439480464317285
Chrom1-6144233	1	16.7382290276951	0.439480472609318
Chrom1-6318649	1	17.6098727589947	0.298088872391759
Chrom1-6369443	1	17.6098728589947	0.298088880518549
Chrom1-6420980	1	17.6098729589947	0.298088883152047
Chrom1-6523782	1	17.8970247699018	0.236533805367912
c1.loc18	1	18	0.260990017162783
Chrom1-6629073	1	18.1264280110141	0.299806322890163
Chrom1-6679388	1	18.1264281110141	0.299806318271976
Chrom1-6782046	1	18.7007566422192	0.294688505769102
Chrom1-6833788	1	18.9065784435635	0.273551415735596
Chrom1-6891522	1	19.0515741996239	0.289881861875358
Chrom1-6942777	1	19.5270202672787	0.31359026950571
c1.loc20	1	20	0.294239041673052
Chrom1-6994230	1	20.0519922909055	0.290819895968866
Chrom1-7046610	1	20.0519923909055	0.29081990247505
Chrom1-7098549	1	20.6219415147693	0.31308497900784
Chrom1-7150657	1	20.8907858828773	0.321574465292429
Chrom1-7201632	1	20.8907859828773	0.321574469126972
Chrom1-7267012	1	21.4748075447272	0.293237172875365
Chrom1-7373428	1	21.9419675765868	0.207471163279138
c1.loc22	1	22	0.202148242538897
Chrom1-7535262	1	22.1133534802102	0.19185876528212
Chrom1-7638676	1	22.1133535802102	0.191858756273689
Chrom1-7798435	1	22.2476391396362	0.180607292149489
Chrom1-7917007	1	22.2476392396362	0.180607283334041
Chrom1-8080770	1	22.493879116791	0.0716058697024096
Chrom1-8133986	1	22.493879216791	0.0716058685691223
Chrom1-8190487	1	22.65744863269	0.0720566337306536
Chrom1-8315433	1	22.65744873269	0.0720566332265093
Chrom1-8418313	1	22.9880906363023	0.0738691311037201
Chrom1-8519661	1	23.1990511379591	0.0711255255735637
Chrom1-8570618	1	23.1990512379591	0.0711255255536116
Chrom1-8620754	1	23.1990513379591	0.071125525532409
c1.loc24	1	24	0.0546707770226931
Chrom1-8723314	1	24.0351135343336	0.0540339363894304
Chrom1-8824762	1	24.8715986109492	0.0124232597062246
Chrom1-8880536	1	24.8715987109492	0.012423257087562
Chrom1-8939823	1	24.8715988109492	0.0124232568123261
Chrom1-9041782	1	25.4670509154335	0.0120573583109262
Chrom1-9094942	1	25.6763342193412	0.0103539425573445
Chrom1-9146814	1	25.6763343193412	0.0103539399026431
c1.loc26	1	26	0.00731010707414725
Chrom1-9202503	1	26.547780744899	0.0388701365995416
Chrom1-9313638	1	26.547780844899	0.0388701438408248
Chrom1-9363831	1	26.547780944899	0.0388701508159102
Chrom1-9465395	1	27.0707766700726	0.0550706728676005
Chrom1-9519090	1	27.199406856907	0.0581391360723842
Chrom1-9620268	1	27.3292516514762	0.0612985125769114
Chrom1-9676126	1	27.3292517514762	0.061298525658799
Chrom1-9783173	1	27.6684541469588	0.113432022908398
Chrom1-9833757	1	27.7452713696009	0.120450703607958
Chrom1-9887020	1	27.9064613311172	0.107951429817263
c1.loc28	1	28	0.101828729012311
Chrom1-9995779	1	28.4398393590234	0.0766869027775101
Chrom1-10054696	1	28.8004175017485	0.0688701669527063
Chrom1-10105268	1	28.8004176017485	0.068870164737632
Chrom1-10158658	1	28.8004177017485	0.0688701626614261
Chrom1-10264368	1	29.8206639275874	0.0370203224780994
Chrom1-10314433	1	29.8206640275874	0.037020325269566
c1.loc30	1	30	0.0565617635410831
Chrom1-10469547	1	30.0442358693533	0.0620337748803763
Chrom1-10782470	1	30.2594592018528	0.065001937694035
Chrom1-11002572	1	30.5246015150964	0.120838242227364
Chrom1-11282337	1	31.3436613870164	0.220928624423323
Chrom1-11581340	1	31.5432559709027	0.227351112096869
Chrom1-11734526	1	31.7431112777533	0.174409029908134
c1.loc32	1	32	0.144136408421161
Chrom1-11888825	1	32.4219039912082	0.102378360949444
Chrom1-12010387	1	32.4219040912082	0.102378372362182
Chrom1-12113892	1	32.8386390639686	0.184393106960783
Chrom1-12164327	1	33.578721464302	0.299583937864895
Chrom1-12215819	1	33.6235232290978	0.308842170253115
c1.loc34	1	34	0.354422512982012
Chrom1-12266909	1	34.0070192051692	0.355302497937714
Chrom1-12370910	1	34.2727225599418	0.355302497937544
Chrom1-12522284	1	34.3820431104492	0.355302497937828
Chrom1-12628489	1	34.5878426884874	0.294200391771483
Chrom1-12745616	1	34.5878427884874	0.29420039177154
Chrom1-12902338	1	34.5878428884874	0.294200468389249
Chrom1-12952798	1	34.7106719628827	0.396066279325169
Chrom1-13105023	1	34.9581537777207	0.402177512015271
Chrom1-13213048	1	35.204679608573	0.345851306683585
Chrom1-13320090	1	35.204679708573	0.345851306683528
Chrom1-13490147	1	35.204679808573	0.345851306683528
Chrom1-13540912	1	35.3588311764454	0.345851306683528
Chrom1-13642304	1	35.5123709599889	0.345851306683528
Chrom1-13793503	1	35.5123710599889	0.345851297317893
Chrom1-13960398	1	35.8299267196203	0.396532064826147
Chrom1-14062896	1	35.9869776446686	0.356424617752566
c1.loc36	1	36	0.355590080739603
Chrom1-14167820	1	36.2870880348772	0.327169414113598
Chrom1-14219704	1	36.3067956038196	0.321470213612542
Chrom1-14269866	1	36.5000138487212	0.21335590706866
Chrom1-14476516	1	36.6303954674544	0.167631970248124
Chrom1-14581432	1	36.7250749281307	0.200758142324503
Chrom1-14736217	1	36.9525675838073	0.355636514049763
Chrom1-14898290	1	37.0548736961089	0.35563651404965
Chrom1-15102016	1	37.1574940033545	0.35563651404965
Chrom1-15417330	1	37.2598539411607	0.355636514050559
Chrom1-15575835	1	37.4651561581081	0.35563651404965
Chrom1-15895473	1	37.8785883666525	0.272500224887892
Chrom1-15946213	1	37.8785884666525	0.272500221100358
c1.loc38	1	38	0.252346724367953
Chrom1-15996245	1	38.1528814033053	0.223682535440787
Chrom1-16098601	1	38.2893537580596	0.154279271466805
Chrom1-16368825	1	38.4390972837862	0.186044689340065
Chrom1-16473225	1	38.6161833262119	0.182532155149374
Chrom1-16577688	1	38.7492796980689	0.191482819767543
Chrom1-16631397	1	39.0854216630121	0.139237152613475
Chrom1-16786631	1	39.421506590683	0.227064921791225
Chrom1-16943084	1	39.421506690683	0.227064923714863
Chrom1-17043617	1	39.5847857523571	0.23109744417377
Chrom1-17147073	1	39.6964707211547	0.231097444173827
Chrom1-17198172	1	39.7475013564607	0.236881046191058
c1.loc40	1	40	0.322128692122135
Chrom1-17357072	1	40.2450239849802	0.41655036415915
Chrom1-17407545	1	40.2450240849802	0.416550364158752
