chr	pos	lod
Chrom2-1073791	2	1.87198825322641	3.66435877990153
Chrom2-1236932	2	1.87198835322641	3.66435877948371
c2.loc2	2	2	3.72236535953278
Chrom2-1340325	2	2.21798435598771	3.81355651420549
Chrom2-1396160	2	2.39027566795576	4.06889642699449
Chrom2-1452395	2	2.64944085570836	4.42187850545799
Chrom2-1561233	2	2.90924106507422	4.72331697846763
Chrom2-1670354	2	3.09313857806797	5.40466753406933
Chrom2-1722267	2	3.32497117482492	5.40481521616088
Chrom2-1772571	2	3.46108108976558	5.38209452810436
Chrom2-2037270	2	3.73728049394073	5.3740098866488
c2.loc4	2	4	5.57787232079937
Chrom2-2373770	2	4.42289266838883	5.78180341609379
Chrom2-2427998	2	4.42289276838883	5.78180341562266
Chrom2-2529679	2	4.98073073565203	5.77808943959539
Chrom2-2581054	2	4.98073083565203	5.77808912525894
Chrom2-2632994	2	4.98073093565203	5.77808881092252
Chrom2-2683121	2	5.3553334537152	4.58300231380589
Chrom2-2736558	2	5.3553335537152	4.58300192089903
Chrom2-2839292	2	5.79789972218197	4.58330038274242
Chrom2-2919626	2	5.79789982218198	4.58330052983369
c2.loc6	2	6	4.84625729329389
Chrom2-3181097	2	6.21256944877326	5.03485505393932
Chrom2-3232903	2	6.34617022010741	4.99821389018895
Chrom2-3291827	2	6.55804929513579	5.0005325171841
Chrom2-3342703	2	6.78856505457184	4.91515040046094
Chrom2-3393426	2	6.93854640505694	4.91525970619237
Chrom2-3499828	2	6.93854650505695	4.91525970626525
Chrom2-3611997	2	7.2390946319094	4.91547940843974
Chrom2-3714339	2	7.23909473190941	4.91547941535013
Chrom2-3834391	2	7.98248709125552	5.00238834727192
c2.loc8	2	8	4.98603853947064
Chrom2-3896824	2	8.21172986843419	4.76863772307823
Chrom2-4050191	2	8.70998380234533	4.14818947561974
Chrom2-4310626	2	9.11530565440523	4.14856962217596
Chrom2-4364006	2	9.24845174977863	4.14869479516599
Chrom2-4466196	2	9.24845184977864	4.14869479525992
Chrom2-4576623	2	9.36943198962067	4.14789888124668
Chrom2-4683565	2	9.56201796903387	4.21868638409809
c2.loc10	2	10	4.46081075100439
Chrom2-4785190	2	10.6672008029204	4.6275522911262
Chrom2-4886118	2	10.6672009029204	4.62755229185243
Chrom2-5048280	2	10.6672010029204	4.627552292578
Chrom2-5105895	2	10.9293506053382	4.65610190549481
Chrom2-5156989	2	11.3246133397476	4.59925523492732
Chrom2-5207209	2	11.3246134397476	4.59925520607756
Chrom2-5260899	2	11.3246135397476	4.59925517722844
Chrom2-5364959	2	11.3246136397476	4.59925517732527
Chrom2-5517692	2	11.4986849506841	4.59942342032097
Chrom2-5576049	2	11.6747718850906	4.59959384087249
Chrom2-5677501	2	11.6747719850906	4.59959383430162
c2.loc12	2	12	4.59051334129418
Chrom2-5780035	2	12.2963680734076	4.55006453958838
Chrom2-5830452	2	12.7178771056742	4.17267434997735
Chrom2-5936760	2	13.0984112735212	3.62797299488779
Chrom2-5987173	2	13.0984113735212	3.62797307166054
