chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-12432524	25.6790095917765	3.98427240621672
chr2	lod_1.5	Chrom2-134901296	83.4407117596792	5.51559898393938
chr2	lod_1.5	Chrom2-141111435	97.9952386294825	3.79869090646605
chr2	lod_2	Chrom2-12015573	25.3189802638361	3.17620657475379
chr2	lod_2	Chrom2-134901296	83.4407117596792	5.51559898393938
chr2	lod_2	Chrom2-142147923	100.287735682909	3.32358398542203
chr2	bayes	Chrom2-12121107	25.6790092917765	3.98427240402444
chr2	bayes	Chrom2-134901296	83.4407117596792	5.51559898393938
chr2	bayes	Chrom2-141003158	97.8154308592524	4.38812768570656
chr6	lod_1.5	Chrom6-6437612	13.8952122974912	4.28706492681118
chr6	lod_1.5	Chrom6-7964580	18.8727922290534	5.80423642524266
chr6	lod_1.5	Chrom6-109501058	59.387413222563	3.41529546921311
chr6	lod_2	Chrom6-3343495	5.01773564678791	3.71373709087052
chr6	lod_2	Chrom6-7964580	18.8727922290534	5.80423642524266
chr6	lod_2	Chrom6-109501058	59.387413222563	3.41529546921311
chr6	bayes	Chrom6-5851898	11.9636757089479	3.85767463972647
chr6	bayes	Chrom6-7964580	18.8727922290534	5.80423642524266
chr6	bayes	Chrom6-109501058	59.387413222563	3.41529546921311
