trait	model	alpha	n_qtl	best_chr	best_pos	best_lod	selected_int	pve	covariate_only_pve	total_qtl_pve	trait_report_file	peak_intervals_run_id	peak_intervals_run_dir
INFA	normal	0.05	2	1	90	8.97639707425736	NA	28.3913048257516	6.27742649478369	22.1138783309679	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_INFA_20260513_154123.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
CAL	normal	0.05	0	NA	NA	NA	NA	NA	NA	NA	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_CAL_20260513_154128.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
VEFN	binary	0.05	0	NA	NA	NA	NA	NA	NA	NA	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_VEFN_20260513_154128.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
VNG	binary	0.05	1	6	8.57162938617707	31.0468478658406	NA	66.7231586214796	3.68585428983393	63.0373043316456	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_VNG_20260513_154129.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
RALA	normal	0.05	1	6	8.57162938617707	13.0250031823902	NA	38.9788994205457	3.93295510544963	35.0459443150961	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_RALA_20260513_154133.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
RAST	normal	0.05	1	6	8.57162938617707	14.2917631091865	NA	41.0851874765867	1.69758362515769	39.387603851429	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_RAST_20260513_154137.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
COL	normal	0.05	2	6	18.4244745240047	7.86837243201765	NA	40.6792607540896	17.9735117468776	22.7057490072121	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_COL_20260513_154141.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
COLL	normal	0.05	2	6	18.8727922290534	5.80423642524266	NA	26.7079419968415	4.94368261737371	21.7642593794678	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_COLL_20260513_154146.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
STAE	normal	0.05	4	3	60.8471573645268	5.84693780258047	NA	39.9559512281885	2.57616957119168	37.3797816569968	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_STAE_20260513_154150.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
TUA	normal	0.05	2	7.5	20.8467839601848	5.02778035985557	NA	18.131821713756	0.0391896682046755	18.0926320455514	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_TUA_20260513_154156.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
STATL	normal	0.05	1	2	38.1277540239129	9.19682870483868	NA	51.6293280535455	41.0295765958182	10.5997514577274	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_STATL_20260513_154201.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
LABL	normal	0.05	2	6	18.5524463561422	9.87346554983668	NA	37.3931954697996	13.9117946419893	23.4814008278103	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_LABL_20260513_154205.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
LABW	normal	0.05	4	2	71.6764905869214	6.94523796401998	NA	46.2883272917345	7.87236883774818	38.4159584539864	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_LABW_20260513_154210.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
CLL	normal	0.05	1	8	41.0816556290401	5.914166404409	NA	13.4842524674847	1.70554068226272	11.778711785222	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_CLL_20260513_154216.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
STAL	normal	0.05	2	6	18.8727922290534	7.98861056511302	NA	33.006760243437	13.9699322964463	19.0368279469907	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_STAL_20260513_154220.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
STAW	normal	0.05	2	2	94.6579119819928	8.78422511814772	NA	36.0578364467534	12.2588820885616	23.7989543581918	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_STAW_20260513_154225.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
ANL	normal	0.05	2	2	46.0799576438947	4.52533425437018	NA	24.743388263717	9.96420416029976	14.7791841034172	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_ANL_20260513_154229.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
ANW	normal	0.05	0	NA	NA	NA	NA	NA	NA	NA	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_ANW_20260513_154234.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
STIW	normal	0.05	3	2	108.220687393173	4.25799537449648	NA	24.8549376601511	0.0184593499433339	24.8364783102078	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_STIW_20260513_154234.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
STYL	normal	0.05	1	6	67.8597284776	3.97731221664142	NA	31.7708231738276	25.6432650654506	6.12755810837704	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_STYL_20260513_154240.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
VFN	normal	0.05	2	1	57.4352752360499	5.52920256947334	NA	17.1152207768235	0.843806189016272	16.2714145878072	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_VFN_20260513_154244.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
FNSC	normal	0.05	1	3	29.6112555610807	4.9796377142307	NA	9.75740296938857	0.0270231527163656	9.73037981667221	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_FNSC_20260513_154249.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
EFNSC40	normal	0.05	1	2	79.5	5.79584224282189	NA	15.4453936443704	0.0155997563082821	15.4297938880621	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/trait_qtl_reports/qtl_trait_report_EFNSC40_20260513_154253.txt	20260513_alpha0.05	/Users/kathrynuckele/Dropbox/Costus/costus-genetic-mapping/qtl_mapping/results/peak_intervals/20260513_alpha0.05
