chr	pos	lod
Chrom6-73270	6	0	22.9346046372624
Chrom6-129067	6	1.00000002822922e-07	22.9346046320199
Chrom6-181093	6	2.00000005645844e-07	22.9346046267772
Chrom6-231178	6	3.00000008468766e-07	22.934604621227
Chrom6-336857	6	0.142888806526717	22.9266485331488
Chrom6-391127	6	0.14288890652672	22.9266485275554
Chrom6-507884	6	0.142889006526723	22.9266485218971
Chrom6-717185	6	0.142889106526726	22.9266485167975
Chrom6-827419	6	0.24640024268566	22.9213614171955
Chrom6-879492	6	0.246400342685662	22.9213614120793
Chrom6-930925	6	0.401036503906482	22.9134306374778
Chrom6-981010	6	0.401036603906485	22.9134306323366
Chrom6-1041076	6	0.401036703906488	22.913430627177
Chrom6-1315788	6	0.555481851187793	22.9054421328345
Chrom6-1591152	6	0.970043466301647	22.8471782999639
Chrom6-1704506	6	0.97004356630165	22.84717829428
Chrom6-1856576	6	1.09107225500776	24.1434799770766
Chrom6-1959797	6	1.63604158147202	25.9745201930806
Chrom6-2013476	6	1.95698856839003	25.8707743388806
c6.loc2	6	2	25.8930787817545
Chrom6-2116314	6	2.01729888024157	25.9014501020964
Chrom6-2273738	6	2.51924632266273	26.3328705674251
Chrom6-2375622	6	2.77406982610984	26.5018107541974
Chrom6-2433430	6	2.77406992610985	26.5018108263598
Chrom6-2598284	6	3.25034837984214	27.9977215622258
Chrom6-2763924	6	3.48847204290306	28.0671115972969
Chrom6-2867802	6	3.71978283969091	28.1462563477039
Chrom6-2920772	6	3.86163927187879	28.1462563477038
Chrom6-2971046	6	3.86163937187879	28.1462563477039
Chrom6-3073307	6	3.8616394718788	28.1462566964577
c6.loc4	6	4	29.1475805550695
Chrom6-3177492	6	4.31105527017933	30.306310784136
Chrom6-3292422	6	4.411092702964	30.8505246367615
Chrom6-3343495	6	5.01773564678791	34.3058102804846
Chrom6-3395469	6	5.36482860481246	35.1161643833125
Chrom6-3449893	6	5.36482870481246	35.1161644676284
Chrom6-3557058	6	5.83248005047386	36.6713985599511
c6.loc6	6	6	38.5094820380462
Chrom6-3659787	6	6.12377503075363	39.2717880853051
Chrom6-3768149	6	6.31045455914472	41.3643216065819
