chr	pos	lod
Chrom1-5652	1	0	0.292297317855684
Chrom1-183102	1	1.00000002822922e-07	0.292297317804639
Chrom1-603629	1	2.00000005645844e-07	0.292297317753707
Chrom1-761741	1	3.00000008468766e-07	0.292297317702776
Chrom1-863105	1	0.103471568004863	0.292244519518647
Chrom1-964613	1	0.103471668004866	0.2922445173146
Chrom1-1016938	1	0.29823127307677	0.287755747634833
Chrom1-1069694	1	0.298231373076772	0.287755744714786
Chrom1-1121619	1	0.761938634387554	0.270284676313565
Chrom1-1172951	1	0.761938734387557	0.270284676264282
Chrom1-1223030	1	0.76193883438756	0.270284688730499
Chrom1-1325794	1	1.12247822222867	0.302648630504848
Chrom1-1390198	1	1.12247832222867	0.302648597232348
Chrom1-1441272	1	1.5608482569274	0.226226582014533
Chrom1-1492718	1	1.5608483569274	0.226226577017087
Chrom1-1546098	1	1.5608484569274	0.22622655709057
c1.loc2	1	2	0.143536599404456
Chrom1-1596723	1	2.37488230695494	0.0881801659080566
Chrom1-1711327	1	2.59177479975153	0.0881311982343504
Chrom1-1763616	1	2.59177489975153	0.0881312018299241
Chrom1-1814638	1	2.59177499975153	0.0881312054253272
Chrom1-1872167	1	2.93163406541386	0.100567506430423
Chrom1-1924661	1	3.2714210113261	0.112977428206761
Chrom1-2027517	1	3.27142111132611	0.112977431789545
Chrom1-2136853	1	3.74661300739908	0.10857594619273
Chrom1-2187817	1	3.86936961640132	0.107775224586192
c1.loc4	1	4	0.107808061082153
Chrom1-2239587	1	4.16994016573716	0.107645680059363
Chrom1-2291990	1	4.16994026573716	0.107645675653828
Chrom1-2344686	1	4.5197693826835	0.134928581452755
Chrom1-2395776	1	4.87048564535907	0.132014929571938
Chrom1-2446015	1	5.23534709509334	0.11215602085332
Chrom1-2496728	1	5.23534719509334	0.112156020713485
Chrom1-2549023	1	5.32624849103758	0.112067912658745
Chrom1-2650133	1	5.43268963957073	0.112054023821372
Chrom1-2756385	1	5.6582739067001	0.113224688971172
c1.loc6	1	6	0.114235526309074
Chrom1-2807086	1	6.77101698684563	0.11796469180689
Chrom1-2857437	1	6.77101708684564	0.117964693093029
Chrom1-2912792	1	6.77101718684564	0.117964694475859
Chrom1-2965574	1	7.23115784769613	0.0759174631926953
Chrom1-3019235	1	7.48236225482419	0.0777501304689281
Chrom1-3070720	1	7.48236235482419	0.077750129215417
Chrom1-3122485	1	7.9463985498561	0.131135997651597
Chrom1-3172507	1	7.9463986498561	0.13113600780099
c1.loc8	1	8	0.130433360765721
Chrom1-3229036	1	8.88687984842846	0.13269479386588
Chrom1-3381594	1	8.88687994842846	0.13269479562274
Chrom1-3432080	1	9.11737529316105	0.130076875171767
Chrom1-3482935	1	9.11737539316105	0.130076874037286
Chrom1-3586241	1	9.11737549316105	0.130076869573031
Chrom1-3800847	1	9.61576382607849	0.158074706211835
Chrom1-3956346	1	9.73747460492996	0.176162198587463
c1.loc10	1	10	0.141583818141839
Chrom1-4160303	1	10.1513314850335	0.124734762701507
Chrom1-4212527	1	10.1513315850335	0.124734762741866
Chrom1-4372350	1	10.855619093551	0.101546974415896
Chrom1-4538427	1	11.0628943257647	0.184956965529807
Chrom1-4643471	1	11.8375833438862	0.267353950560164
c1.loc12	1	12	0.270153151930515
Chrom1-4897657	1	12.1220004588309	0.272459892359905
Chrom1-4948517	1	12.1220005588309	0.272459897689089
Chrom1-5056936	1	12.6388664157656	0.320606873115423
Chrom1-5107761	1	12.6388665157656	0.320606880925141
Chrom1-5160796	1	12.6388666157656	0.320606886715098
Chrom1-5213184	1	13.0832233528156	0.311252230712682
Chrom1-5264775	1	13.0832234528156	0.311252227548266
Chrom1-5315439	1	13.0832235528156	0.311252229879926
c1.loc14	1	14	0.238603222868164
Chrom1-5418960	1	14.1012404074118	0.231456194221437
Chrom1-5474279	1	14.1012405074118	0.231456186173602
Chrom1-5525822	1	14.1012406074118	0.23145617540348
Chrom1-5578409	1	14.4944338870687	0.221981734510337
Chrom1-5628901	1	14.8997739657646	0.223907328379084
Chrom1-5679112	1	15.1640255852324	0.231567628042683
Chrom1-5781306	1	15.4484802760875	0.327024355778576
Chrom1-5831406	1	15.4484803760875	0.327024390855001
Chrom1-5882169	1	15.4484804760875	0.327024389132362
c1.loc16	1	16	0.327395619576066
Chrom1-5936223	1	16.0935410285572	0.327458538397138
Chrom1-5987582	1	16.0935411285572	0.327458546833043
Chrom1-6039981	1	16.7382288276951	0.420423669870672
Chrom1-6094232	1	16.7382289276951	0.420423669995387
Chrom1-6144233	1	16.7382290276951	0.420423668385922
Chrom1-6318649	1	17.6098727589947	0.458310347251995
Chrom1-6369443	1	17.6098728589947	0.458310349630722
Chrom1-6420980	1	17.6098729589947	0.458310350874342
Chrom1-6523782	1	17.8970247699018	0.323144715009391
c1.loc18	1	18	0.322338403729361
Chrom1-6629073	1	18.1264280110141	0.321041781998929
Chrom1-6679388	1	18.1264281110141	0.321041791382243
Chrom1-6782046	1	18.7007566422192	0.354079876938385
Chrom1-6833788	1	18.9065784435635	0.372112826844614
Chrom1-6891522	1	19.0515741996239	0.358652615821256
Chrom1-6942777	1	19.5270202672787	0.351633969005093
c1.loc20	1	20	0.364339945138454
