chr	pos	lod
Chrom1-16098601	1	38.2893537580596	3.77574354181687
Chrom1-16631397	1	39.0854216630121	3.94636412423287
Chrom1-16786631	1	39.421506590683	3.89316953317646
Chrom1-16943084	1	39.421506690683	3.89316971078136
Chrom1-17043617	1	39.5847857523571	4.16319063156476
Chrom1-17147073	1	39.6964707211547	4.16319063156476
Chrom1-17198172	1	39.7475013564607	4.16319063156513
c1.loc40	1	40	4.34063318154273
Chrom1-17357072	1	40.2450239849802	4.49317627251509
Chrom1-17407545	1	40.2450240849802	4.49317627251466
Chrom1-17457715	1	40.2450241849802	4.4931762367988
Chrom1-17634061	1	40.8436629437429	4.32658422172818
Chrom1-17737887	1	41.2155531349241	4.09249760645997
Chrom1-17845954	1	41.5868001923233	4.17519807976939
Chrom1-18053208	1	41.5868002923233	4.17519809421776
Chrom1-18203714	1	41.7092201463062	4.17519809421702
Chrom1-18306263	1	41.9301021841797	4.19640319299998
Chrom1-18409583	1	41.9859968783154	4.18985249617754
c1.loc42	1	42	4.18350309802526
Chrom1-18511464	1	42.2189446302547	4.0495010147927
Chrom1-21902059	1	45.2915932576083	3.77553152890857
Chrom1-21953006	1	45.2915933576083	3.77553160759479
Chrom1-22003207	1	45.2915934576083	3.77553173604255
Chrom1-22163295	1	45.7040969012589	3.96625842642817
Chrom1-22268844	1	45.7040970012589	3.96625843264084
c1.loc46	1	46	3.96625845054723
Chrom1-22475360	1	46.0129803007012	3.96625843264133
Chrom1-22526478	1	46.0129804007012	3.96625838721621
Chrom1-22579384	1	46.0129805007012	3.96625832741492
Chrom1-103361357	1	49.8173387571623	3.84608488510622
Chrom1-103675120	1	49.9199625436917	4.16058226151719
c1.loc50	1	50	4.16058225937422
Chrom1-104096031	1	50.022325919725	4.16058226151719
Chrom1-104768386	1	50.2284265285951	4.29744670402047
Chrom1-106197386	1	50.3305297118583	4.29744670402047
Chrom1-107158010	1	50.5366303207072	4.29744670402047
Chrom1-107263246	1	50.6389936998355	4.29744670402042
Chrom1-108284003	1	50.7410956171125	4.29744670402047
Chrom1-108494030	1	51.0505341100918	3.99703970704874
Chrom1-109218990	1	51.340034065902	3.9970397070488
Chrom1-109281516	1	51.340034165902	3.99703969077825
Chrom1-109332307	1	51.629323815394	3.89376583408912
Chrom1-109593936	1	51.9766394439115	3.92581770891914
Chrom1-109855771	1	51.9766395439115	3.92581770420566
c1.loc52	1	52	3.92072549654299
Chrom1-110042458	1	52.1828797360261	3.80071372543691
Chrom1-111013441	1	52.8013454098666	3.80461711353348
Chrom1-111116026	1	52.8013455098666	3.80461710216716
Chrom1-111217315	1	52.8013456098666	3.80461710216753
Chrom1-112330121	1	53.0064672089632	3.80461710216716
Chrom1-113008060	1	53.4327321036604	4.39050220534065
Chrom1-113112203	1	53.5259597454316	4.30466409148175
Chrom1-113167329	1	53.6283327857229	4.187686409859
Chrom1-113218365	1	53.9231696467156	4.37161204586084
c1.loc54	1	54	4.39889701170083
Chrom1-113322003	1	54.4223015622162	4.46709191619729
Chrom1-113422520	1	54.4223016622162	4.46709189977685
Chrom1-113576066	1	54.759063369229	4.85768068392986
Chrom1-113780650	1	54.759063469229	4.85768068393097
Chrom1-113936162	1	55.0680735334075	4.85768068392986
Chrom1-114353330	1	55.2218801394243	4.85768068392977
Chrom1-114409403	1	55.3756180131636	4.64111563335737
Chrom1-114511994	1	55.3756181131636	4.64111544186787
Chrom1-114772670	1	55.4771437345352	4.64111544186841
c1.loc56	1	56	4.43273229384218
Chrom1-115029927	1	56.0830419889183	4.35813996302372
Chrom1-115134316	1	56.2012352646029	4.35813996302366
Chrom1-115245443	1	56.4068580400199	4.34321504042842
Chrom1-115349709	1	56.4068581400199	4.34321504042836
Chrom1-115551454	1	56.5346424590995	4.12799552011927
Chrom1-115606027	1	56.9216474397811	3.99903800227969
Chrom1-115716576	1	56.9216475397811	3.99903799010198
Chrom1-116034887	1	57.0244710514173	3.99903799010198
Chrom1-117022097	1	57.1270914903887	3.8938589898267
Chrom1-117241720	1	57.2294527342076	3.8938589898267
Chrom1-117522189	1	57.4352751360499	4.24884676209254
Chrom1-117959962	1	57.4352752360499	4.24884676209248
Chrom1-118062249	1	57.4352753360499	4.24884676209248
Chrom1-118502226	1	57.5378256997597	4.18795014326253
