chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-17457715	40.2450241849802	6.53408114398438
chr1	lod_1.5	Chrom1-21953006	45.2915933576083	8.32085228054684
chr1	lod_1.5	Chrom1-27286572	48.5839635543164	6.71671401373318
chr1	lod_2	Chrom1-17198172	39.7475013564607	5.65804927683556
chr1	lod_2	Chrom1-21953006	45.2915933576083	8.32085228054684
chr1	lod_2	Chrom1-34690118	49.4067616756502	6.27864954768097
chr1	bayes	Chrom1-17634061	40.8436629437429	7.51394493603213
chr1	bayes	Chrom1-21953006	45.2915933576083	8.32085228054684
chr1	bayes	Chrom1-25711641	48.0707832908858	7.39278599347415
chr8	lod_1.5	Chrom8-809383	0.130339426517053	2.39411695319961
chr8	lod_1.5	Chrom8-29549395	40.465291139873	4.22592761078126
chr8	lod_1.5	Chrom8-33823147	40.5679101737759	4.22592761078126
chr8	lod_1.5	Chrom8-38038103	40.5679102737759	4.22592761078126
chr8	lod_1.5	Chrom8-38356098	40.7733458704726	4.22592761078126
chr8	lod_1.5	Chrom8-38467862	40.7733459704726	4.22592761078126
chr8	lod_1.5	Chrom8-40191569	40.8760939238291	4.22592761078126
chr8	lod_1.5	Chrom8-40515877	40.8760940238291	4.22592761078126
chr8	lod_1.5	Chrom8-40637481	40.8760941238291	4.22592761078126
chr8	lod_1.5	Chrom8-44276226	41.0816554290401	4.22592761078126
chr8	lod_1.5	Chrom8-44440966	41.0816555290401	4.22592761078126
chr8	lod_1.5	Chrom8-50415370	41.1842749818426	4.22592761078126
chr8	lod_1.5	Chrom8-84936295	42.3156153195737	2.56198274671483
chr8	lod_2	Chrom8-7445	0	2.41061340994737
chr8	lod_2	Chrom8-29549395	40.465291139873	4.22592761078126
chr8	lod_2	Chrom8-33823147	40.5679101737759	4.22592761078126
chr8	lod_2	Chrom8-38038103	40.5679102737759	4.22592761078126
chr8	lod_2	Chrom8-38356098	40.7733458704726	4.22592761078126
chr8	lod_2	Chrom8-38467862	40.7733459704726	4.22592761078126
chr8	lod_2	Chrom8-40191569	40.8760939238291	4.22592761078126
chr8	lod_2	Chrom8-40515877	40.8760940238291	4.22592761078126
chr8	lod_2	Chrom8-40637481	40.8760941238291	4.22592761078126
chr8	lod_2	Chrom8-44276226	41.0816554290401	4.22592761078126
chr8	lod_2	Chrom8-44440966	41.0816555290401	4.22592761078126
chr8	lod_2	Chrom8-50415370	41.1842749818426	4.22592761078126
chr8	lod_2	Chrom8-93053427	46.7032796328592	2.0244981618834
chr8	bayes	Chrom8-860567	0.50434702352013	2.81699970903163
chr8	bayes	Chrom8-29549395	40.465291139873	4.22592761078126
chr8	bayes	Chrom8-86656773	42.8294993264242	2.53644730652206
chr9	lod_1.5	Chrom9-1250222	1.0026334724508	2.68709631764672
chr9	lod_1.5	Chrom9-1563665	2.06972011297745	4.29796090356369
chr9	lod_1.5	Chrom9-95263179	34.7317964304615	2.75458441120982
chr9	lod_2	Chrom9-78403	0	2.67380489388174
chr9	lod_2	Chrom9-1563665	2.06972011297745	4.29796090356369
chr9	lod_2	Chrom9-96441450	36.5692959679332	2.21894198778934
chr9	bayes	Chrom9-78403	0	2.67380489388174
chr9	bayes	Chrom9-1563665	2.06972011297745	4.29796090356369
chr9	bayes	Chrom9-95263179	34.7317964304615	2.75458441120982
