chr	pos	lod
Chrom1-5652	1	0	0.123104996663677
Chrom1-183102	1	1.00000002822922e-07	0.123104996580139
Chrom1-603629	1	2.00000005645844e-07	0.123104996496593
Chrom1-761741	1	3.00000008468766e-07	0.12310499641309
Chrom1-863105	1	0.103471568004863	0.123018398942172
Chrom1-964613	1	0.103471668004866	0.123018404378882
Chrom1-1016938	1	0.29823127307677	0.133786229477494
Chrom1-1069694	1	0.298231373076772	0.133786254326338
Chrom1-1121619	1	0.761938634387554	0.303678306595344
Chrom1-1172951	1	0.761938734387557	0.303678306610131
Chrom1-1223030	1	0.76193883438756	0.303678308467163
Chrom1-1325794	1	1.12247822222867	0.222002987754223
Chrom1-1390198	1	1.12247832222867	0.222002968090983
Chrom1-1441272	1	1.5608482569274	0.207845146130914
Chrom1-1492718	1	1.5608483569274	0.207845142919318
Chrom1-1546098	1	1.5608484569274	0.207845139707629
c1.loc2	1	2	0.193888478162066
Chrom1-1596723	1	2.37488230695494	0.182310549472191
Chrom1-1711327	1	2.59177479975153	0.175805246994457
Chrom1-1763616	1	2.59177489975153	0.175805254232046
Chrom1-1814638	1	2.59177499975153	0.17580526146974
Chrom1-1872167	1	2.93163406541386	0.198844703200571
Chrom1-1924661	1	3.2714210113261	0.21739127766395
Chrom1-2027517	1	3.27142111132611	0.217391282310437
Chrom1-2136853	1	3.74661300739908	0.288870485540748
Chrom1-2187817	1	3.86936961640132	0.308092219715803
c1.loc4	1	4	0.328588533189766
Chrom1-2239587	1	4.16994016573716	0.35503114246314
Chrom1-2291990	1	4.16994026573716	0.355031167827917
Chrom1-2344686	1	4.5197693826835	0.299071357080365
Chrom1-2395776	1	4.87048564535907	0.299144191253674
Chrom1-2446015	1	5.23534709509334	0.303695008721398
Chrom1-2496728	1	5.23534719509334	0.303695003577715
Chrom1-2549023	1	5.32624849103758	0.335767319015979
Chrom1-2650133	1	5.43268963957073	0.380674557521239
Chrom1-2756385	1	5.6582739067001	0.383705201185599
c1.loc6	1	6	0.353438455170711
Chrom1-2807086	1	6.77101698684563	0.282547170220269
Chrom1-2857437	1	6.77101708684564	0.282547157158682
Chrom1-2912792	1	6.77101718684564	0.282547157088779
Chrom1-2965574	1	7.23115784769613	0.263742937189541
Chrom1-3019235	1	7.48236225482419	0.258706262358899
Chrom1-3070720	1	7.48236235482419	0.258706252051866
Chrom1-3122485	1	7.9463985498561	0.238103029597667
Chrom1-3172507	1	7.9463986498561	0.238103021042498
c1.loc8	1	8	0.232384637866886
Chrom1-3229036	1	8.88687984842846	0.140091351311419
Chrom1-3381594	1	8.88687994842846	0.140091348620984
Chrom1-3432080	1	9.11737529316105	0.140131891005538
Chrom1-3482935	1	9.11737539316105	0.140131891023174
Chrom1-3586241	1	9.11737549316105	0.140131891040838
Chrom1-3800847	1	9.61576382607849	0.21894963731274
Chrom1-3956346	1	9.73747460492996	0.224996539278791
c1.loc10	1	10	0.298990877179911
Chrom1-4160303	1	10.1513314850335	0.34887393574305
Chrom1-4212527	1	10.1513315850335	0.348873935767458
Chrom1-4372350	1	10.855619093551	0.571582319489714
Chrom1-4538427	1	11.0628943257647	0.431073032926548
Chrom1-4643471	1	11.8375833438862	0.426510550906599
c1.loc12	1	12	0.428720108526534
Chrom1-4897657	1	12.1220004588309	0.430113557010976
Chrom1-4948517	1	12.1220005588309	0.43011353555859
Chrom1-5056936	1	12.6388664157656	0.269945510336804
Chrom1-5107761	1	12.6388665157656	0.26994548140555
Chrom1-5160796	1	12.6388666157656	0.269945462677384
Chrom1-5213184	1	13.0832233528156	0.185213071287301
Chrom1-5264775	1	13.0832234528156	0.185213057045353
Chrom1-5315439	1	13.0832235528156	0.18521305707204
c1.loc14	1	14	0.214554439782354
