chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-17457715	40.2450241849802	3.92160441244123
chr1	lod_1.5	Chrom1-21953006	45.2915933576083	6.36022555268679
chr1	lod_1.5	Chrom1-119335679	58.0257213091195	4.25440124156282
chr1	lod_2	Chrom1-17457715	40.2450241849802	3.92160441244123
chr1	lod_2	Chrom1-21953006	45.2915933576083	6.36022555268679
chr1	lod_2	Chrom1-119335679	58.0257213091195	4.25440124156282
chr1	bayes	Chrom1-17634061	40.8436629437429	5.36103824408555
chr1	bayes	Chrom1-21953006	45.2915933576083	6.36022555268679
chr1	bayes	Chrom1-115606027	56.9216474397811	5.34692920368536
chr8	lod_1.5	Chrom8-10804108	28.7331104748823	2.30695248757992
chr8	lod_1.5	Chrom8-75882863	41.2866351346688	4.16443699468654
chr8	lod_1.5	Chrom8-82069301	41.5950795950036	4.16443699468654
chr8	lod_1.5	Chrom8-93522371	48.2867087004956	2.65464291715487
chr8	lod_2	Chrom8-10591100	27.8497468818147	2.06857941999371
chr8	lod_2	Chrom8-75882863	41.2866351346688	4.16443699468654
chr8	lod_2	Chrom8-82069301	41.5950795950036	4.16443699468654
chr8	lod_2	Chrom8-94439890	49.7093484487739	1.96785510754911
chr8	bayes	Chrom8-10855113	29.7654166759164	2.80728189824421
chr8	bayes	Chrom8-75882863	41.2866351346688	4.16443699468654
chr8	bayes	Chrom8-93829360	48.6426320060186	2.63515253973515
