chr	pos	lod
Chrom1-14736217	1	36.9525675838073	3.44893272638782
Chrom1-14898290	1	37.0548736961089	3.44893272638772
Chrom1-15102016	1	37.1574940033545	3.44893272638774
Chrom1-15417330	1	37.2598539411607	3.44893272638882
Chrom1-15575835	1	37.4651561581081	3.44893272638774
Chrom1-15895473	1	37.8785883666525	3.8407648331502
Chrom1-15946213	1	37.8785884666525	3.84076485847555
c1.loc38	1	38	3.85654664424783
Chrom1-15996245	1	38.1528814033053	3.80067370369692
Chrom1-16098601	1	38.2893537580596	3.78094379196088
Chrom1-16368825	1	38.4390972837862	3.54677248958299
Chrom1-16473225	1	38.6161833262119	3.59305088786786
Chrom1-16577688	1	38.7492796980689	3.64381541800491
Chrom1-16631397	1	39.0854216630121	3.80532786684456
Chrom1-16786631	1	39.421506590683	3.79378408214674
Chrom1-16943084	1	39.421506690683	3.79378422003968
Chrom1-17043617	1	39.5847857523571	3.94888549525791
Chrom1-17147073	1	39.6964707211547	3.94888549525791
Chrom1-17198172	1	39.7475013564607	3.94888549525785
c1.loc40	1	40	4.08618882900149
Chrom1-17357072	1	40.2450239849802	4.20132420202567
Chrom1-17407545	1	40.2450240849802	4.20132420202546
Chrom1-17457715	1	40.2450241849802	4.20132420202613
Chrom1-17634061	1	40.8436629437429	5.13169209153612
Chrom1-17737887	1	41.2155531349241	5.46162544954615
Chrom1-17845954	1	41.5868001923233	5.7360088784505
Chrom1-18053208	1	41.5868002923233	5.73600887132636
Chrom1-18203714	1	41.7092201463062	5.736008871327
Chrom1-18306263	1	41.9301021841797	5.73600887132717
Chrom1-18409583	1	41.9859968783154	5.73600887132704
c1.loc42	1	42	5.73664721450378
Chrom1-18511464	1	42.2189446302547	5.74305918528194
Chrom1-18663582	1	42.8243675219366	5.68031242309368
Chrom1-18824405	1	43.1871229709535	5.68031242309277
Chrom1-18875865	1	43.2553394337504	5.63212255761924
Chrom1-18925875	1	43.3995390716731	5.46461341682303
Chrom1-19027847	1	43.5435414288201	5.21654240151662
Chrom1-19181536	1	43.7492656739006	4.94278474912461
Chrom1-19283131	1	43.9548355031532	4.74834635556213
c1.loc44	1	44	4.74834662826258
Chrom1-19663347	1	44.1602730572025	4.74834635556222
Chrom1-19957038	1	44.1602731572025	4.74834635556208
Chrom1-20109800	1	44.263022276929	4.74834635556208
Chrom1-20360524	1	44.3656444328576	4.74834635556208
Chrom1-21009672	1	44.4680048797201	4.74834635556195
Chrom1-21219775	1	44.6742365323194	5.02847131626233
Chrom1-21271611	1	44.8786294180737	4.96807950848702
Chrom1-21438326	1	44.8786295180737	4.96807932222517
Chrom1-21902059	1	45.2915932576083	5.21199828407906
Chrom1-21953006	1	45.2915933576083	5.21199827842634
Chrom1-22003207	1	45.2915934576083	5.21199822798937
Chrom1-22163295	1	45.7040969012589	4.8882444673003
Chrom1-22268844	1	45.7040970012589	4.88824446730034
c1.loc46	1	46	4.88824461747312
Chrom1-22475360	1	46.0129803007012	4.8882444673005
Chrom1-22526478	1	46.0129804007012	4.88824448599779
Chrom1-22579384	1	46.0129805007012	4.88824450469538
Chrom1-22685108	1	46.4259708964349	4.86712362812789
Chrom1-22738930	1	46.4259709964349	4.86712362812793
Chrom1-22840863	1	46.6307997771104	4.79026620097986
Chrom1-23114620	1	46.9750419689817	4.88955968159463
Chrom1-23326642	1	47.145668748031	4.88955968159463
Chrom1-23482000	1	47.3169437814551	4.88955968159431
Chrom1-23532260	1	47.3169438814551	4.88955968159463
Chrom1-23585018	1	47.660115554752	4.88955968159463
Chrom1-23686485	1	47.660115654752	4.88955968159462
Chrom1-24175311	1	47.7629160861082	4.88955968159462
Chrom1-24493594	1	47.8655385459496	4.95263048763782
Chrom1-24752701	1	47.9681608099173	4.95263048763795
c1.loc48	1	48	4.94355909654038
Chrom1-25711641	1	48.0707832908858	4.89637847618818
Chrom1-25929840	1	48.1731453759963	4.8963784761881
Chrom1-26549204	1	48.3792398128846	4.71385812670329
Chrom1-27184802	1	48.481601684225	4.73075813385476
Chrom1-27286572	1	48.5839635543164	4.56859208242604
Chrom1-27984580	1	48.7900588654815	4.51778949380827
Chrom1-29782651	1	48.8921630544678	4.49949140402818
Chrom1-33223725	1	49.0976068543367	4.46032145438531
Chrom1-33348869	1	49.0976069543367	4.46032145438532
Chrom1-34690118	1	49.4067616756502	4.35768641376866
Chrom1-34801647	1	49.4067617756502	4.35768637297518
Chrom1-39507600	1	49.5094682685881	4.35768637297529
Chrom1-99913906	1	49.6120918373803	4.35768637297521
Chrom1-102296993	1	49.7147151884736	4.35768637297521
Chrom1-103361357	1	49.8173387571623	4.54684522455905
Chrom1-103675120	1	49.9199625436917	4.49034095133938
c1.loc50	1	50	4.42444845690008
Chrom1-104096031	1	50.022325919725	4.40144875936518
Chrom1-104768386	1	50.2284265285951	4.40144875936508
Chrom1-106197386	1	50.3305297118583	4.40144875936511
Chrom1-107158010	1	50.5366303207072	4.40144875936508
Chrom1-107263246	1	50.6389936998355	4.401448759365
Chrom1-108284003	1	50.7410956171125	4.40144875936508
Chrom1-108494030	1	51.0505341100918	4.46552393338924
Chrom1-109218990	1	51.340034065902	4.46552393338918
Chrom1-109281516	1	51.340034165902	4.46552393338911
Chrom1-109332307	1	51.629323815394	4.46552393338922
Chrom1-109593936	1	51.9766394439115	4.44554216274149
Chrom1-109855771	1	51.9766395439115	4.44554215018707
c1.loc52	1	52	4.67255268888375
Chrom1-110042458	1	52.1828797360261	5.88227396873388
Chrom1-110853266	1	52.3048591120826	5.74945648723873
Chrom1-111013441	1	52.8013454098666	5.6790734457259
Chrom1-111116026	1	52.8013455098666	5.67907344539468
Chrom1-111217315	1	52.8013456098666	5.67907344539353
Chrom1-112330121	1	53.0064672089632	5.67907344539468
Chrom1-113008060	1	53.4327321036604	5.5601255393947
Chrom1-113112203	1	53.5259597454316	5.46303910846497
Chrom1-113167329	1	53.6283327857229	5.44327148549938
Chrom1-113218365	1	53.9231696467156	5.44667892841017
c1.loc54	1	54	5.4448413456488
Chrom1-113322003	1	54.4223015622162	5.41532245077988
Chrom1-113422520	1	54.4223016622162	5.41532245077988
Chrom1-113576066	1	54.759063369229	5.45394359118366
Chrom1-113780650	1	54.759063469229	5.45394359118384
Chrom1-113936162	1	55.0680735334075	5.45394359118366
Chrom1-114353330	1	55.2218801394243	5.4539435911837
Chrom1-114409403	1	55.3756180131636	5.45394359118366
Chrom1-114511994	1	55.3756181131636	5.45394359118467
Chrom1-114772670	1	55.4771437345352	5.45394359118399
c1.loc56	1	56	5.65618439624814
Chrom1-115029927	1	56.0830419889183	5.68018592820006
Chrom1-115134316	1	56.2012352646029	5.68018592819952
Chrom1-115245443	1	56.4068580400199	5.68018592820005
Chrom1-115349709	1	56.4068581400199	5.68018592820006
Chrom1-115551454	1	56.5346424590995	5.69706737353492
Chrom1-115606027	1	56.9216474397811	5.14902491141679
Chrom1-115716576	1	56.9216475397811	5.14902469806115
Chrom1-116034887	1	57.0244710514173	5.1490246980612
Chrom1-117022097	1	57.1270914903887	5.1490246980612
Chrom1-117241720	1	57.2294527342076	5.14902469806121
Chrom1-117522189	1	57.4352751360499	5.04475151149261
Chrom1-117959962	1	57.4352752360499	5.04475151149255
Chrom1-118062249	1	57.4352753360499	5.04475151149255
Chrom1-118502226	1	57.5378256997597	5.04475151149288
Chrom1-119180827	1	57.6673901308554	4.89560056426933
c1.loc58	1	58	4.47660268051173
Chrom1-119335679	1	58.0257213091195	4.438038546557
Chrom1-119387110	1	58.1549116180915	4.43803854655781
Chrom1-119592282	1	58.1549117180915	4.43803854655717
