chr	pos	lod
Chrom1-5652	1	0	0.232498870887014
Chrom1-183102	1	1.00000002822922e-07	0.232498870888662
Chrom1-603629	1	2.00000005645844e-07	0.232498870890282
Chrom1-761741	1	3.00000008468766e-07	0.232498870891902
Chrom1-863105	1	0.103471568004863	0.23250057718073
Chrom1-964613	1	0.103471668004866	0.232500579622467
Chrom1-1016938	1	0.29823127307677	0.237104592995223
Chrom1-1069694	1	0.298231373076772	0.237104605561825
Chrom1-1121619	1	0.761938634387554	0.288397108647132
Chrom1-1172951	1	0.761938734387557	0.288397108648951
Chrom1-1223030	1	0.76193883438756	0.288397101295743
Chrom1-1325794	1	1.12247822222867	0.203355995673121
Chrom1-1390198	1	1.12247832222867	0.203355994209005
Chrom1-1441272	1	1.5608482569274	0.243777607250394
Chrom1-1492718	1	1.5608483569274	0.243777616931453
Chrom1-1546098	1	1.5608484569274	0.243777594214748
c1.loc2	1	2	0.151367353278914
Chrom1-1596723	1	2.37488230695494	0.0911894524948877
Chrom1-1711327	1	2.59177479975153	0.0911940908537758
Chrom1-1763616	1	2.59177489975153	0.0911940957399793
Chrom1-1814638	1	2.59177499975153	0.0911941006263248
Chrom1-1872167	1	2.93163406541386	0.113090951506734
Chrom1-1924661	1	3.2714210113261	0.136354785010752
Chrom1-2027517	1	3.27142111132611	0.136354791853137
Chrom1-2136853	1	3.74661300739908	0.177792426392529
Chrom1-2187817	1	3.86936961640132	0.189025334165308
c1.loc4	1	4	0.180335278897672
Chrom1-2239587	1	4.16994016573716	0.169530707163716
Chrom1-2291990	1	4.16994026573716	0.169530700989469
Chrom1-2344686	1	4.5197693826835	0.296750925632182
Chrom1-2395776	1	4.87048564535907	0.385489786641898
Chrom1-2446015	1	5.23534709509334	0.345515481107299
Chrom1-2496728	1	5.23534719509334	0.345515463819453
Chrom1-2549023	1	5.32624849103758	0.329906892191019
Chrom1-2650133	1	5.43268963957073	0.336440451008968
Chrom1-2756385	1	5.6582739067001	0.337484405423453
c1.loc6	1	6	0.369385184708307
Chrom1-2807086	1	6.77101698684563	0.43616957517753
Chrom1-2857437	1	6.77101708684564	0.436169582755838
Chrom1-2912792	1	6.77101718684564	0.436169594782115
Chrom1-2965574	1	7.23115784769613	0.36003627833071
Chrom1-3019235	1	7.48236225482419	0.292962622356214
Chrom1-3070720	1	7.48236235482419	0.2929625964737
Chrom1-3122485	1	7.9463985498561	0.227903102001733
Chrom1-3172507	1	7.9463986498561	0.227903097743734
c1.loc8	1	8	0.227864482063495
Chrom1-3229036	1	8.88687984842846	0.217329080220793
Chrom1-3381594	1	8.88687994842846	0.217329082350915
Chrom1-3432080	1	9.11737529316105	0.217336907742066
Chrom1-3482935	1	9.11737539316105	0.217336907745448
Chrom1-3586241	1	9.11737549316105	0.217336907749029
Chrom1-3800847	1	9.61576382607849	0.114491748399644
Chrom1-3956346	1	9.73747460492996	0.111734291797916
c1.loc10	1	10	0.142670952952813
Chrom1-4160303	1	10.1513314850335	0.165895755868718
Chrom1-4212527	1	10.1513315850335	0.165895755872015
Chrom1-4372350	1	10.855619093551	0.0494724286206178
Chrom1-4538427	1	11.0628943257647	0.0281472368425852
Chrom1-4643471	1	11.8375833438862	0.157947116879058
c1.loc12	1	12	0.166309691105795
Chrom1-4897657	1	12.1220004588309	0.172480722637886
Chrom1-4948517	1	12.1220005588309	0.172480726506336
Chrom1-5056936	1	12.6388664157656	0.173255544099504
Chrom1-5107761	1	12.6388665157656	0.173255543604625
Chrom1-5160796	1	12.6388666157656	0.173255545978463
Chrom1-5213184	1	13.0832233528156	0.105317365295804
Chrom1-5264775	1	13.0832234528156	0.105317348263583
Chrom1-5315439	1	13.0832235528156	0.105317349228244
c1.loc14	1	14	0.085043392116745
Chrom1-5418960	1	14.1012404074118	0.0829891703312171
Chrom1-5474279	1	14.1012405074118	0.0829891670257723
Chrom1-5525822	1	14.1012406074118	0.0829891809875676
Chrom1-5578409	1	14.4944338870687	0.146166338774918
Chrom1-5628901	1	14.8997739657646	0.137852028542795
Chrom1-5679112	1	15.1640255852324	0.185079746534882
Chrom1-5781306	1	15.4484802760875	0.225826277958248
Chrom1-5831406	1	15.4484803760875	0.225826277432361
Chrom1-5882169	1	15.4484804760875	0.225826277359886
c1.loc16	1	16	0.225815340095693
Chrom1-5936223	1	16.0935410285572	0.225813989026733
Chrom1-5987582	1	16.0935411285572	0.22581396427816
Chrom1-6039981	1	16.7382288276951	0.116937927932781
Chrom1-6094232	1	16.7382289276951	0.116937926491659
Chrom1-6144233	1	16.7382290276951	0.116937924718684
Chrom1-6318649	1	17.6098727589947	0.10695145434056
Chrom1-6369443	1	17.6098728589947	0.106951461485664
Chrom1-6420980	1	17.6098729589947	0.106951468035845
Chrom1-6523782	1	17.8970247699018	0.124899454216916
c1.loc18	1	18	0.139014085800937
Chrom1-6629073	1	18.1264280110141	0.159676186009051
Chrom1-6679388	1	18.1264281110141	0.159676188181663
Chrom1-6782046	1	18.7007566422192	0.198671269366258
Chrom1-6833788	1	18.9065784435635	0.181873265225619
Chrom1-6891522	1	19.0515741996239	0.156195853499099
Chrom1-6942777	1	19.5270202672787	0.089644149853541
c1.loc20	1	20	0.0429505395478031
Chrom1-6994230	1	20.0519922909055	0.0391463767155358
Chrom1-7046610	1	20.0519923909055	0.0391463713117162
