chr	pos	lod
Chrom1-5652	1	0	0.883894724540085
Chrom1-183102	1	1.00000002822922e-07	0.883894724524168
Chrom1-603629	1	2.00000005645844e-07	0.88389472450848
Chrom1-761741	1	3.00000008468766e-07	0.883894724493018
Chrom1-863105	1	0.103471568004863	0.883878445199514
Chrom1-964613	1	0.103471668004866	0.883878445800747
Chrom1-1016938	1	0.29823127307677	0.884993546931582
Chrom1-1069694	1	0.298231373076772	0.884993560168027
Chrom1-1121619	1	0.761938634387554	0.919714633591127
Chrom1-1172951	1	0.761938734387557	0.919714633575325
Chrom1-1223030	1	0.76193883438756	0.919714613775227
Chrom1-1325794	1	1.12247822222867	0.856280386081664
Chrom1-1390198	1	1.12247832222867	0.856280406090093
Chrom1-1441272	1	1.5608482569274	0.853401796157925
Chrom1-1492718	1	1.5608483569274	0.853401794847855
Chrom1-1546098	1	1.5608484569274	0.853401805455235
c1.loc2	1	2	0.887422586283833
Chrom1-1596723	1	2.37488230695494	0.897039529764129
Chrom1-1711327	1	2.59177479975153	0.896986478832048
Chrom1-1763616	1	2.59177489975153	0.896986457324203
Chrom1-1814638	1	2.59177499975153	0.896986435815563
Chrom1-1872167	1	2.93163406541386	0.821664542498411
Chrom1-1924661	1	3.2714210113261	0.745228822278193
Chrom1-2027517	1	3.27142111132611	0.74522880010062
Chrom1-2136853	1	3.74661300739908	0.736433799057522
Chrom1-2187817	1	3.86936961640132	0.73284295181088
c1.loc4	1	4	0.728450179114475
Chrom1-2239587	1	4.16994016573716	0.721892810694669
Chrom1-2291990	1	4.16994026573716	0.721892796678105
Chrom1-2344686	1	4.5197693826835	0.936023607502136
Chrom1-2395776	1	4.87048564535907	0.914575920182585
Chrom1-2446015	1	5.23534709509334	0.941778571928069
Chrom1-2496728	1	5.23534719509334	0.941778581188771
Chrom1-2549023	1	5.32624849103758	0.918532863388464
Chrom1-2650133	1	5.43268963957073	0.9514405510497
Chrom1-2756385	1	5.6582739067001	1.13921684833616
c1.loc6	1	6	1.14548552878932
Chrom1-2807086	1	6.77101698684563	1.12916565788345
Chrom1-2857437	1	6.77101708684564	1.12916564394669
Chrom1-2912792	1	6.77101718684564	1.12916564244557
Chrom1-2965574	1	7.23115784769613	1.21870930965827
Chrom1-3019235	1	7.48236225482419	1.27509425576727
Chrom1-3070720	1	7.48236235482419	1.27509426511273
Chrom1-3122485	1	7.9463985498561	1.34212975648614
Chrom1-3172507	1	7.9463986498561	1.34212976925238
c1.loc8	1	8	1.34287496725142
Chrom1-3229036	1	8.88687984842846	1.349301677558
Chrom1-3381594	1	8.88687994842846	1.34930167574129
Chrom1-3432080	1	9.11737529316105	1.36672711144541
Chrom1-3482935	1	9.11737539316105	1.36672711138959
Chrom1-3586241	1	9.11737549316105	1.3667271113336
Chrom1-3800847	1	9.61576382607849	0.916984492429663
Chrom1-3956346	1	9.73747460492996	0.879127724776765
c1.loc10	1	10	0.876131786330518
