chr	pos	lod
Chrom1-5652	1	0	0.543539131824389
Chrom1-183102	1	1.00000002822922e-07	0.543539131854104
Chrom1-603629	1	2.00000005645844e-07	0.543539131883605
Chrom1-761741	1	3.00000008468766e-07	0.543539131912979
Chrom1-863105	1	0.103471568004863	0.543569684518019
Chrom1-964613	1	0.103471668004866	0.543569670626923
Chrom1-1016938	1	0.29823127307677	0.515683319149673
Chrom1-1069694	1	0.298231373076772	0.515683318862997
Chrom1-1121619	1	0.761938634387554	0.499112365238005
Chrom1-1172951	1	0.761938734387557	0.499112365243136
Chrom1-1223030	1	0.76193883438756	0.499112357730027
Chrom1-1325794	1	1.12247822222867	0.278059924456173
Chrom1-1390198	1	1.12247832222867	0.27805988238272
Chrom1-1441272	1	1.5608482569274	0.278339043277668
Chrom1-1492718	1	1.5608483569274	0.278339043239484
Chrom1-1546098	1	1.5608484569274	0.278339043201328
c1.loc2	1	2	0.277716582388777
Chrom1-1596723	1	2.37488230695494	0.276482876954219
Chrom1-1711327	1	2.59177479975153	0.275476635501732
Chrom1-1763616	1	2.59177489975153	0.275476643393162
Chrom1-1814638	1	2.59177499975153	0.275476651284521
Chrom1-1872167	1	2.93163406541386	0.300031088594309
Chrom1-1924661	1	3.2714210113261	0.318676772070702
Chrom1-2027517	1	3.27142111132611	0.318676776548571
Chrom1-2136853	1	3.74661300739908	0.299646468725442
Chrom1-2187817	1	3.86936961640132	0.293571831295381
c1.loc4	1	4	0.286659857247443
Chrom1-2239587	1	4.16994016573716	0.277070736899518
Chrom1-2291990	1	4.16994026573716	0.277070741445442
Chrom1-2344686	1	4.5197693826835	0.187082739187005
Chrom1-2395776	1	4.87048564535907	0.125789605415193
Chrom1-2446015	1	5.23534709509334	0.158664006576089
Chrom1-2496728	1	5.23534719509334	0.158664011016072
Chrom1-2549023	1	5.32624849103758	0.130416795265333
Chrom1-2650133	1	5.43268963957073	0.124368840858565
Chrom1-2756385	1	5.6582739067001	0.160133830384069
c1.loc6	1	6	0.171425645921815
Chrom1-2807086	1	6.77101698684563	0.196428464688637
Chrom1-2857437	1	6.77101708684564	0.196428466997162
Chrom1-2912792	1	6.77101718684564	0.196428469257157
Chrom1-2965574	1	7.23115784769613	0.221891328428043
Chrom1-3019235	1	7.48236225482419	0.223060873819009
Chrom1-3070720	1	7.48236235482419	0.223060869747101
Chrom1-3122485	1	7.9463985498561	0.144632554266522
Chrom1-3172507	1	7.9463986498561	0.144632545158032
c1.loc8	1	8	0.139001347827559
Chrom1-3229036	1	8.88687984842846	0.0810531321897088
Chrom1-3381594	1	8.88687994842846	0.0810531290860297
Chrom1-3432080	1	9.11737529316105	0.0810636261037985
Chrom1-3482935	1	9.11737539316105	0.0810636261084028
Chrom1-3586241	1	9.11737549316105	0.0810636261133624
Chrom1-3800847	1	9.61576382607849	0.0851270707736802
Chrom1-3956346	1	9.73747460492996	0.0932554312765888
c1.loc10	1	10	0.110191694503214
