chr	pos	lod
Chrom8-860567	8	0.50434702352013	4.41572991707549
Chrom8-916061	8	0.535002899129933	4.43217304247434
Chrom8-967460	8	1.14321343282798	4.62696808549615
Chrom8-1017714	8	1.14321353282799	4.62696811638951
Chrom8-1069979	8	1.14321363282799	4.62696811095671
Chrom8-1204806	8	1.81501476545355	4.705652147444
Chrom8-1255399	8	1.81501486545356	4.70565216091465
c8.loc2	8	2	4.72907283575489
Chrom8-1391034	8	2.12180437439786	4.74274734976431
Chrom8-1453558	8	2.25071722339409	5.08602911570367
Chrom8-1557094	8	2.30849519664491	5.21187605131683
Chrom8-1670903	8	2.72022386850786	5.45486870841341
Chrom8-1723240	8	2.72022396850787	5.45486873767194
Chrom8-1773352	8	2.72022406850787	5.45486873762745
Chrom8-1901458	8	3.14834646532374	5.32110581716914
Chrom8-2003156	8	3.22744065123091	5.29549477058778
Chrom8-2056322	8	3.56816171215157	5.24602529480628
Chrom8-2109818	8	3.56816181215158	5.24602526380066
Chrom8-2159897	8	3.56816191215158	5.24602532468445
c8.loc4	8	4	5.68462105089248
Chrom8-2213088	8	4.42262194311178	5.98447542676022
Chrom8-2264545	8	4.42262204311178	5.98447544899837
Chrom8-2315267	8	4.42262214311179	5.98447543147153
Chrom8-2416517	8	4.6315812319131	5.63128702017862
Chrom8-2520969	8	4.83997419003871	5.82950674803878
Chrom8-2622795	8	5.27410409109928	6.16264874446325
Chrom8-2820307	8	5.27410419109928	6.16264877407791
Chrom8-3013566	8	5.27410429109928	6.16264886059497
Chrom8-3178199	8	5.88754992328386	6.19660674346789
Chrom8-3233334	8	5.88755002328386	6.19660669632046
Chrom8-3287505	8	5.88755012328386	6.19660670098396
c8.loc6	8	6	6.24564534753003
Chrom8-3338267	8	6.05702121175024	6.26997622474055
Chrom8-3390545	8	6.3944881399706	6.40621724220161
Chrom8-3443071	8	6.3944882399706	6.40621728053787
Chrom8-3625470	8	7.49668893382306	6.42545289203994
Chrom8-3727778	8	7.49668903382306	6.42545284659568
Chrom8-3779417	8	7.49668913382306	6.42545283567249
Chrom8-3829622	8	7.49668923382307	6.42545282674621
c8.loc8	8	8	6.25338698155285
Chrom8-3893935	8	8.27240784818021	6.11197793922271
Chrom8-3945024	8	8.46042090377302	5.99695246504004
Chrom8-3995550	8	8.46042100377302	5.9969524768731
Chrom8-4048181	8	9.08645758631888	5.86928371434562
Chrom8-4202009	8	9.13163036023931	5.86641462439984
Chrom8-4308869	8	9.42567823565969	5.86625092017492
Chrom8-4362180	8	9.42567833565969	5.86625092011896
Chrom8-4414227	8	9.64928580078023	5.86625770845303
Chrom8-4515667	8	9.73036047497831	5.86626002286988
c8.loc10	8	10	5.93384845532202
Chrom8-4618588	8	10.1609249211476	5.96672531408969
Chrom8-4674336	8	10.1609250211476	5.96672533272882
Chrom8-4777953	8	10.8796158378744	6.1828370588341
Chrom8-4833081	8	10.9999726629396	6.22639902181415
c8.loc12	8	12	6.45431249668076
Chrom8-4936870	8	12.2702783722152	6.47151550046992
Chrom8-4987989	8	12.2702784722152	6.47151549635204
Chrom8-5041397	8	12.5435338157931	6.46241811610527
Chrom8-5099103	8	13.3241216853777	6.38758672111484
Chrom8-5150659	8	13.7323654168753	5.76766703615167
c8.loc14	8	14	5.84941753897119
Chrom8-5200996	8	14.0281661452649	5.85317556586507
Chrom8-5369711	8	14.0281662452649	5.85317557733764
Chrom8-5508781	8	14.0281663452649	5.85317557683583
Chrom8-5559192	8	14.0281664452649	5.85317557633395
Chrom8-5663565	8	14.2531514708696	5.85201879444447
Chrom8-5713730	8	14.2531515708696	5.85201879391809
Chrom8-5767422	8	14.2531516708696	5.85201877898761
Chrom8-5820972	8	14.580818919258	5.66564888569705
Chrom8-5884664	8	14.580819019258	5.66564886553564
Chrom8-5935936	8	14.8838300322903	5.56518171123015
Chrom8-5987985	8	14.8838301322903	5.56518166545585
Chrom8-6039720	8	15.1599539789257	5.40797287968656
Chrom8-6089758	8	15.9050206005702	4.95890848604317
c8.loc16	8	16	4.89930812978551
Chrom8-6293093	8	16.3072098413285	4.67919457149708
Chrom8-6346206	8	16.4472736446452	4.67960042906937
Chrom8-6516128	8	16.8561779412487	4.67573993458702
Chrom8-6594013	8	16.8561780412487	4.67573996559497
Chrom8-6757981	8	17.5138280921898	4.74382011000314
Chrom8-6809161	8	17.5138281921898	4.74382011550526
Chrom8-6871641	8	17.7849750657077	4.7098175669333
Chrom8-6923893	8	17.7849751657077	4.70981755950212
c8.loc18	8	18	4.71786172603293
Chrom8-7041008	8	18.662858640646	4.68103930755554
Chrom8-7094681	8	18.662858740646	4.68103929284043
Chrom8-7201404	8	19.2731184141789	4.56958709791126
Chrom8-7253140	8	19.5399401578182	4.37213593425183
Chrom8-7304499	8	19.5399402578182	4.37213585997137
Chrom8-7355054	8	19.5399403578182	4.3721358574984
