chr	pos	lod
Chrom2-17869	2	0	0.746131970904173
Chrom2-124577	2	1.00000002822922e-07	0.746131971070156
Chrom2-550580	2	0.10197987531197	0.934301330269989
Chrom2-768406	2	0.545071631783923	1.09785000998289
Chrom2-872275	2	0.545071731783926	1.09785005932673
Chrom2-922294	2	0.80647517795362	1.10699331228665
Chrom2-972438	2	1.34173894834407	1.08684366038511
Chrom2-1073791	2	1.87198825322641	0.819855508138744
Chrom2-1236932	2	1.87198835322641	0.819855511592721
c2.loc2	2	2	0.846708417016316
Chrom2-1340325	2	2.21798435598771	0.883099824471003
Chrom2-1396160	2	2.39027566795576	0.872637090651608
Chrom2-1452395	2	2.64944085570836	0.825638206431449
Chrom2-1561233	2	2.90924106507422	0.771911629921192
Chrom2-1670354	2	3.09313857806797	0.806201241626184
Chrom2-1722267	2	3.32497117482492	0.806799481502708
Chrom2-1772571	2	3.46108108976558	0.808459662417533
Chrom2-2037270	2	3.73728049394073	0.958232705164164
c2.loc4	2	4	0.959108591386723
Chrom2-2373770	2	4.42289266838883	0.960518410823397
Chrom2-2427998	2	4.42289276838883	0.960518394474263
Chrom2-2529679	2	4.98073073565203	0.857183264166963
Chrom2-2581054	2	4.98073083565203	0.857183247644912
Chrom2-2632994	2	4.98073093565203	0.857183240109578
Chrom2-2683121	2	5.3553334537152	0.95139280441208
Chrom2-2736558	2	5.3553335537152	0.951392822061166
Chrom2-2839292	2	5.79789972218197	0.952702087362923
Chrom2-2919626	2	5.79789982218198	0.952702057123815
c2.loc6	2	6	0.84000328217229
Chrom2-3181097	2	6.21256944877326	0.720372739707159
Chrom2-3232903	2	6.34617022010741	0.730923836271643
Chrom2-3291827	2	6.55804929513579	0.716355679682692
Chrom2-3342703	2	6.78856505457184	0.635103273096263
Chrom2-3393426	2	6.93854640505694	0.635489945485347
Chrom2-3499828	2	6.93854650505695	0.635489945744666
Chrom2-3611997	2	7.2390946319094	0.636271553181132
Chrom2-3714339	2	7.23909473190941	0.636271542924248
Chrom2-3834391	2	7.98248709125552	0.530200054417037
c2.loc8	2	8	0.530351946339294
Chrom2-3896824	2	8.21172986843419	0.531721068821184
Chrom2-4050191	2	8.70998380234533	0.549687073002929
Chrom2-4310626	2	9.11530565440523	0.549881709076715
Chrom2-4364006	2	9.24845174977863	0.549945888874902
Chrom2-4466196	2	9.24845184977864	0.549945888923162
Chrom2-4576623	2	9.36943198962067	0.974753808628918
Chrom2-4683565	2	9.56201796903387	0.983341119260558
c2.loc10	2	10	1.02900137077768
Chrom2-4785190	2	10.6672008029204	1.07648469323289
Chrom2-4886118	2	10.6672009029204	1.07648469328132
Chrom2-5048280	2	10.6672010029204	1.07648469332986
Chrom2-5105895	2	10.9293506053382	1.07660073263685
Chrom2-5156989	2	11.3246133397476	1.07780828153517
Chrom2-5207209	2	11.3246134397476	1.07780828157649
Chrom2-5260899	2	11.3246135397476	1.07780828161793
Chrom2-5364959	2	11.3246136397476	1.07780828165937
Chrom2-5517692	2	11.4986849506841	1.07788036482049
Chrom2-5576049	2	11.6747718850906	1.07795332299395
Chrom2-5677501	2	11.6747719850906	1.07795332341567
c2.loc12	2	12	1.08528719212029
Chrom2-5780035	2	12.2963680734076	1.08616129919068
Chrom2-5830452	2	12.7178771056742	0.972264097273637
Chrom2-5936760	2	13.0984112735212	0.721882460122401
Chrom2-5987173	2	13.0984113735212	0.72188246015412
Chrom2-6090649	2	13.0984114735212	0.721882463097302
Chrom2-6257901	2	13.6668192155023	0.710427218353686
Chrom2-6477608	2	13.9979689761637	0.75900727930582
c2.loc14	2	14	0.759299214167186
Chrom2-6584184	2	14.3277657448572	0.80523619197362
Chrom2-6789180	2	14.3277658448572	0.805236205603194
Chrom2-7001375	2	14.4455994219425	0.801671525006952
Chrom2-7179644	2	15.1238849387807	0.794986443020491
Chrom2-7231931	2	15.1238850387807	0.794986443055222
Chrom2-7352083	2	15.4061297446635	0.768332314349095
Chrom2-7407433	2	15.8322979522546	0.887298263319906
Chrom2-7513697	2	15.8322980522546	0.887298286082796
Chrom2-7621070	2	15.8322981522546	0.887298285952795
c2.loc16	2	16	0.888682975239419
Chrom2-7722875	2	16.5990409418859	0.909771807169136
Chrom2-7828235	2	17.0482162934954	0.925877674887602
Chrom2-7935148	2	17.1717607381977	0.931026101714735
Chrom2-8036322	2	17.1717608381977	0.931026108970002
Chrom2-8138062	2	17.8931138644137	0.927096023455476
Chrom2-8250900	2	17.8931139644137	0.927096059799339
c2.loc18	2	18	0.963424287628754
Chrom2-8312329	2	18.1700378629195	1.00893573219582
Chrom2-8362508	2	18.1700379629195	1.00893573016447
Chrom2-8534728	2	18.7298052779706	1.25692494374124
Chrom2-8693204	2	18.7298053779706	1.25692498631207
Chrom2-8750710	2	18.7298054779706	1.25692498494254
Chrom2-8958966	2	18.9760602724898	1.25443709063683
Chrom2-9010988	2	18.9760603724898	1.25443707333579
Chrom2-9113862	2	19.6048807932008	1.19606169991505
Chrom2-9217292	2	19.7845117300668	0.983984110199515
Chrom2-9271955	2	19.7845118300668	0.983984110177573
Chrom2-9322644	2	19.9951783371993	0.983936247272823
c2.loc20	2	20	0.984271679146559
Chrom2-9374383	2	20.0391773348359	0.987084952560565
Chrom2-9426462	2	20.235216397941	1.00664614457298
Chrom2-9477357	2	20.2950676986413	1.01319380800089
Chrom2-9527721	2	20.4736370231241	1.04471468015004
Chrom2-9631210	2	20.7131938006155	1.09512999943365
Chrom2-9737277	2	20.9642467005033	1.10352677994928
Chrom2-9840589	2	20.9642468005033	1.10352676508802
Chrom2-9951860	2	21.2915418990313	0.963679294563633
Chrom2-10008393	2	21.2915419990313	0.963679249726397
Chrom2-10061748	2	21.6183240540762	0.789121493629978
Chrom2-10216233	2	21.6183241540762	0.789121441843747
Chrom2-10317666	2	21.9894114689357	0.859635855498652
Chrom2-10367820	2	21.9894115689357	0.859635889416893
c2.loc22	2	22	0.859865120107315
Chrom2-10469968	2	22.3806756078318	0.859823481456374
Chrom2-10572884	2	22.6703595307429	0.818780820511222
Chrom2-10676948	2	22.8947597305449	1.09111578947221
Chrom2-10726982	2	22.8947598305449	1.09111595284321
Chrom2-11020702	2	23.4350103084336	1.19898848512167
Chrom2-11121830	2	23.7458696790007	1.19758701733326
Chrom2-11176246	2	23.7458697790007	1.19758701656662
Chrom2-11227156	2	23.7458698790007	1.19758702251426
Chrom2-11281495	2	23.8516417404039	1.2030197509381
c2.loc24	2	24	1.20769101274163
Chrom2-11332379	2	24.281027358325	1.20710201692668
Chrom2-11385837	2	24.281027458325	1.20710201654344
Chrom2-11436320	2	24.6458396999835	1.25733669967326
Chrom2-11538872	2	24.6458397999835	1.25733669937483
Chrom2-11641169	2	24.6458398999835	1.25733670381334
Chrom2-11808250	2	25.1410290711159	1.28856620959186
Chrom2-12015573	2	25.3189802638361	1.35478710663261
Chrom2-12121107	2	25.6790092917765	1.48169799165476
Chrom2-12223898	2	25.6790093917765	1.48169802473899
Chrom2-12329733	2	25.6790094917765	1.48169803474195
Chrom2-12432524	2	25.6790095917765	1.48169806767487
c2.loc26	2	26	1.56522815997124
Chrom2-12533633	2	26.0434845965415	1.56965773565884
Chrom2-12636116	2	26.2439647562251	1.58998734381709
Chrom2-12690566	2	26.6497154525311	1.70126727165922
Chrom2-12809533	2	26.6497155525311	1.7012672814264
Chrom2-12859749	2	26.6497156525311	1.70126729119357
