chr	pos	lod
Chrom1-10054696	1	28.8004175017485	3.83139700639465
Chrom1-10105268	1	28.8004176017485	3.8313971422444
Chrom1-10158658	1	28.8004177017485	3.83139717973392
Chrom1-10264368	1	29.8206639275874	3.99647214952368
Chrom1-10314433	1	29.8206640275874	3.99647213029812
c1.loc30	1	30	4.26813678562132
Chrom1-10469547	1	30.0442358693533	4.32482311181825
Chrom1-10782470	1	30.2594592018528	4.34511666504828
Chrom1-11002572	1	30.5246015150964	4.66675190719652
Chrom1-11282337	1	31.3436613870164	5.01978570819088
Chrom1-11581340	1	31.5432559709027	5.0899336756352
Chrom1-11734526	1	31.7431112777533	5.12353110228107
c1.loc32	1	32	5.18452771987934
Chrom1-11888825	1	32.4219039912082	5.24541682666587
Chrom1-12010387	1	32.4219040912082	5.24541682504098
Chrom1-12113892	1	32.8386390639686	5.09351046208153
Chrom1-12164327	1	33.578721464302	5.58900671083815
Chrom1-12215819	1	33.6235232290978	5.60031471044426
c1.loc34	1	34	5.72199441081527
Chrom1-12266909	1	34.0070192051692	5.72400607340887
Chrom1-12370910	1	34.2727225599418	5.72400607340889
Chrom1-12522284	1	34.3820431104492	5.72400607340978
Chrom1-12628489	1	34.5878426884874	5.88896249413561
Chrom1-12745616	1	34.5878427884874	5.88896249413561
Chrom1-12902338	1	34.5878428884874	5.88896249413557
Chrom1-12952798	1	34.7106719628827	5.88896249413561
Chrom1-13105023	1	34.9581537777207	5.88896249413561
Chrom1-13213048	1	35.204679608573	5.08220783301725
Chrom1-13320090	1	35.204679708573	5.08220783301707
Chrom1-13490147	1	35.204679808573	5.08220783301707
Chrom1-13540912	1	35.3588311764454	5.08220783301707
Chrom1-13642304	1	35.5123709599889	5.08220783301707
Chrom1-13793503	1	35.5123710599889	5.08220783301729
Chrom1-13960398	1	35.8299267196203	5.5818265025225
Chrom1-14062896	1	35.9869776446686	5.58182650252247
c1.loc36	1	36	5.5818265279112
Chrom1-14167820	1	36.2870880348772	5.58182650252208
