chr	pos	lod
Chrom1-17845954	1	41.5868001923233	3.52107493475557
Chrom1-18053208	1	41.5868002923233	3.52107492879974
Chrom1-18203714	1	41.7092201463062	3.5210749287996
Chrom1-18306263	1	41.9301021841797	3.52107492879959
Chrom1-18409583	1	41.9859968783154	3.52107492879961
c1.loc42	1	42	3.52046719122924
Chrom1-18511464	1	42.2189446302547	3.50909302617006
Chrom1-18663582	1	42.8243675219366	3.52485203394577
Chrom1-18824405	1	43.1871229709535	3.52485203394598
Chrom1-18875865	1	43.2553394337504	3.48142101754319
c1.loc52	1	52	3.48180282337512
Chrom1-110042458	1	52.1828797360261	4.56769719081786
Chrom1-110853266	1	52.3048591120826	4.58581772061781
Chrom1-111013441	1	52.8013454098666	4.57192863825558
Chrom1-111116026	1	52.8013455098666	4.57192864309722
Chrom1-111217315	1	52.8013456098666	4.57192864309737
Chrom1-112330121	1	53.0064672089632	4.57192864309722
Chrom1-113008060	1	53.4327321036604	4.48704422114475
Chrom1-113112203	1	53.5259597454316	4.39786298610122
Chrom1-113167329	1	53.6283327857229	4.38620990879342
Chrom1-113218365	1	53.9231696467156	4.38355296461894
c1.loc54	1	54	4.38231779479649
Chrom1-113322003	1	54.4223015622162	4.37195834906668
Chrom1-113422520	1	54.4223016622162	4.37195834906668
Chrom1-113576066	1	54.759063369229	4.40321222729153
Chrom1-113780650	1	54.759063469229	4.40321222729153
Chrom1-113936162	1	55.0680735334075	4.40321222729153
Chrom1-114353330	1	55.2218801394243	4.40321222729148
Chrom1-114409403	1	55.3756180131636	4.40321222729153
Chrom1-114511994	1	55.3756181131636	4.40321222729137
Chrom1-114772670	1	55.4771437345352	4.4032122272915
c1.loc56	1	56	4.51580681589108
Chrom1-115029927	1	56.0830419889183	4.53331174574418
Chrom1-115134316	1	56.2012352646029	4.53331174574427
Chrom1-115245443	1	56.4068580400199	4.53331174574416
Chrom1-115349709	1	56.4068581400199	4.53331174574418
Chrom1-115551454	1	56.5346424590995	4.54072403422478
Chrom1-115606027	1	56.9216474397811	3.97774862077397
Chrom1-115716576	1	56.9216475397811	3.97774840911234
Chrom1-116034887	1	57.0244710514173	3.97774840911233
Chrom1-117022097	1	57.1270914903887	3.97774840911233
Chrom1-117241720	1	57.2294527342076	3.97774840911233
Chrom1-117522189	1	57.4352751360499	3.91648380448147
Chrom1-117959962	1	57.4352752360499	3.91648380448147
Chrom1-118062249	1	57.4352753360499	3.91648380448147
Chrom1-118502226	1	57.5378256997597	3.91648380448138
Chrom1-119180827	1	57.6673901308554	3.81407611678753
c1.loc58	1	58	3.45355309450486
Chrom1-119335679	1	58.0257213091195	3.41933434618079
Chrom1-119387110	1	58.1549116180915	3.41933434618067
Chrom1-119592282	1	58.1549117180915	3.41933434618073
Chrom1-120069674	1	58.2574759051026	3.41933434618073
Chrom1-120436286	1	58.4632321068141	3.41933434618073
Chrom1-120549952	1	58.4632322068141	3.41933434618073
Chrom1-120652550	1	58.5872209960776	3.41933434618073
Chrom1-121283676	1	59.0440671168088	3.509651747828
Chrom1-121334052	1	59.3110270289579	3.45839980196207
Chrom1-121384502	1	59.3701080943262	3.44326450796326
Chrom1-121435757	1	59.5039519767497	3.42074535992023
Chrom1-121539380	1	59.6979779156267	3.38587755856494
Chrom1-121805703	1	59.9729591052424	3.47724394664539
c1.loc60	1	60	3.47782228994302
Chrom1-121959926	1	60.1087456399895	3.47940296281528
Chrom1-122854954	1	60.5220280989218	3.56739735093299
Chrom1-123007270	1	60.9340376636462	3.56739735093309
Chrom1-123212824	1	60.9340377636462	3.56739735093303
Chrom1-123414383	1	61.1911224175004	3.55553180711915
Chrom1-123567103	1	61.4481945915442	3.53967792296798
Chrom8-860567	8	0.50434702352013	4.04794742726535
Chrom8-916061	8	0.535002899129933	4.06589891527197
Chrom8-967460	8	1.14321343282798	4.23143091758801
Chrom8-1017714	8	1.14321353282799	4.23143094920514
Chrom8-1069979	8	1.14321363282799	4.23143094592476
Chrom8-1204806	8	1.81501476545355	4.2844796103783
Chrom8-1255399	8	1.81501486545356	4.28447962132137
c8.loc2	8	2	4.30391974813669
Chrom8-1391034	8	2.12180437439786	4.3157475890909
Chrom8-1453558	8	2.25071722339409	4.61768723775575
Chrom8-1557094	8	2.30849519664491	4.72400924101944
Chrom8-1670903	8	2.72022386850786	5.16053672613025
Chrom8-1723240	8	2.72022396850787	5.16053680415554
Chrom8-1773352	8	2.72022406850787	5.16053680421165
Chrom8-1901458	8	3.14834646532374	5.09183287016059
Chrom8-2003156	8	3.22744065123091	5.07823840597345
Chrom8-2056322	8	3.56816171215157	5.17861024087159
Chrom8-2109818	8	3.56816181215158	5.17861024172161
Chrom8-2159897	8	3.56816191215158	5.17861029553075
c8.loc4	8	4	5.66207790827241
Chrom8-2213088	8	4.42262194311178	5.99832914349088
Chrom8-2264545	8	4.42262204311178	5.99832918354701
Chrom8-2315267	8	4.42262214311179	5.99832916053971
Chrom8-2416517	8	4.6315812319131	5.49692873759447
Chrom8-2520969	8	4.83997419003871	6.04007044980651
Chrom8-2622795	8	5.27410409109928	6.2180046485563
Chrom8-2820307	8	5.27410419109928	6.21800463712386
Chrom8-3013566	8	5.27410429109928	6.21800469155739
Chrom8-3178199	8	5.88754992328386	6.19326783582164
Chrom8-3233334	8	5.88755002328386	6.19326777527657
Chrom8-3287505	8	5.88755012328386	6.19326777735751
c8.loc6	8	6	6.22949034261234
Chrom8-3338267	8	6.05702121175024	6.2472469326044
Chrom8-3390545	8	6.3944881399706	6.34360885693964
Chrom8-3443071	8	6.3944882399706	6.34360888322595
Chrom8-3625470	8	7.49668893382306	6.25536123519039
Chrom8-3727778	8	7.49668903382306	6.25536119256489
Chrom8-3779417	8	7.49668913382306	6.25536118338213
Chrom8-3829622	8	7.49668923382307	6.25536117532765
c8.loc8	8	8	6.08293398808592
Chrom8-3893935	8	8.27240784818021	5.93882791264382
Chrom8-3945024	8	8.46042090377302	5.82098558295062
Chrom8-3995550	8	8.46042100377302	5.82098557148583
Chrom8-4048181	8	9.08645758631888	5.57843783291012
Chrom8-4202009	8	9.13163036023931	5.57854824440731
Chrom8-4308869	8	9.42567823565969	5.57861526500553
Chrom8-4362180	8	9.42567833565969	5.57861526502788
Chrom8-4414227	8	9.64928580078023	5.57859792436856
Chrom8-4515667	8	9.73036047497831	5.57859140225129
c8.loc10	8	10	5.65252551729507
Chrom8-4618588	8	10.1609249211476	5.68921270195236
Chrom8-4674336	8	10.1609250211476	5.68921272296013
Chrom8-4777953	8	10.8796158378744	5.98367517761822
Chrom8-4833081	8	10.9999726629396	6.04837515087934
c8.loc12	8	12	6.46197261858236
Chrom8-4936870	8	12.2702783722152	6.52974174720583
Chrom8-4987989	8	12.2702784722152	6.52974174361479
Chrom8-5041397	8	12.5435338157931	6.52352803950182
Chrom8-5099103	8	13.3241216853777	6.7044426550279
Chrom8-5150659	8	13.7323654168753	6.04806532726907
c8.loc14	8	14	6.06981909439074
Chrom8-5200996	8	14.0281661452649	6.06851553989534
Chrom8-5369711	8	14.0281662452649	6.06851553387227
Chrom8-5508781	8	14.0281663452649	6.06851553345231
Chrom8-5559192	8	14.0281664452649	6.06851553303233
Chrom8-5663565	8	14.2531514708696	6.06753912196846
Chrom8-5713730	8	14.2531515708696	6.06753912152048
Chrom8-5767422	8	14.2531516708696	6.06753914914917
Chrom8-5820972	8	14.580818919258	5.98596918390329
Chrom8-5884664	8	14.580819019258	5.98596914338411
Chrom8-5935936	8	14.8838300322903	5.81887240672773
Chrom8-5987985	8	14.8838301322903	5.81887233751517
Chrom8-6039720	8	15.1599539789257	5.58805511502922
Chrom8-6089758	8	15.9050206005702	5.11945737171222
c8.loc16	8	16	5.05438003329687
Chrom8-6293093	8	16.3072098413285	4.82216997875277
Chrom8-6346206	8	16.4472736446452	4.82481753745092
Chrom8-6516128	8	16.8561779412487	4.79911611571199
Chrom8-6594013	8	16.8561780412487	4.79911614197938
Chrom8-6757981	8	17.5138280921898	4.62890632494996
Chrom8-6809161	8	17.5138281921898	4.62890633219498
Chrom8-6871641	8	17.7849750657077	4.61759541261338
Chrom8-6923893	8	17.7849751657077	4.61759541197078
c8.loc18	8	18	4.64264116692008
Chrom8-7041008	8	18.662858640646	4.66816573455144
Chrom8-7094681	8	18.662858740646	4.66816573006479
Chrom8-7201404	8	19.2731184141789	4.62180361619619
Chrom8-7253140	8	19.5399401578182	4.3408453627668
Chrom8-7304499	8	19.5399402578182	4.3408452470522
Chrom8-7355054	8	19.5399403578182	4.3408452450663
Chrom8-7406190	8	19.979146929279	4.31685687245076
Chrom8-7456566	8	19.979147029279	4.3168567867616
c8.loc20	8	20	4.29635039166167
Chrom8-7563225	8	20.2097705272593	4.02169800577713
Chrom8-7616438	8	20.2097706272593	4.02169799763411
Chrom8-7677286	8	20.2097707272593	4.0216979894911
Chrom8-7781478	8	20.8621276166253	4.04740644037592
Chrom8-7887293	8	20.8621277166253	4.04740642756524
Chrom8-7996425	8	21.373695069284	4.69819942284884
Chrom8-8109101	8	21.5631794553996	4.99490775709359
c8.loc22	8	22	4.88057326961736
Chrom8-8314882	8	22.1280164700244	4.81078873613469
Chrom8-8424279	8	22.1280165700244	4.8107887427362
Chrom8-8476434	8	22.1280166700244	4.81078843141555
Chrom8-8533115	8	22.3392115421498	4.19720690150331
Chrom8-8695947	8	22.461746752623	4.22267967939403
Chrom8-8746946	8	22.507296535868	4.22226246632874
Chrom8-8848342	8	22.7925405128868	4.17600647036707
Chrom8-9052039	8	23.3486708612465	4.32879797179635
Chrom8-9102289	8	23.5573220835529	4.34594101153674
Chrom8-9155458	8	23.5573221835529	4.34594101056183
c8.loc24	8	24	4.43423528458357
Chrom8-9261465	8	24.1184261253262	4.4550025212989
Chrom8-9314417	8	24.4386709343461	4.50345421511602
Chrom8-9366725	8	24.6341232166578	4.52668720697643
Chrom8-9468537	8	24.7995545460321	4.57682752780002
Chrom8-9570144	8	24.9679956481725	4.56818253446599
Chrom8-9621693	8	24.9679957481725	4.56818252739593
Chrom8-9724149	8	25.7290816001468	4.90573765021097
Chrom8-9774486	8	25.7290817001468	4.9057376341736
c8.loc26	8	26	4.83872842742451
