chr	pos	lod
Chrom1-5652	1	0	0.0567362619897
Chrom1-183102	1	1.00000002822922e-07	0.0567362619348479
Chrom1-603629	1	2.00000005645844e-07	0.0567362618797969
Chrom1-761741	1	3.00000008468766e-07	0.0567362618246143
Chrom1-863105	1	0.103471568004863	0.0566792079658409
Chrom1-964613	1	0.103471668004866	0.0566792059756409
Chrom1-1016938	1	0.29823127307677	0.0528027433363434
Chrom1-1069694	1	0.298231373076772	0.0528027377045426
Chrom1-1121619	1	0.761938634387554	0.0302988434203435
Chrom1-1172951	1	0.761938734387557	0.0302988433998852
Chrom1-1223030	1	0.76193883438756	0.0302988440423082
Chrom1-1325794	1	1.12247822222867	0.0389812318640477
Chrom1-1390198	1	1.12247832222867	0.0389812333972888
Chrom1-1441272	1	1.5608482569274	0.0313034901875238
Chrom1-1492718	1	1.5608483569274	0.0313034885124566
Chrom1-1546098	1	1.5608484569274	0.0313034868372704
c1.loc2	1	2	0.0243230330429327
Chrom1-1596723	1	2.37488230695494	0.0190095880350896
Chrom1-1711327	1	2.59177479975153	0.0162287253304854
Chrom1-1763616	1	2.59177489975153	0.0162287274876451
Chrom1-1814638	1	2.59177499975153	0.0162287296442294
Chrom1-1872167	1	2.93163406541386	0.0263104107994394
Chrom1-1924661	1	3.2714210113261	0.0410629702568599
Chrom1-2027517	1	3.27142111132611	0.0410629751258611
Chrom1-2136853	1	3.74661300739908	0.0459395138676566
Chrom1-2187817	1	3.86936961640132	0.0470830701701352
c1.loc4	1	4	0.0482271947027364
Chrom1-2239587	1	4.16994016573716	0.0495874330819142
Chrom1-2291990	1	4.16994026573716	0.0495874300351602
Chrom1-2344686	1	4.5197693826835	0.0878541367849319
Chrom1-2395776	1	4.87048564535907	0.0919240736182587
Chrom1-2446015	1	5.23534709509334	0.0612717213902965
Chrom1-2496728	1	5.23534719509334	0.0612717188206222
Chrom1-2549023	1	5.32624849103758	0.0194023522357618
Chrom1-2650133	1	5.43268963957073	0.00359801660866133
Chrom1-2756385	1	5.6582739067001	0.0019044009377911
c1.loc6	1	6	0.00284549941430079
Chrom1-2807086	1	6.77101698684563	0.00836620139257782
Chrom1-2857437	1	6.77101708684564	0.00836620194747795
Chrom1-2912792	1	6.77101718684564	0.00836620175377334
Chrom1-2965574	1	7.23115784769613	0.0319558727033176
Chrom1-3019235	1	7.48236225482419	0.0563543925255381
Chrom1-3070720	1	7.48236235482419	0.0563544022526195
Chrom1-3122485	1	7.9463985498561	0.0558093443501697
