chr	pos	lod
Chrom1-17634061	1	40.8436629437429	4.25751724474242
Chrom1-17737887	1	41.2155531349241	4.5370320023678
Chrom1-17845954	1	41.5868001923233	4.77044395768776
Chrom1-18053208	1	41.5868002923233	4.7704439506604
Chrom1-18203714	1	41.7092201463062	4.7704439506609
Chrom1-18306263	1	41.9301021841797	4.77044395066124
Chrom1-18409583	1	41.9859968783154	4.77044395066093
c1.loc42	1	42	4.77194189437316
Chrom1-18511464	1	42.2189446302547	4.79228038530234
Chrom1-18663582	1	42.8243675219366	4.75166635465533
Chrom1-18824405	1	43.1871229709535	4.75166635465461
Chrom1-18875865	1	43.2553394337504	4.72586343195568
Chrom1-18925875	1	43.3995390716731	4.62165643156522
Chrom1-19027847	1	43.5435414288201	4.45418013899165
Chrom1-19181536	1	43.7492656739006	4.14473814133594
Chrom1-19283131	1	43.9548355031532	3.97410598879288
c1.loc44	1	44	3.97410620777475
Chrom1-19663347	1	44.1602730572025	3.97410598879289
Chrom1-19957038	1	44.1602731572025	3.97410598879276
Chrom1-20109800	1	44.263022276929	3.97410598879276
Chrom1-20360524	1	44.3656444328576	3.97410598879276
Chrom1-21009672	1	44.4680048797201	3.97410598879264
Chrom1-21219775	1	44.6742365323194	4.21546671577423
Chrom1-21271611	1	44.8786294180737	3.85025928390893
Chrom1-21438326	1	44.8786295180737	3.85025901631352
Chrom1-21902059	1	45.2915932576083	4.06010039768073
Chrom1-21953006	1	45.2915933576083	4.06010039581179
Chrom1-22003207	1	45.2915934576083	4.06010038009463
Chrom1-22163295	1	45.7040969012589	3.85866100143091
Chrom1-22268844	1	45.7040970012589	3.8586610014309
c1.loc46	1	46	3.85866109830804
Chrom1-22475360	1	46.0129803007012	3.85866100143113
Chrom1-22526478	1	46.0129804007012	3.85866102363309
Chrom1-22579384	1	46.0129805007012	3.85866104583538
Chrom1-22685108	1	46.4259708964349	3.84640632525929
Chrom1-22738930	1	46.4259709964349	3.84640632525937
Chrom1-22840863	1	46.6307997771104	3.79009255342282
Chrom1-23114620	1	46.9750419689817	3.8537500110756
Chrom1-23326642	1	47.145668748031	3.8537500110756
Chrom1-23482000	1	47.3169437814551	3.85375001107547
Chrom1-23532260	1	47.3169438814551	3.8537500110756
Chrom1-23585018	1	47.660115554752	3.8537500110756
Chrom1-23686485	1	47.660115654752	3.8537500110756
Chrom1-24175311	1	47.7629160861082	3.8537500110756
Chrom1-24493594	1	47.8655385459496	3.83027413858759
Chrom1-24752701	1	47.9681608099173	3.83027413858765
c1.loc48	1	48	3.81048653065796
Chrom1-110042458	1	52.1828797360261	4.57334290765721
Chrom1-110853266	1	52.3048591120826	4.82685575631355
Chrom1-111013441	1	52.8013454098666	4.76087675446902
Chrom1-111116026	1	52.8013455098666	4.76087675088367
Chrom1-111217315	1	52.8013456098666	4.76087675088247
Chrom1-112330121	1	53.0064672089632	4.76087675088365
Chrom1-113008060	1	53.4327321036604	4.77097076363879
Chrom1-113112203	1	53.5259597454316	4.70695724126494
Chrom1-113167329	1	53.6283327857229	4.68948651483509
Chrom1-113218365	1	53.9231696467156	4.66617283356339
c1.loc54	1	54	4.65851236884559
Chrom1-113322003	1	54.4223015622162	4.60703154921666
Chrom1-113422520	1	54.4223016622162	4.60703154921662
Chrom1-113576066	1	54.759063369229	4.64022344834453
Chrom1-113780650	1	54.759063469229	4.6402234483449
Chrom1-113936162	1	55.0680735334075	4.64022344834452
Chrom1-114353330	1	55.2218801394243	4.64022344834456
Chrom1-114409403	1	55.3756180131636	4.64022344834452
Chrom1-114511994	1	55.3756181131636	4.64022344834558
Chrom1-114772670	1	55.4771437345352	4.64022344834488
c1.loc56	1	56	4.81237985861689
Chrom1-115029927	1	56.0830419889183	4.83600623897732
Chrom1-115134316	1	56.2012352646029	4.83600623897689
Chrom1-115245443	1	56.4068580400199	4.83600623897735
Chrom1-115349709	1	56.4068581400199	4.83600623897736
Chrom1-115551454	1	56.5346424590995	4.84920946433078
Chrom1-115606027	1	56.9216474397811	4.42473896910476
Chrom1-115716576	1	56.9216475397811	4.42473878881044
Chrom1-116034887	1	57.0244710514173	4.42473878881047
Chrom1-117022097	1	57.1270914903887	4.42473878881047
Chrom1-117241720	1	57.2294527342076	4.42473878881047
Chrom1-117522189	1	57.4352751360499	4.3289094722684
Chrom1-117959962	1	57.4352752360499	4.32890947226834
Chrom1-118062249	1	57.4352753360499	4.32890947226834
Chrom1-118502226	1	57.5378256997597	4.32890947226863
Chrom1-119180827	1	57.6673901308554	4.17987891534326
c1.loc58	1	58	3.76480018241996
Chrom8-1453558	8	2.25071722339409	4.01677884637614
Chrom8-1557094	8	2.30849519664491	4.1590668802653
Chrom8-1670903	8	2.72022386850786	4.47490605274049
Chrom8-1723240	8	2.72022396850787	4.47490611109132
