chr	pos	lod
c1.loc30	1	30	3.76144102525753
Chrom1-10469547	1	30.0442358693533	3.81285065034045
Chrom1-10782470	1	30.2594592018528	3.83962216068508
Chrom1-11002572	1	30.5246015150964	4.22573427599549
Chrom1-11282337	1	31.3436613870164	4.57202258562573
Chrom1-11581340	1	31.5432559709027	4.6067112467006
Chrom1-11734526	1	31.7431112777533	4.47498195355611
c1.loc32	1	32	4.49270939126119
Chrom1-11888825	1	32.4219039912082	4.4894855764766
Chrom1-12010387	1	32.4219040912082	4.48948555776262
Chrom1-12113892	1	32.8386390639686	4.48296024445393
Chrom1-12164327	1	33.578721464302	5.41875094316127
Chrom1-12215819	1	33.6235232290978	5.46504803133767
c1.loc34	1	34	5.66895866764956
Chrom1-12266909	1	34.0070192051692	5.6725278032777
Chrom1-12370910	1	34.2727225599418	5.67252780327789
Chrom1-12522284	1	34.3820431104492	5.67252780327938
Chrom1-12628489	1	34.5878426884874	5.74228599344434
Chrom1-12745616	1	34.5878427884874	5.74228599344434
Chrom1-12902338	1	34.5878428884874	5.74228599344447
Chrom1-12952798	1	34.7106719628827	5.74228599344434
Chrom1-13105023	1	34.9581537777207	5.74228599344434
Chrom1-13213048	1	35.204679608573	5.32611698180702
Chrom1-13320090	1	35.204679708573	5.32611698180683
Chrom1-13490147	1	35.204679808573	5.32611698180683
Chrom1-13540912	1	35.3588311764454	5.32611698180683
Chrom1-13642304	1	35.5123709599889	5.32611698180683
Chrom1-13793503	1	35.5123710599889	5.32611698180725
Chrom1-13960398	1	35.8299267196203	5.75952858352396
Chrom1-14062896	1	35.9869776446686	5.75952858352373
c1.loc36	1	36	5.75952860951509
Chrom1-14167820	1	36.2870880348772	5.75952858352352
Chrom1-14219704	1	36.3067956038196	5.75952858352389
Chrom1-14269866	1	36.5000138487212	5.759528583524
Chrom1-14476516	1	36.6303954674544	5.62276961297606
Chrom1-14581432	1	36.7250749281307	5.50952518553886
Chrom1-14736217	1	36.9525675838073	5.6028353264968
Chrom1-14898290	1	37.0548736961089	5.60283532649672
Chrom1-15102016	1	37.1574940033545	5.60283532649672
Chrom1-15417330	1	37.2598539411607	5.60283532649713
Chrom1-15575835	1	37.4651561581081	5.60283532649672
Chrom1-15895473	1	37.8785883666525	5.76915062488538
Chrom1-15946213	1	37.8785884666525	5.76915053519862
c1.loc38	1	38	5.68324461544407
Chrom1-15996245	1	38.1528814033053	5.47757032526445
Chrom1-16098601	1	38.2893537580596	5.36649267309566
Chrom1-16368825	1	38.4390972837862	5.44701940620209
Chrom1-16473225	1	38.6161833262119	5.50777295201743
Chrom1-16577688	1	38.7492796980689	5.56662309072253
Chrom1-16631397	1	39.0854216630121	5.7770709279855
Chrom1-16786631	1	39.421506590683	5.65117166035378
Chrom1-16943084	1	39.421506690683	5.65117183835501
Chrom1-17043617	1	39.5847857523571	5.83473213383702
Chrom1-17147073	1	39.6964707211547	5.83473213383702
Chrom1-17198172	1	39.7475013564607	5.83473213383722
c1.loc40	1	40	5.93302636427438
Chrom1-17357072	1	40.2450239849802	5.98902080514141
Chrom1-17407545	1	40.2450240849802	5.98902080514124
Chrom1-17457715	1	40.2450241849802	5.98902080514267
Chrom1-17634061	1	40.8436629437429	7.17699238615553
Chrom1-17737887	1	41.2155531349241	7.68102922994773
Chrom1-17845954	1	41.5868001923233	8.10788612496147
Chrom1-18053208	1	41.5868002923233	8.10788613198288
Chrom1-18203714	1	41.7092201463062	8.1078861319829
Chrom1-18306263	1	41.9301021841797	8.10788613198186
Chrom1-18409583	1	41.9859968783154	8.10788613198284
c1.loc42	1	42	8.10582723919239
Chrom1-18511464	1	42.2189446302547	8.06728590289994
Chrom1-18663582	1	42.8243675219366	7.26152571712313
Chrom1-18824405	1	43.1871229709535	7.26152571712251
Chrom1-18875865	1	43.2553394337504	7.20584397822334
Chrom1-18925875	1	43.3995390716731	7.02225464405228
Chrom1-19027847	1	43.5435414288201	6.75928888073221
Chrom1-19181536	1	43.7492656739006	6.34934841124914
Chrom1-19283131	1	43.9548355031532	6.10128561004345
c1.loc44	1	44	6.10128589037122
Chrom1-19663347	1	44.1602730572025	6.10128561004358
Chrom1-19957038	1	44.1602731572025	6.10128561004338
Chrom1-20109800	1	44.263022276929	6.10128561004338
Chrom1-20360524	1	44.3656444328576	6.10128561004338
Chrom1-21009672	1	44.4680048797201	6.10128561004326
Chrom1-21219775	1	44.6742365323194	6.09082217542675
Chrom1-21271611	1	44.8786294180737	6.21375290532409
Chrom1-21438326	1	44.8786295180737	6.21375281555197
Chrom1-21902059	1	45.2915932576083	6.84480075508807
Chrom1-21953006	1	45.2915933576083	6.84480080654858
Chrom1-22003207	1	45.2915934576083	6.8448007529194
Chrom1-22163295	1	45.7040969012589	6.37902375820805
