chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-112330121	53.0064672089632	3.8132665943977
chr1	lod_1.5	Chrom1-117522189	57.4352751360499	5.51426140594549
chr1	lod_1.5	Chrom1-117959962	57.4352752360499	5.51426140594549
chr1	lod_1.5	Chrom1-118062249	57.4352753360499	5.51426140594549
chr1	lod_1.5	Chrom1-124526980	61.8614668315148	4.00648252949441
chr1	lod_2	Chrom1-110853266	52.3048591120826	3.42607004146765
chr1	lod_2	Chrom1-117522189	57.4352751360499	5.51426140594549
chr1	lod_2	Chrom1-117959962	57.4352752360499	5.51426140594549
chr1	lod_2	Chrom1-118062249	57.4352753360499	5.51426140594549
chr1	lod_2	Chrom1-124793447	62.5018674117262	3.48145765673274
chr1	bayes	Chrom1-108284003	50.7410956171125	3.23841022399625
chr1	bayes	Chrom1-117522189	57.4352751360499	5.51426140594549
chr1	bayes	Chrom1-125310236	63.3049612729116	3.21947098100065
chr2	lod_1.5	Chrom2-4576623	9.36943198962067	2.63350659750233
chr2	lod_1.5	Chrom2-11436320	24.6458396999835	4.19867593082762
chr2	lod_1.5	Chrom2-14562741	30.659403044976	2.36232455697791
chr2	lod_2	Chrom2-3896824	8.21172986843419	2.01400705186944
chr2	lod_2	Chrom2-11436320	24.6458396999835	4.19867593082762
chr2	lod_2	Chrom2-15041390	31.7515297290852	2.07627743266124
chr2	bayes	Chrom2-5780035	12.2963680734076	3.24047719548662
chr2	bayes	Chrom2-11436320	24.6458396999835	4.19867593082762
chr2	bayes	Chrom2-14331940	29.489869148048	3.29640820512668
