chr	pos	lod
Chrom1-5652	1	0	1.38944745970217
Chrom1-183102	1	1.00000002822922e-07	1.38944745983461
Chrom1-603629	1	2.00000005645844e-07	1.38944745996707
Chrom1-761741	1	3.00000008468766e-07	1.38944746009956
Chrom1-863105	1	0.103471568004863	1.38958474064334
Chrom1-964613	1	0.103471668004866	1.38958473907871
Chrom1-1016938	1	0.29823127307677	1.38583777385544
Chrom1-1069694	1	0.298231373076772	1.38583775773451
Chrom1-1121619	1	0.761938634387554	1.26160465995576
Chrom1-1172951	1	0.761938734387557	1.26160465997896
Chrom1-1223030	1	0.76193883438756	1.26160462735747
Chrom1-1325794	1	1.12247822222867	1.15496498708362
Chrom1-1390198	1	1.12247832222867	1.15496499878461
Chrom1-1441272	1	1.5608482569274	1.16913160554276
Chrom1-1492718	1	1.5608483569274	1.16913160864824
Chrom1-1546098	1	1.5608484569274	1.1691316117537
c1.loc2	1	2	1.18213697272003
Chrom1-1596723	1	2.37488230695494	1.19215118442256
Chrom1-1711327	1	2.59177479975153	1.19744566755625
Chrom1-1763616	1	2.59177489975153	1.19744567915481
Chrom1-1814638	1	2.59177499975153	1.19744569075336
Chrom1-1872167	1	2.93163406541386	1.22894434293843
Chrom1-1924661	1	3.2714210113261	1.24318081459568
Chrom1-2027517	1	3.27142111132611	1.24318081620457
Chrom1-2136853	1	3.74661300739908	1.24646151802796
Chrom1-2187817	1	3.86936961640132	1.24404336566326
c1.loc4	1	4	1.23997748107773
Chrom1-2239587	1	4.16994016573716	1.2324371461027
Chrom1-2291990	1	4.16994026573716	1.23243712269213
Chrom1-2344686	1	4.5197693826835	1.44507271723666
Chrom1-2395776	1	4.87048564535907	1.39607037425391
Chrom1-2446015	1	5.23534709509334	1.39426876418871
Chrom1-2496728	1	5.23534719509334	1.39426878974365
Chrom1-2549023	1	5.32624849103758	1.30275764329096
Chrom1-2650133	1	5.43268963957073	1.24387808079283
Chrom1-2756385	1	5.6582739067001	1.43786181695195
c1.loc6	1	6	1.53558803305251
Chrom1-2807086	1	6.77101698684563	1.73886021516114
Chrom1-2857437	1	6.77101708684564	1.73886022303529
Chrom1-2912792	1	6.77101718684564	1.73886022625057
Chrom1-2965574	1	7.23115784769613	1.65749238147833
Chrom1-3019235	1	7.48236225482419	1.62627937023713
Chrom1-3070720	1	7.48236235482419	1.62627935404113
Chrom1-3122485	1	7.9463985498561	1.50374181333622
Chrom1-3172507	1	7.9463986498561	1.5037417741573
c1.loc8	1	8	1.47927339383092
Chrom1-3229036	1	8.88687984842846	1.08168299788211
Chrom1-3381594	1	8.88687994842846	1.08168296879946
Chrom1-3432080	1	9.11737529316105	1.08174860149049
Chrom1-3482935	1	9.11737539316105	1.08174860151898
Chrom1-3586241	1	9.11737549316105	1.0817486015474
Chrom1-3800847	1	9.61576382607849	0.890009485749928
Chrom1-3956346	1	9.73747460492996	0.876421714297436
c1.loc10	1	10	0.89825046963017
Chrom1-4160303	1	10.1513314850335	0.908381824532739
Chrom1-4212527	1	10.1513315850335	0.908381824559029
Chrom1-4372350	1	10.855619093551	0.618355480552168
Chrom1-4538427	1	11.0628943257647	0.405259787699578
Chrom1-4643471	1	11.8375833438862	0.358754467426138
c1.loc12	1	12	0.360179519012547
Chrom1-4897657	1	12.1220004588309	0.360903505925762
Chrom1-4948517	1	12.1220005588309	0.360903515935334
Chrom1-5056936	1	12.6388664157656	0.435633067595489
Chrom1-5107761	1	12.6388665157656	0.435633083102431
Chrom1-5160796	1	12.6388666157656	0.435633084570227
Chrom1-5213184	1	13.0832233528156	0.298510760379358
Chrom1-5264775	1	13.0832234528156	0.298510742673628
Chrom1-5315439	1	13.0832235528156	0.29851074269304
c1.loc14	1	14	0.29834121786179
Chrom1-5418960	1	14.1012404074118	0.297773276617733
Chrom1-5474279	1	14.1012405074118	0.29777326727833
Chrom1-5525822	1	14.1012406074118	0.297773257938871
Chrom1-5578409	1	14.4944338870687	0.24049974121138
Chrom1-5628901	1	14.8997739657646	0.185337265714907
Chrom1-5679112	1	15.1640255852324	0.187270788035747
Chrom1-5781306	1	15.4484802760875	0.179752960798965
Chrom1-5831406	1	15.4484803760875	0.179752949309687
Chrom1-5882169	1	15.4484804760875	0.17975294560091
c1.loc16	1	16	0.179816542096503
Chrom1-5936223	1	16.0935410285572	0.179827471103266
Chrom1-5987582	1	16.0935411285572	0.179827487041493
Chrom1-6039981	1	16.7382288276951	0.318112735532495
Chrom1-6094232	1	16.7382289276951	0.318112737381682
Chrom1-6144233	1	16.7382290276951	0.318112737393946
Chrom1-6318649	1	17.6098727589947	0.280426468235262
Chrom1-6369443	1	17.6098728589947	0.280426464301399
Chrom1-6420980	1	17.6098729589947	0.280426459244538
Chrom1-6523782	1	17.8970247699018	0.267558424864404
c1.loc18	1	18	0.263930094727485
Chrom1-6629073	1	18.1264280110141	0.260355301939924
Chrom1-6679388	1	18.1264281110141	0.26035529917111
Chrom1-6782046	1	18.7007566422192	0.244467706276254
Chrom1-6833788	1	18.9065784435635	0.24459984004362
Chrom1-6891522	1	19.0515741996239	0.21753124873446
Chrom1-6942777	1	19.5270202672787	0.0756083804069476
c1.loc20	1	20	0.0101668361638758
Chrom1-6994230	1	20.0519922909055	0.00785284200838987
Chrom1-7046610	1	20.0519923909055	0.00785283956240335
Chrom1-7098549	1	20.6219415147693	0.00565208348501756
Chrom1-7150657	1	20.8907858828773	0.00496323936411613
Chrom1-7201632	1	20.8907859828773	0.00496323939795218
Chrom1-7267012	1	21.4748075447272	0.00791985088177682
Chrom1-7373428	1	21.9419675765868	0.0752054317826776
c1.loc22	1	22	0.0753969542912643
Chrom1-7535262	1	22.1133534802102	0.0758282942230295
Chrom1-7638676	1	22.1133535802102	0.0758282946364943
Chrom1-7798435	1	22.2476391396362	0.08172337195262
Chrom1-7917007	1	22.2476392396362	0.0817233709850456
Chrom1-8080770	1	22.493879116791	0.0784215468400333
Chrom1-8133986	1	22.493879216791	0.0784215468386691
Chrom1-8190487	1	22.65744863269	0.0852129119003422
Chrom1-8315433	1	22.65744873269	0.0852129168845579
Chrom1-8418313	1	22.9880906363023	0.20209252984013
Chrom1-8519661	1	23.1990511379591	0.202080307300889
Chrom1-8570618	1	23.1990512379591	0.20208030729502
Chrom1-8620754	1	23.1990513379591	0.202080307288739
c1.loc24	1	24	0.263320824650435
Chrom1-8723314	1	24.0351135343336	0.265959975013445
Chrom1-8824762	1	24.8715986109492	0.27817274960141
Chrom1-8880536	1	24.8715987109492	0.278172747850704
Chrom1-8939823	1	24.8715988109492	0.278172763368175
Chrom1-9041782	1	25.4670509154335	0.16800712179932
Chrom1-9094942	1	25.6763342193412	0.15359124076268
Chrom1-9146814	1	25.6763343193412	0.153591236854396
c1.loc26	1	26	0.132537636572977
Chrom1-9202503	1	26.547780744899	0.0964203219694042
Chrom1-9313638	1	26.547780844899	0.0964203180650713
Chrom1-9363831	1	26.547780944899	0.0964203129866377
Chrom1-9465395	1	27.0707766700726	0.0886328681875312
