chr	pos	lod
Chrom1-5652	1	0	2.71958849668164
Chrom1-183102	1	1.00000002822922e-07	2.7195884966508
Chrom1-603629	1	2.00000005645844e-07	2.71958849662019
Chrom1-761741	1	3.00000008468766e-07	2.71958849658947
Chrom1-863105	1	0.103471568004863	2.71955662151836
Chrom1-964613	1	0.103471668004866	2.71955665981764
Chrom1-1016938	1	0.29823127307677	2.7892678407396
Chrom1-1069694	1	0.298231373076772	2.78926787434338
Chrom1-1121619	1	0.761938634387554	2.90758058297627
Chrom1-1172951	1	0.761938734387557	2.90758058294182
Chrom1-1223030	1	0.76193883438756	2.90758056469673
Chrom1-1325794	1	1.12247822222867	2.55987913728686
Chrom1-1390198	1	1.12247832222867	2.55987908381135
Chrom1-1441272	1	1.5608482569274	2.66222551101907
Chrom1-1492718	1	1.5608483569274	2.66222551904465
Chrom1-1546098	1	1.5608484569274	2.66222548310054
c1.loc2	1	2	2.49797125062494
Chrom1-1596723	1	2.37488230695494	2.34998285888548
Chrom1-1711327	1	2.59177479975153	2.3499181891433
Chrom1-1763616	1	2.59177489975153	2.34991818147591
Chrom1-1814638	1	2.59177499975153	2.34991817380836
Chrom1-1872167	1	2.93163406541386	2.32758902433457
Chrom1-1924661	1	3.2714210113261	2.31348968516815
Chrom1-2027517	1	3.27142111132611	2.31348968228755
Chrom1-2136853	1	3.74661300739908	2.31738493563941
Chrom1-2187817	1	3.86936961640132	2.31854648385308
c1.loc4	1	4	2.3198427356032
Chrom1-2239587	1	4.16994016573716	2.32160656741263
Chrom1-2291990	1	4.16994026573716	2.32160656987486
Chrom1-2344686	1	4.5197693826835	2.29079201232011
Chrom1-2395776	1	4.87048564535907	2.22803333259819
Chrom1-2446015	1	5.23534709509334	2.04496572467065
Chrom1-2496728	1	5.23534719509334	2.04496569170169
Chrom1-2549023	1	5.32624849103758	1.99752795806288
Chrom1-2650133	1	5.43268963957073	1.81155241018627
Chrom1-2756385	1	5.6582739067001	1.41983503663792
c1.loc6	1	6	1.47093611449375
Chrom1-2807086	1	6.77101698684563	1.5246886069358
Chrom1-2857437	1	6.77101708684564	1.52468862086613
Chrom1-2912792	1	6.77101718684564	1.52468863009926
Chrom1-2965574	1	7.23115784769613	1.52818012765863
Chrom1-3019235	1	7.48236225482419	1.55566308308369
Chrom1-3070720	1	7.48236235482419	1.55566307281447
Chrom1-3122485	1	7.9463985498561	1.50190038213807
Chrom1-3172507	1	7.9463986498561	1.50190038893831
c1.loc8	1	8	1.53407739944493
Chrom1-3229036	1	8.88687984842846	2.07220027329845
Chrom1-3381594	1	8.88687994842846	2.0722003273257
Chrom1-3432080	1	9.11737529316105	2.06916885736842
Chrom1-3482935	1	9.11737539316105	2.06916885733139
Chrom1-3586241	1	9.11737549316105	2.06916885729416
Chrom1-3800847	1	9.61576382607849	2.21734910032106
Chrom1-3956346	1	9.73747460492996	2.24166428027999
c1.loc10	1	10	2.24838104597683
Chrom1-4160303	1	10.1513314850335	2.24906930881374
Chrom1-4212527	1	10.1513315850335	2.24906930877177
Chrom1-4372350	1	10.855619093551	2.33515042533463
Chrom1-4538427	1	11.0628943257647	2.34820334646059
Chrom1-4643471	1	11.8375833438862	2.81959417317782
c1.loc12	1	12	2.84321388071623
Chrom1-4897657	1	12.1220004588309	2.85853283673103
Chrom1-4948517	1	12.1220005588309	2.85853294777337
Chrom1-5056936	1	12.6388664157656	3.293081456641
Chrom1-5107761	1	12.6388665157656	3.29308152765509
Chrom1-5160796	1	12.6388666157656	3.29308154354206
Chrom1-5213184	1	13.0832233528156	3.25718960577632
Chrom1-5264775	1	13.0832234528156	3.25718957597655
Chrom1-5315439	1	13.0832235528156	3.25718954986041
c1.loc14	1	14	3.00101747488497
Chrom1-5418960	1	14.1012404074118	2.96850258017935
Chrom1-5474279	1	14.1012405074118	2.96850254741403
Chrom1-5525822	1	14.1012406074118	2.96850251464883
Chrom1-5578409	1	14.4944338870687	2.95754504238153
Chrom1-5628901	1	14.8997739657646	2.90735901110509
Chrom1-5679112	1	15.1640255852324	2.85275109339875
Chrom1-5781306	1	15.4484802760875	3.15599936118483
Chrom1-5831406	1	15.4484803760875	3.15599948346249
Chrom1-5882169	1	15.4484804760875	3.15599947649994
c1.loc16	1	16	3.04572809609419
Chrom1-5936223	1	16.0935410285572	3.02574241823766
Chrom1-5987582	1	16.0935411285572	3.02574240380943
Chrom1-6039981	1	16.7382288276951	2.67962855058821
Chrom1-6094232	1	16.7382289276951	2.67962849411381
Chrom1-6144233	1	16.7382290276951	2.67962847629576
Chrom1-6318649	1	17.6098727589947	2.60002584184514
Chrom1-6369443	1	17.6098728589947	2.60002582223731
Chrom1-6420980	1	17.6098729589947	2.60002579100637
Chrom1-6523782	1	17.8970247699018	2.38223197398301
c1.loc18	1	18	2.3439071189664
Chrom1-6629073	1	18.1264280110141	2.29418169451006
Chrom1-6679388	1	18.1264281110141	2.29418171551197
Chrom1-6782046	1	18.7007566422192	2.47172993059198
Chrom1-6833788	1	18.9065784435635	2.47163941824755
Chrom1-6891522	1	19.0515741996239	2.4417417783018
Chrom1-6942777	1	19.5270202672787	2.40528058634595
c1.loc20	1	20	2.49027554589938
Chrom1-6994230	1	20.0519922909055	2.49679477298909
Chrom1-7046610	1	20.0519923909055	2.49679479000105
Chrom1-7098549	1	20.6219415147693	2.4717336006338
Chrom1-7150657	1	20.8907858828773	2.48294211069492
Chrom1-7201632	1	20.8907859828773	2.48294212006522
Chrom1-7267012	1	21.4748075447272	2.54180294500154
Chrom1-7373428	1	21.9419675765868	2.48188505512434
c1.loc22	1	22	2.4823280306305
Chrom1-7535262	1	22.1133534802102	2.48213837273059
Chrom1-7638676	1	22.1133535802102	2.48213837195024
Chrom1-7798435	1	22.2476391396362	2.47364498908541
Chrom1-7917007	1	22.2476392396362	2.47364498695941
Chrom1-8080770	1	22.493879116791	2.74695528990674
Chrom1-8133986	1	22.493879216791	2.74695529373716
Chrom1-8190487	1	22.65744863269	2.87314797508
Chrom1-8315433	1	22.65744873269	2.87314802698441
Chrom1-8418313	1	22.9880906363023	2.84209882507906
Chrom1-8519661	1	23.1990511379591	2.85002998062524
Chrom1-8570618	1	23.1990512379591	2.85002998053105
Chrom1-8620754	1	23.1990513379591	2.8500299804362
c1.loc24	1	24	2.77246338646481
Chrom1-8723314	1	24.0351135343336	2.76797650767116
Chrom1-8824762	1	24.8715986109492	2.70193161046981
Chrom1-8880536	1	24.8715987109492	2.70193159445711
Chrom1-8939823	1	24.8715988109492	2.70193160809771
Chrom1-9041782	1	25.4670509154335	2.65621674720634
Chrom1-9094942	1	25.6763342193412	2.78255932405298
Chrom1-9146814	1	25.6763343193412	2.782559315193
c1.loc26	1	26	2.73207458485103
Chrom1-9202503	1	26.547780744899	2.58813525246961
Chrom1-9313638	1	26.547780844899	2.58813524028568
Chrom1-9363831	1	26.547780944899	2.58813514104943
Chrom1-9465395	1	27.0707766700726	2.00444200307567
Chrom1-9519090	1	27.199406856907	1.96841851619246
Chrom1-9620268	1	27.3292516514762	1.93116145879554
Chrom1-9676126	1	27.3292517514762	1.93116149622259
Chrom1-9783173	1	27.6684541469588	2.01227995894214
Chrom1-9833757	1	27.7452713696009	1.98072157036751
Chrom1-9887020	1	27.9064613311172	1.97089933389552
c1.loc28	1	28	1.99343238014777
Chrom1-9995779	1	28.4398393590234	2.08991547907073
Chrom1-10054696	1	28.8004175017485	2.20864007596043
Chrom1-10105268	1	28.8004176017485	2.20864009952538
Chrom1-10158658	1	28.8004177017485	2.2086401330221
Chrom1-10264368	1	29.8206639275874	2.24008381904599
Chrom1-10314433	1	29.8206640275874	2.24008406696069
c1.loc30	1	30	2.66290909764231
Chrom1-10469547	1	30.0442358693533	2.7667773458449
Chrom1-10782470	1	30.2594592018528	2.75248445680819
Chrom1-11002572	1	30.5246015150964	2.70966668310399
Chrom1-11282337	1	31.3436613870164	2.35695338544835
Chrom1-11581340	1	31.5432559709027	2.36641886394654
Chrom1-11734526	1	31.7431112777533	2.34312455039259
c1.loc32	1	32	2.34910040339471
Chrom1-11888825	1	32.4219039912082	2.33697221745729
Chrom1-12010387	1	32.4219040912082	2.3369722343003
Chrom1-12113892	1	32.8386390639686	2.39636601263587
Chrom1-12164327	1	33.578721464302	2.47909381793843
Chrom1-12215819	1	33.6235232290978	2.48365217479488
c1.loc34	1	34	2.49708191652758
Chrom1-12266909	1	34.0070192051692	2.49733147836281
Chrom1-12370910	1	34.2727225599418	2.49733147836278
Chrom1-12522284	1	34.3820431104492	2.49733147836162
Chrom1-12628489	1	34.5878426884874	2.44569846863135
Chrom1-12745616	1	34.5878427884874	2.44569846863141
Chrom1-12902338	1	34.5878428884874	2.44569874027999
Chrom1-12952798	1	34.7106719628827	2.74762204281024
Chrom1-13105023	1	34.9581537777207	2.7368295089837
Chrom1-13213048	1	35.204679608573	2.71036857410729
Chrom1-13320090	1	35.204679708573	2.71036857410701
Chrom1-13490147	1	35.204679808573	2.71036857410701
Chrom1-13540912	1	35.3588311764454	2.71036857410712
Chrom1-13642304	1	35.5123709599889	2.71036857410701
Chrom1-13793503	1	35.5123710599889	2.71036858522129
Chrom1-13960398	1	35.8299267196203	2.9209158281007
Chrom1-14062896	1	35.9869776446686	2.91554732374621
c1.loc36	1	36	2.93606700038768
Chrom1-14167820	1	36.2870880348772	3.3295759227862
Chrom1-14219704	1	36.3067956038196	3.3150385813102
Chrom1-14269866	1	36.5000138487212	3.17438615460941
Chrom1-14476516	1	36.6303954674544	3.1387717077746
Chrom1-14581432	1	36.7250749281307	3.21501144912412
Chrom1-14736217	1	36.9525675838073	3.28983467067022
Chrom1-14898290	1	37.0548736961089	3.28983467067025
Chrom1-15102016	1	37.1574940033545	3.28983467067025
Chrom1-15417330	1	37.2598539411607	3.2898346706703
Chrom1-15575835	1	37.4651561581081	3.28983467067025
Chrom1-15895473	1	37.8785883666525	3.39565189646535
Chrom1-15946213	1	37.8785884666525	3.39565188815752
c1.loc38	1	38	3.33549118420686
Chrom1-15996245	1	38.1528814033053	3.24606482211738
Chrom1-16098601	1	38.2893537580596	2.96119710980909
Chrom1-16368825	1	38.4390972837862	2.62875804973004
Chrom1-16473225	1	38.6161833262119	2.65068873667559
Chrom1-16577688	1	38.7492796980689	2.64836329255201
Chrom1-16631397	1	39.0854216630121	3.05173629686331
Chrom1-16786631	1	39.421506590683	2.96399476365269
Chrom1-16943084	1	39.421506690683	2.96399490138845
Chrom1-17043617	1	39.5847857523571	3.1520928344456
Chrom1-17147073	1	39.6964707211547	3.15209283444551
Chrom1-17198172	1	39.7475013564607	3.18367084619567
c1.loc40	1	40	3.29831173554757
Chrom1-17357072	1	40.2450239849802	3.38476346327002
Chrom1-17407545	1	40.2450240849802	3.38476346326973
Chrom1-17457715	1	40.2450241849802	3.38476349657921
Chrom1-17634061	1	40.8436629437429	3.80886269207647
Chrom1-17737887	1	41.2155531349241	3.83088727170744
Chrom1-17845954	1	41.5868001923233	3.99993126379411
Chrom1-18053208	1	41.5868002923233	3.99993125904129
Chrom1-18203714	1	41.7092201463062	3.99993125904078
Chrom1-18306263	1	41.9301021841797	3.68446281560264
Chrom1-18409583	1	41.9859968783154	3.64487822841295
c1.loc42	1	42	3.62987082352518
Chrom1-18511464	1	42.2189446302547	3.38639371730278
Chrom1-18663582	1	42.8243675219366	3.03081938732302
Chrom1-18824405	1	43.1871229709535	2.89223712620105
Chrom1-18875865	1	43.2553394337504	2.91148428796669
Chrom1-18925875	1	43.3995390716731	2.9353115118428
Chrom1-19027847	1	43.5435414288201	2.93413983779703
Chrom1-19181536	1	43.7492656739006	2.79022427558695
Chrom1-19283131	1	43.9548355031532	2.68423852646146
c1.loc44	1	44	2.68423839660079
Chrom1-19663347	1	44.1602730572025	2.68423852646137
Chrom1-19957038	1	44.1602731572025	2.68423852646137
Chrom1-20109800	1	44.263022276929	2.68423852646137
Chrom1-20360524	1	44.3656444328576	2.68423852646137
Chrom1-21009672	1	44.4680048797201	2.68423852646134
Chrom1-21219775	1	44.6742365323194	2.48796597681289
Chrom1-21271611	1	44.8786294180737	2.3392573784684
Chrom1-21438326	1	44.8786295180737	2.33925727284935
Chrom1-21902059	1	45.2915932576083	2.2363906148797
Chrom1-21953006	1	45.2915933576083	2.23639057553791
Chrom1-22003207	1	45.2915934576083	2.2363905677291
Chrom1-22163295	1	45.7040969012589	2.38484141651597
Chrom1-22268844	1	45.7040970012589	2.38484145044399
c1.loc46	1	46	2.38484140332207
Chrom1-22475360	1	46.0129803007012	2.38484145044421
Chrom1-22526478	1	46.0129804007012	2.3848414504441
Chrom1-22579384	1	46.0129805007012	2.38484146653647
Chrom1-22685108	1	46.4259708964349	2.46089015343236
Chrom1-22738930	1	46.4259709964349	2.46089015343236
Chrom1-22840863	1	46.6307997771104	2.50066311492867
Chrom1-23114620	1	46.9750419689817	2.57044247083607
Chrom1-23326642	1	47.145668748031	2.56089274837655
Chrom1-23482000	1	47.3169437814551	2.56089274837635
Chrom1-23532260	1	47.3169438814551	2.56089274837657
Chrom1-23585018	1	47.660115554752	2.56089274837657
Chrom1-23686485	1	47.660115654752	2.56089274837655
Chrom1-24175311	1	47.7629160861082	2.5608927483766
Chrom1-24493594	1	47.8655385459496	2.70230962580607
Chrom1-24752701	1	47.9681608099173	2.70230962580612
c1.loc48	1	48	2.62340414230405
Chrom1-25711641	1	48.0707832908858	2.44567185654779
Chrom1-25929840	1	48.1731453759963	2.44567185654793
Chrom1-26549204	1	48.3792398128846	2.48062099553417
