chr	pos	lod
Chrom8-7445	8	0	5.66425700287487
Chrom8-243832	8	1.00000002822922e-07	5.66425700309467
Chrom8-706453	8	0.13033932651705	5.64069370413302
Chrom8-809383	8	0.130339426517053	5.64069372884421
Chrom8-860567	8	0.50434702352013	6.25577731213382
Chrom8-916061	8	0.535002899129933	6.27016939079155
Chrom8-967460	8	1.14321343282798	6.1903413414062
Chrom8-1017714	8	1.14321353282799	6.19034132207825
Chrom8-1069979	8	1.14321363282799	6.19034133189489
Chrom8-1204806	8	1.81501476545355	6.45456636287795
Chrom8-1255399	8	1.81501486545356	6.45456639275936
c8.loc2	8	2	6.50895243848103
Chrom8-1391034	8	2.12180437439786	6.54364881236931
Chrom8-1453558	8	2.25071722339409	6.53260839582956
Chrom8-1557094	8	2.30849519664491	6.48767973087331
Chrom8-1670903	8	2.72022386850786	6.6692811906951
Chrom8-1723240	8	2.72022396850787	6.66928120261621
Chrom8-1773352	8	2.72022406850787	6.66928120282917
Chrom8-1901458	8	3.14834646532374	6.66284911080344
Chrom8-2003156	8	3.22744065123091	6.65396787571598
Chrom8-2056322	8	3.56816171215157	7.89251910632821
Chrom8-2109818	8	3.56816181215158	7.89251941200695
Chrom8-2159897	8	3.56816191215158	7.8925194317809
c8.loc4	8	4	8.31535339321723
Chrom8-2213088	8	4.42262194311178	8.53862918082727
Chrom8-2264545	8	4.42262204311178	8.53862923728229
Chrom8-2315267	8	4.42262214311179	8.53862926918994
Chrom8-2416517	8	4.6315812319131	9.09822607870034
Chrom8-2520969	8	4.83997419003871	8.84998154589957
Chrom8-2622795	8	5.27410409109928	9.22808600606844
Chrom8-2820307	8	5.27410419109928	9.22808602512684
Chrom8-3013566	8	5.27410429109928	9.22808606491155
Chrom8-3178199	8	5.88754992328386	8.55149616718438
Chrom8-3233334	8	5.88755002328386	8.55149599487045
Chrom8-3287505	8	5.88755012328386	8.5514959973615
c8.loc6	8	6	8.55474833846036
Chrom8-3338267	8	6.05702121175024	8.55554430049786
Chrom8-3390545	8	6.3944881399706	8.5484667660591
Chrom8-3443071	8	6.3944882399706	8.54846676097703
Chrom8-3625470	8	7.49668893382306	8.958176430954
Chrom8-3727778	8	7.49668903382306	8.95817646258955
Chrom8-3779417	8	7.49668913382306	8.95817648919507
Chrom8-3829622	8	7.49668923382307	8.95817653112092
c8.loc8	8	8	8.92616593064236
Chrom8-3893935	8	8.27240784818021	8.83745754133708
Chrom8-3945024	8	8.46042090377302	8.74852898774587
Chrom8-3995550	8	8.46042100377302	8.74852911134932
Chrom8-4048181	8	9.08645758631888	9.32880956886668
Chrom8-4202009	8	9.13163036023931	9.33075159031034
Chrom8-4308869	8	9.42567823565969	9.33122988102473
Chrom8-4362180	8	9.42567833565969	9.33122988118683
Chrom8-4414227	8	9.64928580078023	9.33122700013577
Chrom8-4515667	8	9.73036047497831	9.33122570931837
c8.loc10	8	10	9.41866785980769
Chrom8-4618588	8	10.1609249211476	9.45855264195694
Chrom8-4674336	8	10.1609250211476	9.45855266380217
Chrom8-4777953	8	10.8796158378744	9.53751775877941
Chrom8-4833081	8	10.9999726629396	9.53833080481877
c8.loc12	8	12	9.32782207391807
Chrom8-4936870	8	12.2702783722152	9.20590684187895
Chrom8-4987989	8	12.2702784722152	9.2059068301024
Chrom8-5041397	8	12.5435338157931	9.15029563303794
Chrom8-5099103	8	13.3241216853777	10.0576213868888
Chrom8-5150659	8	13.7323654168753	10.6826805553973
c8.loc14	8	14	10.4634135595291
Chrom8-5200996	8	14.0281661452649	10.4337551696522
Chrom8-5369711	8	14.0281662452649	10.433755062378
Chrom8-5508781	8	14.0281663452649	10.4337550616447
Chrom8-5559192	8	14.0281664452649	10.4337550609113
