chr	pos	lod
Chrom1-10054696	1	28.8004175017485	4.07112356723866
Chrom1-10105268	1	28.8004176017485	4.07112370790145
Chrom1-10158658	1	28.8004177017485	4.0711237538998
Chrom1-10264368	1	29.8206639275874	4.28164902630571
Chrom1-10314433	1	29.8206640275874	4.28164899864693
c1.loc30	1	30	4.46442813174605
Chrom1-10469547	1	30.0442358693533	4.49722780008487
Chrom1-10782470	1	30.2594592018528	4.52486512050355
Chrom1-11002572	1	30.5246015150964	5.03709161946629
Chrom1-11282337	1	31.3436613870164	5.61569987516447
Chrom1-11581340	1	31.5432559709027	5.68442046076673
Chrom1-11734526	1	31.7431112777533	5.62978140690284
c1.loc32	1	32	5.6820585334269
Chrom1-11888825	1	32.4219039912082	5.72207253640325
Chrom1-12010387	1	32.4219040912082	5.7220725259648
Chrom1-12113892	1	32.8386390639686	5.69394549661174
Chrom1-12164327	1	33.578721464302	6.52682977689028
Chrom1-12215819	1	33.6235232290978	6.55314782142235
c1.loc34	1	34	6.72586343796704
Chrom1-12266909	1	34.0070192051692	6.72879185131692
Chrom1-12370910	1	34.2727225599418	6.72879185131686
Chrom1-12522284	1	34.3820431104492	6.72879185131645
Chrom1-12628489	1	34.5878426884874	6.79569011021459
Chrom1-12745616	1	34.5878427884874	6.79569011021459
Chrom1-12902338	1	34.5878428884874	6.79569011021457
Chrom1-12952798	1	34.7106719628827	6.79569011021459
Chrom1-13105023	1	34.9581537777207	6.79569011021459
Chrom1-13213048	1	35.204679608573	6.0509838750975
Chrom1-13320090	1	35.204679708573	6.05098387509757
Chrom1-13490147	1	35.204679808573	6.05098387509757
Chrom1-13540912	1	35.3588311764454	6.05098387509757
Chrom1-13642304	1	35.5123709599889	6.05098387509757
Chrom1-13793503	1	35.5123710599889	6.05098387509751
Chrom1-13960398	1	35.8299267196203	6.55745734487985
Chrom1-14062896	1	35.9869776446686	6.55745734487986
c1.loc36	1	36	6.55745734287064
Chrom1-14167820	1	36.2870880348772	6.55745734488004
Chrom1-14219704	1	36.3067956038196	6.55745734487986
