chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-12015573	25.3189802638361	3.94646127187139
chr2	lod_1.5	Chrom2-18358950	38.1277540239129	5.85049614181202
chr2	lod_1.5	Chrom2-162653500	112.730484831628	4.3075468513054
chr2	lod_2	Chrom2-8250900	17.8931139644137	3.66852316863981
chr2	lod_2	Chrom2-18358950	38.1277540239129	5.85049614181202
chr2	lod_2	Chrom2-162653500	112.730484831628	4.3075468513054
chr2	bayes	Chrom2-7935148	17.1717607381977	3.65998294988623
chr2	bayes	Chrom2-18358950	38.1277540239129	5.85049614181202
chr2	bayes	Chrom2-162653500	112.730484831628	4.3075468513054
chr6	lod_1.5	Chrom6-5851898	11.9636757089479	7.94964676637312
chr6	lod_1.5	Chrom6-7798277	18.7036273449325	9.9071920172708
chr6	lod_1.5	Chrom6-9141957	22.2640408467356	8.37248687776002
chr6	lod_2	Chrom6-5647729	11.4417479682122	7.78862951386009
chr6	lod_2	Chrom6-7798277	18.7036273449325	9.9071920172708
chr6	lod_2	Chrom6-9347988	23.1991377870024	7.84103645398898
chr6	bayes	Chrom6-6384796	13.8952121974912	8.63145462208882
chr6	bayes	Chrom6-7798277	18.7036273449325	9.9071920172708
chr6	bayes	Chrom6-8928620	22.1614404476487	8.5968234347194
