chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-17198172	39.7475013564607	3.32392512565762
chr1	lod_1.5	Chrom1-115551454	56.5346424590995	4.84920946433078
chr1	lod_1.5	Chrom1-124526980	61.8614668315148	2.60328393115891
chr1	lod_2	Chrom1-14581432	36.7250749281307	2.73930684978634
chr1	lod_2	Chrom1-115551454	56.5346424590995	4.84920946433078
chr1	lod_2	Chrom1-124526980	61.8614668315148	2.60328393115891
chr1	bayes	Chrom1-17634061	40.8436629437429	4.25751724474242
chr1	bayes	Chrom1-115551454	56.5346424590995	4.84920946433078
chr1	bayes	Chrom1-123212824	60.9340377636462	3.63734524918119
chr4	lod_1.5	Chrom4-4528833	8.42769452609775	1.92558316625678
chr4	lod_1.5	Chrom4-5986395	14.1021428112526	3.45439144186048
chr4	lod_1.5	Chrom4-12530657	27.4385781889511	1.91901934822413
chr4	lod_2	Chrom4-1696624	2.0641165796382	1.30717169001561
chr4	lod_2	Chrom4-5986395	14.1021428112526	3.45439144186048
chr4	lod_2	Chrom4-13378985	30.8486772224266	1.35591725541271
chr4	bayes	Chrom4-1594414	1.79544014738965	1.19161615309427
chr4	bayes	Chrom4-5986395	14.1021428112526	3.45439144186048
chr4	bayes	Chrom4-94796929	87.2087244451583	1.32496554637964
chr8	lod_1.5	Chrom8-13813201	36.5599803010975	6.33719775745615
chr8	lod_1.5	Chrom8-33823147	40.5679101737759	8.07632262601464
chr8	lod_1.5	Chrom8-38467862	40.7733459704726	8.07632262601464
chr8	lod_1.5	Chrom8-44440966	41.0816555290401	8.07632262601464
chr8	lod_1.5	Chrom8-84936295	42.3156153195737	5.82644187689209
chr8	lod_2	Chrom8-10804108	28.7331104748823	4.88375746039092
chr8	lod_2	Chrom8-33823147	40.5679101737759	8.07632262601464
chr8	lod_2	Chrom8-38467862	40.7733459704726	8.07632262601464
chr8	lod_2	Chrom8-44440966	41.0816555290401	8.07632262601464
chr8	lod_2	Chrom8-84936295	42.3156153195737	5.82644187689209
chr8	bayes	Chrom8-13924075	36.9263780194074	6.85834005524623
chr8	bayes	Chrom8-33823147	40.5679101737759	8.07632262601464
chr8	bayes	Chrom8-84093539	41.6974416005708	6.86793220529021
chr9	lod_1.5	Chrom9-78403	0	4.58525785451587
chr9	lod_1.5	Chrom9-1724692	2.37198284363606	5.8418607397102
chr9	lod_1.5	Chrom9-4764941	10.4539259071313	4.14344939820732
chr9	lod_2	Chrom9-78403	0	4.58525785451587
chr9	lod_2	Chrom9-1724692	2.37198284363606	5.8418607397102
chr9	lod_2	Chrom9-5230136	11.3788157836196	3.59454836882912
chr9	bayes	Chrom9-862260	0.546937442979964	4.59128122509082
chr9	bayes	Chrom9-1724692	2.37198284363606	5.8418607397102
chr9	bayes	Chrom9-4764941	10.4539259071313	4.14344939820732
