chr	pos	lod
Chrom1-5652	1	0	0.0706639707784689
Chrom1-183102	1	1.00000002822922e-07	0.0706639708120633
Chrom1-603629	1	2.00000005645844e-07	0.0706639708457004
Chrom1-761741	1	3.00000008468766e-07	0.0706639708797496
Chrom1-863105	1	0.103471568004863	0.0706989219389129
Chrom1-964613	1	0.103471668004866	0.0706989247627376
Chrom1-1016938	1	0.29823127307677	0.0763964270337567
Chrom1-1069694	1	0.298231373076772	0.0763964275678575
Chrom1-1121619	1	0.761938634387554	0.0821078106831123
Chrom1-1172951	1	0.761938734387557	0.0821078107241249
Chrom1-1223030	1	0.76193883438756	0.082107814829385
Chrom1-1325794	1	1.12247822222867	0.0689843178431602
Chrom1-1390198	1	1.12247832222867	0.0689843117771147
Chrom1-1441272	1	1.5608482569274	0.0696424578742949
Chrom1-1492718	1	1.5608483569274	0.0696424579754762
Chrom1-1546098	1	1.5608484569274	0.0696424556490172
c1.loc2	1	2	0.0595719195482189
Chrom1-1596723	1	2.37488230695494	0.0512139124412272
Chrom1-1711327	1	2.59177479975153	0.0512520269109302
Chrom1-1763616	1	2.59177489975153	0.0512520332949862
Chrom1-1814638	1	2.59177499975153	0.0512520396792127
Chrom1-1872167	1	2.93163406541386	0.0751574054612831
Chrom1-1924661	1	3.2714210113261	0.102359460805573
Chrom1-2027517	1	3.27142111132611	0.102359469116109
Chrom1-2136853	1	3.74661300739908	0.0662472198726931
Chrom1-2187817	1	3.86936961640132	0.0580607415772647
c1.loc4	1	4	0.0499639681750637
Chrom1-2239587	1	4.16994016573716	0.0404511837457449
Chrom1-2291990	1	4.16994026573716	0.0404511734067512
Chrom1-2344686	1	4.5197693826835	0.0220454964261592
Chrom1-2395776	1	4.87048564535907	0.00991777088628965
Chrom1-2446015	1	5.23534709509334	0.0262965631810488
Chrom1-2496728	1	5.23534719509334	0.0262965664828698
Chrom1-2549023	1	5.32624849103758	0.0207436601758673
Chrom1-2650133	1	5.43268963957073	0.0171015733484694
Chrom1-2756385	1	5.6582739067001	0.0175584379981188
c1.loc6	1	6	0.0218807866357622
Chrom1-2807086	1	6.77101698684563	0.0370022750220329
Chrom1-2857437	1	6.77101708684564	0.0370022774676926
Chrom1-2912792	1	6.77101718684564	0.0370022704801727
Chrom1-2965574	1	7.23115784769613	0.00519336957151495
Chrom1-3019235	1	7.48236225482419	0.0264378776945904
Chrom1-3070720	1	7.48236235482419	0.0264378852402416
Chrom1-3122485	1	7.9463985498561	0.0349855851655576
Chrom1-3172507	1	7.9463986498561	0.0349855836250583
c1.loc8	1	8	0.0324366777458494
Chrom1-3229036	1	8.88687984842846	0.0175034505116543
Chrom1-3381594	1	8.88687994842846	0.0175034519320008
Chrom1-3432080	1	9.11737529316105	0.0168278524725309
Chrom1-3482935	1	9.11737539316105	0.0168278524947851
Chrom1-3586241	1	9.11737549316105	0.0168278525169256
Chrom1-3800847	1	9.61576382607849	0.176680404032794
Chrom1-3956346	1	9.73747460492996	0.191027986596154
c1.loc10	1	10	0.166278836702958
Chrom1-4160303	1	10.1513314850335	0.155125305893449
Chrom1-4212527	1	10.1513315850335	0.15512530596132
Chrom1-4372350	1	10.855619093551	0.244226073865121
Chrom1-4538427	1	11.0628943257647	0.253241870492445
Chrom1-4643471	1	11.8375833438862	0.404400323749513
c1.loc12	1	12	0.433650001573383
Chrom1-4897657	1	12.1220004588309	0.456022895545189
Chrom1-4948517	1	12.1220005588309	0.45602291719446
Chrom1-5056936	1	12.6388664157656	0.492793437529357
Chrom1-5107761	1	12.6388665157656	0.492793441942425
Chrom1-5160796	1	12.6388666157656	0.492793439266151
Chrom1-5213184	1	13.0832233528156	0.56799277686126
Chrom1-5264775	1	13.0832234528156	0.567992794020569
Chrom1-5315439	1	13.0832235528156	0.567992788395344
c1.loc14	1	14	0.536575503029198
Chrom1-5418960	1	14.1012404074118	0.532465364859206
Chrom1-5474279	1	14.1012405074118	0.532465368955428
Chrom1-5525822	1	14.1012406074118	0.532465373051636
Chrom1-5578409	1	14.4944338870687	0.577974580522564
Chrom1-5628901	1	14.8997739657646	0.619183948200515
Chrom1-5679112	1	15.1640255852324	0.661600988673968
Chrom1-5781306	1	15.4484802760875	0.881395298084328
Chrom1-5831406	1	15.4484803760875	0.881395371947647
Chrom1-5882169	1	15.4484804760875	0.881395382458223
c1.loc16	1	16	0.971350506457895
Chrom1-5936223	1	16.0935410285572	0.986847533702431
Chrom1-5987582	1	16.0935411285572	0.986847551889866
Chrom1-6039981	1	16.7382288276951	1.39497042945139
Chrom1-6094232	1	16.7382289276951	1.39497048792957
Chrom1-6144233	1	16.7382290276951	1.3949704992919
Chrom1-6318649	1	17.6098727589947	1.21558047031881
Chrom1-6369443	1	17.6098728589947	1.21558044297893
Chrom1-6420980	1	17.6098729589947	1.21558041868563
Chrom1-6523782	1	17.8970247699018	1.10102014731619
c1.loc18	1	18	1.06963316220306
Chrom1-6629073	1	18.1264280110141	1.02829639570646
Chrom1-6679388	1	18.1264281110141	1.02829642716929
Chrom1-6782046	1	18.7007566422192	1.12927009309789
Chrom1-6833788	1	18.9065784435635	1.14616473827141
Chrom1-6891522	1	19.0515741996239	1.12648178654965
Chrom1-6942777	1	19.5270202672787	1.0652474582555
c1.loc20	1	20	1.11503112594053
Chrom1-6994230	1	20.0519922909055	1.12187403397786
Chrom1-7046610	1	20.0519923909055	1.12187407439443
Chrom1-7098549	1	20.6219415147693	1.18988228078422
Chrom1-7150657	1	20.8907858828773	1.20532002022043
Chrom1-7201632	1	20.8907859828773	1.20532002384958
Chrom1-7267012	1	21.4748075447272	1.21784832188399
Chrom1-7373428	1	21.9419675765868	1.12576188209368
c1.loc22	1	22	1.12377137194915
Chrom1-7535262	1	22.1133534802102	1.11919503173914
Chrom1-7638676	1	22.1133535802102	1.11919502730512
Chrom1-7798435	1	22.2476391396362	1.0750886123851
Chrom1-7917007	1	22.2476392396362	1.07508860726881
Chrom1-8080770	1	22.493879116791	1.00450732092051
Chrom1-8133986	1	22.493879216791	1.00450732149211
Chrom1-8190487	1	22.65744863269	1.36433229600861
Chrom1-8315433	1	22.65744873269	1.36433251944452
Chrom1-8418313	1	22.9880906363023	1.36760903839168
Chrom1-8519661	1	23.1990511379591	1.36846565134064
Chrom1-8570618	1	23.1990512379591	1.36846565161106
Chrom1-8620754	1	23.1990513379591	1.36846565187918
c1.loc24	1	24	1.1884325251925
Chrom1-8723314	1	24.0351135343336	1.18026107356783
Chrom1-8824762	1	24.8715986109492	0.894616532164051
Chrom1-8880536	1	24.8715987109492	0.894616497276957
Chrom1-8939823	1	24.8715988109492	0.894616479140936
Chrom1-9041782	1	25.4670509154335	0.7682851452374
Chrom1-9094942	1	25.6763342193412	0.687255711715849
Chrom1-9146814	1	25.6763343193412	0.687255702542018
c1.loc26	1	26	0.675683938448941
Chrom1-9202503	1	26.547780744899	0.641845402587876
Chrom1-9313638	1	26.547780844899	0.64184539983755
Chrom1-9363831	1	26.547780944899	0.641845376160674
Chrom1-9465395	1	27.0707766700726	0.502515980010187
Chrom1-9519090	1	27.199406856907	0.504924993706723
Chrom1-9620268	1	27.3292516514762	0.50696383278445
Chrom1-9676126	1	27.3292517514762	0.506963872956561
Chrom1-9783173	1	27.6684541469588	0.660584561096712
Chrom1-9833757	1	27.7452713696009	0.662577744291525
Chrom1-9887020	1	27.9064613311172	0.662602906568495
c1.loc28	1	28	0.662381112303876
Chrom1-9995779	1	28.4398393590234	0.659026647901158
Chrom1-10054696	1	28.8004175017485	0.643050079997934
Chrom1-10105268	1	28.8004176017485	0.643050072590654
Chrom1-10158658	1	28.8004177017485	0.643050080340359
Chrom1-10264368	1	29.8206639275874	0.758753062078739
Chrom1-10314433	1	29.8206640275874	0.758753174339134
c1.loc30	1	30	0.911327352047522
Chrom1-10469547	1	30.0442358693533	0.950413716753189
Chrom1-10782470	1	30.2594592018528	0.95034107333079
Chrom1-11002572	1	30.5246015150964	1.06542237886745
Chrom1-11282337	1	31.3436613870164	1.27341402357084
Chrom1-11581340	1	31.5432559709027	1.27965949720253
Chrom1-11734526	1	31.7431112777533	1.20967737111384
c1.loc32	1	32	1.20411505794701
Chrom1-11888825	1	32.4219039912082	1.18055328707716
Chrom1-12010387	1	32.4219040912082	1.18055327294344
Chrom1-12113892	1	32.8386390639686	1.13920652741334
Chrom1-12164327	1	33.578721464302	1.19337754923497
Chrom1-12215819	1	33.6235232290978	1.19184317595456
c1.loc34	1	34	1.23703424892786
Chrom1-12266909	1	34.0070192051692	1.23791253644421
Chrom1-12370910	1	34.2727225599418	1.23791253644404
Chrom1-12522284	1	34.3820431104492	1.23791253644271
Chrom1-12628489	1	34.5878426884874	1.23965620337003
Chrom1-12745616	1	34.5878427884874	1.23965620336992
Chrom1-12902338	1	34.5878428884874	1.23965604020685
Chrom1-12952798	1	34.7106719628827	1.06112193641354
Chrom1-13105023	1	34.9581537777207	1.09985272748622
Chrom1-13213048	1	35.204679608573	1.15662340652069
Chrom1-13320090	1	35.204679708573	1.15662340652086
Chrom1-13490147	1	35.204679808573	1.15662340652086
Chrom1-13540912	1	35.3588311764454	1.15662340652086
Chrom1-13642304	1	35.5123709599889	1.15662340652086
Chrom1-13793503	1	35.5123710599889	1.15662341563912
Chrom1-13960398	1	35.8299267196203	1.22653817184396
Chrom1-14062896	1	35.9869776446686	1.24204787482132
c1.loc36	1	36	1.25024994139899
Chrom1-14167820	1	36.2870880348772	1.42024714228722
Chrom1-14219704	1	36.3067956038196	1.39384126211532
Chrom1-14269866	1	36.5000138487212	1.30999848707926
Chrom1-14476516	1	36.6303954674544	1.37401933487807
Chrom1-14581432	1	36.7250749281307	1.36743735931842
Chrom1-14736217	1	36.9525675838073	1.31227836232824
Chrom1-14898290	1	37.0548736961089	1.31227836232819
Chrom1-15102016	1	37.1574940033545	1.31227836232819
Chrom1-15417330	1	37.2598539411607	1.3122783623276
Chrom1-15575835	1	37.4651561581081	1.31227836232819
Chrom1-15895473	1	37.8785883666525	1.36227986629328
Chrom1-15946213	1	37.8785884666525	1.3622798966271
c1.loc38	1	38	1.39521831218508
Chrom1-15996245	1	38.1528814033053	1.43114089836888
Chrom1-16098601	1	38.2893537580596	1.76592205344537
Chrom1-16368825	1	38.4390972837862	1.76523883100378
Chrom1-16473225	1	38.6161833262119	1.79735222241762
Chrom1-16577688	1	38.7492796980689	1.84419784708091
Chrom1-16631397	1	39.0854216630121	2.06291773213879
Chrom1-16786631	1	39.421506590683	2.38778819526704
Chrom1-16943084	1	39.421506690683	2.38778833824988
Chrom1-17043617	1	39.5847857523571	2.55212269152386
Chrom1-17147073	1	39.6964707211547	2.55212269152383
Chrom1-17198172	1	39.7475013564607	2.55197266529989
c1.loc40	1	40	2.66161568350024
Chrom1-17357072	1	40.2450239849802	2.74253648659584
Chrom1-17407545	1	40.2450240849802	2.74253648659548
Chrom1-17457715	1	40.2450241849802	2.742536483227
Chrom1-17634061	1	40.8436629437429	2.83423316688612
Chrom1-17737887	1	41.2155531349241	2.71278701314799
Chrom1-17845954	1	41.5868001923233	2.72136392283626
Chrom1-18053208	1	41.5868002923233	2.72136393216391
Chrom1-18203714	1	41.7092201463062	2.72136393216367
Chrom1-18306263	1	41.9301021841797	2.72142918389447
Chrom1-18409583	1	41.9859968783154	2.65644013934703
c1.loc42	1	42	2.63956769180163
Chrom1-18511464	1	42.2189446302547	2.34895567951985
Chrom1-18663582	1	42.8243675219366	2.30096518779239
Chrom1-18824405	1	43.1871229709535	2.38208174569809
Chrom1-18875865	1	43.2553394337504	2.38294022158317
Chrom1-18925875	1	43.3995390716731	2.39470275518376
Chrom1-19027847	1	43.5435414288201	2.41993850131313
Chrom1-19181536	1	43.7492656739006	2.41710311117832
Chrom1-19283131	1	43.9548355031532	2.4227393226135
c1.loc44	1	44	2.42273915680532
