chr	pos	lod
Chrom1-5652	1	0	0.0270314013615582
Chrom1-183102	1	1.00000002822922e-07	0.0270314014064432
Chrom1-603629	1	2.00000005645844e-07	0.0270314014514845
Chrom1-761741	1	3.00000008468766e-07	0.0270314014963908
Chrom1-863105	1	0.103471568004863	0.0270780643494426
Chrom1-964613	1	0.103471668004866	0.0270780647107678
Chrom1-1016938	1	0.29823127307677	0.0280023081643996
Chrom1-1069694	1	0.298231373076772	0.0280023171856989
Chrom1-1121619	1	0.761938634387554	0.0863875202335223
Chrom1-1172951	1	0.761938734387557	0.0863875202338882
Chrom1-1223030	1	0.76193883438756	0.0863875406866796
Chrom1-1325794	1	1.12247822222867	0.198833848115203
Chrom1-1390198	1	1.12247832222867	0.198833857348664
Chrom1-1441272	1	1.5608482569274	0.221089954042959
Chrom1-1492718	1	1.5608483569274	0.221089959567099
Chrom1-1546098	1	1.5608484569274	0.22108996509116
c1.loc2	1	2	0.24721587149967
Chrom1-1596723	1	2.37488230695494	0.272281521946688
Chrom1-1711327	1	2.59177479975153	0.287831881198901
Chrom1-1763616	1	2.59177489975153	0.287831878035195
Chrom1-1814638	1	2.59177499975153	0.287831874871397
Chrom1-1872167	1	2.93163406541386	0.273545087471682
Chrom1-1924661	1	3.2714210113261	0.253342067196424
Chrom1-2027517	1	3.27142111132611	0.253342060597078
Chrom1-2136853	1	3.74661300739908	0.396494649145922
Chrom1-2187817	1	3.86936961640132	0.438607330073054
c1.loc4	1	4	0.485176845414006
Chrom1-2239587	1	4.16994016573716	0.547862709595105
Chrom1-2291990	1	4.16994026573716	0.547862725650511
Chrom1-2344686	1	4.5197693826835	0.457139872717804
Chrom1-2395776	1	4.87048564535907	0.366625930100781
Chrom1-2446015	1	5.23534709509334	0.29240196462559
Chrom1-2496728	1	5.23534719509334	0.292401963228674
Chrom1-2549023	1	5.32624849103758	0.270333320683488
Chrom1-2650133	1	5.43268963957073	0.235181733872448
Chrom1-2756385	1	5.6582739067001	0.215790040104029
c1.loc6	1	6	0.203764788091782
Chrom1-2807086	1	6.77101698684563	0.170523201612998
Chrom1-2857437	1	6.77101708684564	0.170523197100913
Chrom1-2912792	1	6.77101718684564	0.170523196390672
Chrom1-2965574	1	7.23115784769613	0.101951851594567
Chrom1-3019235	1	7.48236225482419	0.0886745269382452
Chrom1-3070720	1	7.48236235482419	0.0886745257636967
Chrom1-3122485	1	7.9463985498561	0.116122911450528
Chrom1-3172507	1	7.9463986498561	0.116122912190946
c1.loc8	1	8	0.117558083565427
Chrom1-3229036	1	8.88687984842846	0.140696142775095
Chrom1-3381594	1	8.88687994842846	0.14069614068114
Chrom1-3432080	1	9.11737529316105	0.140680944556582
Chrom1-3482935	1	9.11737539316105	0.140680944550038
Chrom1-3586241	1	9.11737549316105	0.140680944542972
Chrom1-3800847	1	9.61576382607849	0.0905159035711591
Chrom1-3956346	1	9.73747460492996	0.095473744176072
c1.loc10	1	10	0.0735887192473612
Chrom1-4160303	1	10.1513314850335	0.0608483393732016
Chrom1-4212527	1	10.1513315850335	0.0608483393699792
Chrom1-4372350	1	10.855619093551	0.0607219452567591
Chrom1-4538427	1	11.0628943257647	0.121699452589166
Chrom1-4643471	1	11.8375833438862	0.0614536140751696
c1.loc12	1	12	0.0496155208264462
Chrom1-4897657	1	12.1220004588309	0.0415141897697424
Chrom1-4948517	1	12.1220005588309	0.0415141801810002
Chrom1-5056936	1	12.6388664157656	0.0172026522620783
Chrom1-5107761	1	12.6388665157656	0.0172026503211633
Chrom1-5160796	1	12.6388666157656	0.0172026510013303
Chrom1-5213184	1	13.0832233528156	0.111521333604909
Chrom1-5264775	1	13.0832234528156	0.111521361649515
Chrom1-5315439	1	13.0832235528156	0.111521361648929
c1.loc14	1	14	0.100763526700277
Chrom1-5418960	1	14.1012404074118	0.10067606796628
Chrom1-5474279	1	14.1012405074118	0.100676067991664
Chrom1-5525822	1	14.1012406074118	0.100676068016575
Chrom1-5578409	1	14.4944338870687	0.0896379290848408
Chrom1-5628901	1	14.8997739657646	0.08145608623634
Chrom1-5679112	1	15.1640255852324	0.0707285749654858
Chrom1-5781306	1	15.4484802760875	0.0675029868591075
Chrom1-5831406	1	15.4484803760875	0.0675029862240102
Chrom1-5882169	1	15.4484804760875	0.0675029858577609
c1.loc16	1	16	0.0675010645670042
Chrom1-5936223	1	16.0935410285572	0.0675013198135908
Chrom1-5987582	1	16.0935411285572	0.0675013244864147
Chrom1-6039981	1	16.7382288276951	0.0527725163894424
Chrom1-6094232	1	16.7382289276951	0.0527725172272895
Chrom1-6144233	1	16.7382290276951	0.0527725172258044
Chrom1-6318649	1	17.6098727589947	0.0666933288526508
Chrom1-6369443	1	17.6098728589947	0.0666933293186283
Chrom1-6420980	1	17.6098729589947	0.0666933296859682
Chrom1-6523782	1	17.8970247699018	0.0669483792498333
c1.loc18	1	18	0.0666824044255421
Chrom1-6629073	1	18.1264280110141	0.0661241611538017
Chrom1-6679388	1	18.1264281110141	0.0661241590281065
Chrom1-6782046	1	18.7007566422192	0.0813231137611723
Chrom1-6833788	1	18.9065784435635	0.0953158373020031
Chrom1-6891522	1	19.0515741996239	0.0924537817684836
Chrom1-6942777	1	19.5270202672787	0.0952420901910678
c1.loc20	1	20	0.106259760131866
Chrom1-6994230	1	20.0519922909055	0.10787916276686
Chrom1-7046610	1	20.0519923909055	0.10787916393781
Chrom1-7098549	1	20.6219415147693	0.122020974535932
Chrom1-7150657	1	20.8907858828773	0.138917869168104
Chrom1-7201632	1	20.8907859828773	0.138917872837922
Chrom1-7267012	1	21.4748075447272	0.165406835277526
Chrom1-7373428	1	21.9419675765868	0.140310978941038
c1.loc22	1	22	0.135791484295854
Chrom1-7535262	1	22.1133534802102	0.127078924302726
Chrom1-7638676	1	22.1133535802102	0.127078916690579
Chrom1-7798435	1	22.2476391396362	0.0447055597252231
Chrom1-7917007	1	22.2476392396362	0.0447055553010998
Chrom1-8080770	1	22.493879116791	0.0335618864944323
Chrom1-8133986	1	22.493879216791	0.0335618865022589
Chrom1-8190487	1	22.65744863269	0.0507349694905912
Chrom1-8315433	1	22.65744873269	0.0507349802819839
Chrom1-8418313	1	22.9880906363023	0.114878516233087
Chrom1-8519661	1	23.1990511379591	0.114894556186812
Chrom1-8570618	1	23.1990512379591	0.114894556194489
Chrom1-8620754	1	23.1990513379591	0.114894556202852
c1.loc24	1	24	0.155978280999769
Chrom1-8723314	1	24.0351135343336	0.15810693837291
Chrom1-8824762	1	24.8715986109492	0.156183969175743
Chrom1-8880536	1	24.8715987109492	0.1561839692585
Chrom1-8939823	1	24.8715988109492	0.15618396672944
Chrom1-9041782	1	25.4670509154335	0.0969001143170765
Chrom1-9094942	1	25.6763342193412	0.0756195684173449
Chrom1-9146814	1	25.6763343193412	0.0756195583459309
c1.loc26	1	26	0.0466083444052927
Chrom1-9202503	1	26.547780744899	0.0179389033313129
Chrom1-9313638	1	26.547780844899	0.0179389001485966
Chrom1-9363831	1	26.547780944899	0.0179388961214961
Chrom1-9465395	1	27.0707766700726	0.0125982208187594
Chrom1-9519090	1	27.199406856907	0.0116612656043031
Chrom1-9620268	1	27.3292516514762	0.0108747565052703
Chrom1-9676126	1	27.3292517514762	0.0108747543649734
Chrom1-9783173	1	27.6684541469588	0.0126955426610849
Chrom1-9833757	1	27.7452713696009	0.0158123342316436
Chrom1-9887020	1	27.9064613311172	0.0150578516007052
c1.loc28	1	28	0.0158995347809636
Chrom1-9995779	1	28.4398393590234	0.0205155963817134
Chrom1-10054696	1	28.8004175017485	0.0167556061010252
Chrom1-10105268	1	28.8004176017485	0.0167556051014692
Chrom1-10158658	1	28.8004177017485	0.0167556057945077
Chrom1-10264368	1	29.8206639275874	0.00284058872329851
Chrom1-10314433	1	29.8206640275874	0.00284058924534847
c1.loc30	1	30	0.0016826358995452
Chrom1-10469547	1	30.0442358693533	0.00303473496657602
Chrom1-10782470	1	30.2594592018528	0.00337799418560891
Chrom1-11002572	1	30.5246015150964	0.0331833939436521
Chrom1-11282337	1	31.3436613870164	0.117484004834115
Chrom1-11581340	1	31.5432559709027	0.114200338868887
Chrom1-11734526	1	31.7431112777533	0.114317212272674
c1.loc32	1	32	0.118857343827926
Chrom1-11888825	1	32.4219039912082	0.130768812444931
Chrom1-12010387	1	32.4219040912082	0.130768816554738
Chrom1-12113892	1	32.8386390639686	0.449439325701945
Chrom1-12164327	1	33.578721464302	0.561739634015222
Chrom1-12215819	1	33.6235232290978	0.564170901098056
c1.loc34	1	34	0.61140053423081
Chrom1-12266909	1	34.0070192051692	0.61222757336575
Chrom1-12370910	1	34.2727225599418	0.612227573365729
Chrom1-12522284	1	34.3820431104492	0.612227573366187
Chrom1-12628489	1	34.5878426884874	0.238425355904681
Chrom1-12745616	1	34.5878427884874	0.238425355904681
Chrom1-12902338	1	34.5878428884874	0.238425355905214
Chrom1-12952798	1	34.7106719628827	0.238425355904681
Chrom1-13105023	1	34.9581537777207	0.238425355904681
Chrom1-13213048	1	35.204679608573	0.224535490796242
Chrom1-13320090	1	35.204679708573	0.224535490796473
Chrom1-13490147	1	35.204679808573	0.224535490796466
Chrom1-13540912	1	35.3588311764454	0.224535490796473
Chrom1-13642304	1	35.5123709599889	0.224535490796473
Chrom1-13793503	1	35.5123710599889	0.224535490796281
Chrom1-13960398	1	35.8299267196203	0.327040307858958
Chrom1-14062896	1	35.9869776446686	0.327040307859082
c1.loc36	1	36	0.327040409204347
Chrom1-14167820	1	36.2870880348772	0.327040307858848
Chrom1-14219704	1	36.3067956038196	0.327040307858923
Chrom1-14269866	1	36.5000138487212	0.327040307858915
Chrom1-14476516	1	36.6303954674544	0.451303045453599
Chrom1-14581432	1	36.7250749281307	0.55536430512829
Chrom1-14736217	1	36.9525675838073	0.466222886414478
Chrom1-14898290	1	37.0548736961089	0.46622288641457
Chrom1-15102016	1	37.1574940033545	0.46622288641457
Chrom1-15417330	1	37.2598539411607	0.466222886414641
Chrom1-15575835	1	37.4651561581081	0.46622288641457
Chrom1-15895473	1	37.8785883666525	0.57328936462283
Chrom1-15946213	1	37.8785884666525	0.573289364284406
c1.loc38	1	38	0.582179058059666
Chrom1-15996245	1	38.1528814033053	0.567085461474427
Chrom1-16098601	1	38.2893537580596	0.566118127193967
Chrom1-16368825	1	38.4390972837862	0.530616121365561
Chrom1-16473225	1	38.6161833262119	0.5307343912169
Chrom1-16577688	1	38.7492796980689	0.532144461778337
Chrom1-16631397	1	39.0854216630121	0.538997931752672
Chrom1-16786631	1	39.421506590683	0.558004042965649
Chrom1-16943084	1	39.421506690683	0.558004036126352
Chrom1-17043617	1	39.5847857523571	0.547016253763069
Chrom1-17147073	1	39.6964707211547	0.547016253763069
Chrom1-17198172	1	39.7475013564607	0.547016253763033
c1.loc40	1	40	0.540229384974239
Chrom1-17357072	1	40.2450239849802	0.53510982795742
Chrom1-17407545	1	40.2450240849802	0.535109827957253
Chrom1-17457715	1	40.2450241849802	0.535109827957488
Chrom1-17634061	1	40.8436629437429	0.403247276594346
Chrom1-17737887	1	41.2155531349241	0.519244754087172
Chrom1-17845954	1	41.5868001923233	0.644264034717658
Chrom1-18053208	1	41.5868002923233	0.644264034898804
Chrom1-18203714	1	41.7092201463062	0.644264034898374
Chrom1-18306263	1	41.9301021841797	0.644264034896665
Chrom1-18409583	1	41.9859968783154	0.644264034898356
c1.loc42	1	42	0.644244421975742
Chrom1-18511464	1	42.2189446302547	0.643984122782978
Chrom1-18663582	1	42.8243675219366	0.512449477222354
Chrom1-18824405	1	43.1871229709535	0.512449477222731
Chrom1-18875865	1	43.2553394337504	0.475526370082854
Chrom1-18925875	1	43.3995390716731	0.390006143656169
Chrom1-19027847	1	43.5435414288201	0.3013042570743
Chrom1-19181536	1	43.7492656739006	0.314656082069899
Chrom1-19283131	1	43.9548355031532	0.315553316974572
c1.loc44	1	44	0.315553471829535
Chrom1-19663347	1	44.1602730572025	0.315553316974992
Chrom1-19957038	1	44.1602731572025	0.315553316974992
Chrom1-20109800	1	44.263022276929	0.315553316974992
Chrom1-20360524	1	44.3656444328576	0.315553316974992
