chr	pos	lod
Chrom2-12121107	2	25.6790092917765	4.01602117253077
Chrom2-12223898	2	25.6790093917765	4.01602117473919
Chrom2-12329733	2	25.6790094917765	4.01602117465484
Chrom2-12432524	2	25.6790095917765	4.01602117494804
c2.loc26	2	26	4.0477674349786
Chrom2-12533633	2	26.0434845965415	4.05194360790671
Chrom2-12636116	2	26.2439647562251	4.0515777726651
Chrom2-14382139	2	29.8651962069567	3.80297508633686
c2.loc30	2	30	3.8166136009869
Chrom2-14562741	2	30.659403044976	3.83657026697597
Chrom2-14886788	2	31.2692190489371	4.05351761987555
Chrom2-14936900	2	31.2692191489371	4.05351761174552
Chrom2-15041390	2	31.7515297290852	4.31803671904976
c2.loc32	2	32	4.4333405069961
Chrom2-15189735	2	32.2073523149975	4.51717943051244
Chrom2-15350197	2	32.2073524149975	4.51717942485766
Chrom2-15512884	2	32.6734036142903	3.94786589642337
Chrom2-15564211	2	32.6734037142903	3.94786589288276
Chrom2-15666418	2	32.9136264987385	4.14742654819167
Chrom2-15720492	2	33.1548610140433	4.29921995227369
Chrom2-15772443	2	33.3949982740508	4.29943457983956
Chrom2-16033825	2	33.3949983740508	4.2994345799288
Chrom2-16136817	2	33.3949984740508	4.29943450407939
Chrom2-16242408	2	33.8316743205875	3.87100204451593
Chrom2-16299972	2	33.8316744205875	3.87100212029543
c2.loc34	2	34	3.97810959841854
Chrom2-16351768	2	34.1843400430904	4.04533075804227
Chrom2-16510670	2	34.5739084191358	4.05778256865693
Chrom2-16616712	2	34.5739085191358	4.05778257454398
Chrom2-16788844	2	34.8406123980911	4.07331656995626
Chrom2-16893275	2	34.8406124980911	4.07331653069531
Chrom2-16998688	2	34.8406125980911	4.07331653123583
Chrom2-17100264	2	35.1704992838503	4.05339835737931
Chrom2-17152980	2	35.1705059523782	4.05339874985327
Chrom2-17263199	2	35.6622768115906	3.99918930964168
Chrom2-17316165	2	35.7829407827716	4.14901987496677
c2.loc36	2	36	4.14919199050922
Chrom2-17426101	2	36.0273914223029	4.14921387664509
Chrom2-17535352	2	36.2712702888785	4.04150115712758
Chrom2-17638256	2	36.2712703888785	4.04150115721018
Chrom2-17844284	2	36.5024616971349	4.04169320338275
Chrom2-17895951	2	36.5024617971349	4.04169320346574
Chrom2-17946580	2	36.936388266526	4.04205100781076
Chrom2-17997230	2	36.936388366526	4.04205100789295
Chrom2-18047863	2	36.936388466526	4.04205100599228
Chrom2-18152921	2	37.3183999438742	4.04168498063183
Chrom2-18203006	2	37.6652814233168	3.97374966337344
Chrom2-18255877	2	37.718772362051	3.98261127215324
