chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-14936900	31.2692191489371	4.05351761174552
chr2	lod_1.5	Chrom2-134901296	83.4407117596792	5.60349583421981
chr2	lod_1.5	Chrom2-141111435	97.9952386294825	3.83415217514062
chr2	lod_2	Chrom2-12015573	25.3189802638361	3.200373224347
chr2	lod_2	Chrom2-134901296	83.4407117596792	5.60349583421981
chr2	lod_2	Chrom2-142147923	100.287735682909	3.35202939096536
chr2	bayes	Chrom2-12121107	25.6790092917765	4.01602117253077
chr2	bayes	Chrom2-134901296	83.4407117596792	5.60349583421981
chr2	bayes	Chrom2-141003158	97.8154308592524	4.43363710665932
chr6	lod_1.5	Chrom6-6437612	13.8952122974912	4.32138041288232
chr6	lod_1.5	Chrom6-7964580	18.8727922290534	5.8750486534679
chr6	lod_1.5	Chrom6-109443391	58.7370040425675	4.36731060846097
chr6	lod_2	Chrom6-4448805	8.57162948617707	3.48242022631712
chr6	lod_2	Chrom6-7964580	18.8727922290534	5.8750486534679
chr6	lod_2	Chrom6-109501058	59.387413222563	3.32714015582599
chr6	bayes	Chrom6-6007371	12.8615824058296	4.005292209152
chr6	bayes	Chrom6-7964580	18.8727922290534	5.8750486534679
chr6	bayes	Chrom6-109443391	58.7370040425675	4.36731060846097
