chr	pos	lod
Chrom8-7445	8	0	3.92794533535147
Chrom8-243832	8	1.00000002822922e-07	3.92794533543901
Chrom8-706453	8	0.13033932651705	3.91471760942085
Chrom8-809383	8	0.130339426517053	3.91471761303833
c8.loc2	8	2	3.78094113012878
Chrom8-1391034	8	2.12180437439786	3.80891063116175
Chrom8-2056322	8	3.56816171215157	4.22413441435774
Chrom8-2109818	8	3.56816181215158	4.22413459724038
Chrom8-2159897	8	3.56816191215158	4.2241346438779
c8.loc4	8	4	4.64975261983895
Chrom8-2213088	8	4.42262194311178	4.99645761498888
Chrom8-2264545	8	4.42262204311178	4.99645765698332
Chrom8-2315267	8	4.42262214311179	4.9964576735274
Chrom8-2416517	8	4.6315812319131	5.10319101883192
Chrom8-2520969	8	4.83997419003871	5.31517475224976
Chrom8-2622795	8	5.27410409109928	5.23019419808634
Chrom8-2820307	8	5.27410419109928	5.23019414327956
Chrom8-3013566	8	5.27410429109928	5.23019409937157
Chrom8-3178199	8	5.88754992328386	4.6737850432161
Chrom8-3233334	8	5.88755002328386	4.67378492465804
Chrom8-3287505	8	5.88755012328386	4.67378492027018
c8.loc6	8	6	4.67938952471471
Chrom8-3338267	8	6.05702121175024	4.68183667061632
Chrom8-3390545	8	6.3944881399706	4.69078032596559
Chrom8-3443071	8	6.3944882399706	4.69078032719784
Chrom8-3625470	8	7.49668893382306	4.7664461832133
Chrom8-3727778	8	7.49668903382306	4.76644618292235
Chrom8-3779417	8	7.49668913382306	4.76644622182869
Chrom8-3829622	8	7.49668923382307	4.76644627062865
c8.loc8	8	8	4.85984979715394
Chrom8-3893935	8	8.27240784818021	4.87415853069987
Chrom8-3945024	8	8.46042090377302	4.86893555187038
Chrom8-3995550	8	8.46042100377302	4.86893562767224
Chrom8-4048181	8	9.08645758631888	5.29106971955804
Chrom8-4202009	8	9.13163036023931	5.29576244090407
Chrom8-4308869	8	9.42567823565969	5.29613757314209
Chrom8-4362180	8	9.42567833565969	5.29613757326965
Chrom8-4414227	8	9.64928580078023	5.2962582974298
Chrom8-4515667	8	9.73036047497831	5.29630221318902
c8.loc10	8	10	5.31772525090625
Chrom8-4618588	8	10.1609249211476	5.32383793186941
Chrom8-4674336	8	10.1609250211476	5.32383793409443
Chrom8-4777953	8	10.8796158378744	5.35938489974018
Chrom8-4833081	8	10.9999726629396	5.37741566780036
c8.loc12	8	12	5.41396614285469
Chrom8-4936870	8	12.2702783722152	5.38802342897387
Chrom8-4987989	8	12.2702784722152	5.38802342243511
Chrom8-5041397	8	12.5435338157931	5.36063841486822
Chrom8-5099103	8	13.3241216853777	5.75708552998799
Chrom8-5150659	8	13.7323654168753	6.03429913521842
c8.loc14	8	14	5.82976134884956
Chrom8-5200996	8	14.0281661452649	5.80731447339781
Chrom8-5369711	8	14.0281662452649	5.80731439363632
Chrom8-5508781	8	14.0281663452649	5.80731439263559
Chrom8-5559192	8	14.0281664452649	5.80731439163489
Chrom8-5663565	8	14.2531514708696	5.80503050175341
Chrom8-5713730	8	14.2531515708696	5.80503050072386
Chrom8-5767422	8	14.2531516708696	5.80503061177853
Chrom8-5820972	8	14.580818919258	5.99798439252984
Chrom8-5884664	8	14.580819019258	5.99798439045983
Chrom8-5935936	8	14.8838300322903	5.94195340789301
Chrom8-5987985	8	14.8838301322903	5.94195337312408
Chrom8-6039720	8	15.1599539789257	5.94359591791354
Chrom8-6089758	8	15.9050206005702	6.22854707130082
c8.loc16	8	16	6.24268829244048
Chrom8-6293093	8	16.3072098413285	6.2578052244134
Chrom8-6346206	8	16.4472736446452	6.2559616506604
Chrom8-6516128	8	16.8561779412487	5.914846938002
Chrom8-6594013	8	16.8561780412487	5.91484694607669
Chrom8-6757981	8	17.5138280921898	5.77800246728512
Chrom8-6809161	8	17.5138281921898	5.77800246517282
Chrom8-6871641	8	17.7849750657077	5.82560099451314
Chrom8-6923893	8	17.7849751657077	5.82560101067662
c8.loc18	8	18	5.87397135100719
Chrom8-7041008	8	18.662858640646	5.96009296459383
Chrom8-7094681	8	18.662858740646	5.96009296027702
Chrom8-7201404	8	19.2731184141789	5.93006732038981
Chrom8-7253140	8	19.5399401578182	5.47038486496066
Chrom8-7304499	8	19.5399402578182	5.47038464990598
Chrom8-7355054	8	19.5399403578182	5.4703846471474
Chrom8-7406190	8	19.979146929279	5.45525344089856
Chrom8-7456566	8	19.979147029279	5.45525324984683
c8.loc20	8	20	5.4145946914926
Chrom8-7563225	8	20.2097705272593	4.89410332771834
Chrom8-7616438	8	20.2097706272593	4.89410333019211
Chrom8-7677286	8	20.2097707272593	4.89410333266585
Chrom8-7781478	8	20.8621276166253	4.77095888775787
Chrom8-7887293	8	20.8621277166253	4.77095888923782
Chrom8-7996425	8	21.373695069284	5.35917915035975
Chrom8-8109101	8	21.5631794553996	5.58098470815932
c8.loc22	8	22	5.74137706341699
Chrom8-8314882	8	22.1280164700244	5.73338587458099
Chrom8-8424279	8	22.1280165700244	5.73338585375407
Chrom8-8476434	8	22.1280166700244	5.73338590863486
Chrom8-8533115	8	22.3392115421498	4.67012419458916
Chrom8-8695947	8	22.461746752623	4.10148360947537
Chrom8-8746946	8	22.507296535868	4.10081242752264
Chrom8-8848342	8	22.7925405128868	4.12063257305221
c8.loc28	8	28	3.8457579160775
Chrom8-10641934	8	28.2600013872957	3.97334932404476
Chrom8-10697185	8	28.3269883938546	3.98031184124153
Chrom8-10804108	8	28.7331104748823	4.14447470604628
Chrom8-10855113	8	29.7654166759164	4.4456019544771
c8.loc30	8	30	4.43435562019187
Chrom8-10908027	8	30.119663844323	4.42461031425955
Chrom8-10970631	8	30.3756586636803	4.21550891922098
Chrom8-11133263	8	30.6848002908046	3.78001452997171
Chrom8-11183840	8	30.6848003908046	3.78001452997134
Chrom8-11239491	8	30.8450700020141	3.78001452997148
Chrom8-11346852	8	31.1702261510899	4.19637072710441
Chrom8-11397833	8	31.1702262510899	4.19637075606704
Chrom8-11510207	8	31.3756946482371	4.26362291293253
Chrom8-11562976	8	31.4780537343095	4.11100050063283
Chrom8-11672293	8	31.5802975108822	4.11100050063277
Chrom8-12083733	8	31.8312908374532	4.41066336799747
Chrom8-12250057	8	31.9847700766264	4.67956099841905
c8.loc32	8	32	4.68622133185866
Chrom8-12356049	8	32.1569776075378	4.74460528918678
Chrom8-12468218	8	32.4952083427474	4.92047104032042
Chrom8-12522729	8	32.4952084427474	4.92047105960552
Chrom8-12746211	8	33.404859513084	4.13002341988792
