chr	pos	lod
Chrom1-113576066	1	54.759063369229	3.55031974546063
Chrom1-113780650	1	54.759063469229	3.55031974546148
Chrom1-113936162	1	55.0680735334075	3.55031974546063
Chrom1-114353330	1	55.2218801394243	3.5503197454608
Chrom1-114409403	1	55.3756180131636	3.43218903524473
Chrom1-114511994	1	55.3756181131636	3.43218891223836
Chrom1-114772670	1	55.4771437345352	3.43218891223893
c6.loc56	6	56	3.45885899845933
Chrom6-108585292	6	56.0437278681633	3.48610087532893
Chrom6-108636273	6	56.1031789340104	3.49216561304434
Chrom6-108687092	6	56.6589822182267	3.60288364883638
Chrom6-108738536	6	57.0868486623505	3.72337474030667
Chrom6-108895911	6	57.0868487623505	3.72337479183614
Chrom6-109030093	6	57.466176335472	3.75766086807363
Chrom6-109132409	6	57.466176435472	3.75766086622036
c6.loc58	6	58	3.69131839709348
Chrom6-109235998	6	58.4497970278816	3.650420046688
Chrom6-109286133	6	58.4497971278816	3.65042004502055
Chrom6-109392228	6	58.4497972278816	3.65042004145312
Chrom6-109443391	6	58.7370040425675	3.55489314349967
Chrom6-109501058	6	59.387413222563	3.49796865198181
Chrom6-109554161	6	59.387413322563	3.49796860995974
Chrom6-109661376	6	59.387413422563	3.49796860888068
Chrom6-109712605	6	59.5181558938976	3.49289926261145
Chrom6-112263166	6	67.8597283775999	4.01515550415593
Chrom6-112313681	6	67.8597284776	4.01515552692581
c6.loc68	6	68	3.99210191088832
Chrom6-112379717	6	68.0974584164873	3.97517040125564
Chrom6-112431292	6	68.8057203487569	3.64327150367154
Chrom7-17906156	7	38.4689181700401	3.47488660908397
Chrom7-18322663	7	38.7027203530078	3.55477119857375
Chrom7-18112440	7	38.7027204530078	3.55477119857392
Chrom7-18266800	7	38.7027205530078	3.55477119857392
Chrom7-18424366	7	38.8054483254138	3.4949771980713
Chrom7-18950965	7	38.9080631769429	3.4949771980713
Chrom5-89039975	7	39.712179062328	3.4295640889917
Chrom5-88591939	7	39.712179162328	3.42956412325401
Chrom5-88176232	7	39.712179262328	3.42956415751593
Chrom5-87780438	7	39.712179362328	3.42956419177779
Chrom5-88987551	7	39.712179462328	3.42956422603953
Chrom5-85421653	7	39.9431847686	3.50514607429142
Chrom5-85472205	7	39.9431848686	3.50514607428937
Chrom5-85297493	7	39.9431849686	3.43559443506183
c7.loc40	7	40	3.48995665108822
Chrom5-87649222	7	40.0456661986566	3.50514519118269
Chrom5-85574181	7	40.0456662986566	3.50514519118371
Chrom5-85801697	7	40.0456663986566	3.50514519118366
Chrom5-87387711	7	40.0456664986566	3.50514519117365
Chrom7-67331878	7	48.2840391904482	3.54303814065662
Chrom7-67281679	7	48.2840392904482	3.54303813186499
Chrom7-67697044	7	49.2808703980985	3.44800572125519
Chrom7-67910556	7	49.2808704980986	3.44800572125519
Chrom7-68117262	7	49.3836269676699	3.44800572125507
Chrom7-68380749	7	49.4862432158415	3.44800572125519
