chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-12015573	25.3189802638361	5.21297481486442
chr2	lod_1.5	Chrom2-18358950	38.1277540239129	6.95227871591106
chr2	lod_1.5	Chrom2-18832578	39.2974645971716	5.40669881394956
chr2	lod_2	Chrom2-8250900	17.8931139644137	4.71973170048233
chr2	lod_2	Chrom2-18358950	38.1277540239129	6.95227871591106
chr2	lod_2	Chrom2-23161770	42.4326536454264	3.72170287409665
chr2	bayes	Chrom2-10008393	21.2915419990313	5.27983280179041
chr2	bayes	Chrom2-18358950	38.1277540239129	6.95227871591106
chr2	bayes	Chrom2-18832578	39.2974645971716	5.40669881394956
chr6	lod_1.5	Chrom6-5851898	11.9636757089479	6.29165790635915
chr6	lod_1.5	Chrom6-7521953	18.4244745240047	8.03091112164418
chr6	lod_1.5	Chrom6-109501058	59.387413222563	5.95532444949163
chr6	lod_2	Chrom6-5020730	10.4164993978407	5.68098712943976
chr6	lod_2	Chrom6-7521953	18.4244745240047	8.03091112164418
chr6	lod_2	Chrom6-109501058	59.387413222563	5.95532444949163
chr6	bayes	Chrom6-6007371	12.8615824058296	6.85935412610564
chr6	bayes	Chrom6-7521953	18.4244745240047	8.03091112164418
chr6	bayes	Chrom6-109443391	58.7370040425675	6.83053002174819
