chr	pos	lod
Chrom2-18725615	2	39.1636414082186	3.50915186209124
Chrom2-18832578	2	39.2974645971716	3.60046272017877
c2.loc40	2	40	3.81416528275906
c2.loc42	2	42	4.19302935882888
Chrom2-23161770	2	42.4326536454264	4.21846959410578
c2.loc44	2	44	3.93969555002599
Chrom2-27175557	2	45.0973745747932	3.59265492390131
Chrom2-27330415	2	45.0973746747932	3.59265492039287
Chrom2-27433736	2	45.3359423038117	3.63751909210856
Chrom2-27489648	2	45.7534955468582	3.93513988266113
c2.loc46	2	46	4.14963698207862
Chrom2-27593319	2	46.0799575438947	4.20114129815124
Chrom2-27698966	2	46.0799576438947	4.20114129842
Chrom2-28308525	2	46.8533127316258	4.56538202265921
Chrom2-28412378	2	46.8533128316258	4.56538202295246
Chrom2-28514142	2	46.9563805012083	4.5498738465696
Chrom2-28565881	2	46.9563806012083	4.54987384028112
Chrom2-28624495	2	47.3814663127683	4.46608071189121
c2.loc48	2	48	4.05091160424445
Chrom2-28905072	2	48.4660084266359	3.75288001161852
Chrom2-29226959	2	48.6122599754554	3.73041348688395
Chrom2-29332917	2	48.8740821515946	3.38046388529068
Chrom2-29436394	2	49.0446353321376	3.32786045214436
Chrom2-29904562	2	50.2362752683606	3.40683348656324
Chrom2-30064018	2	50.3790079017688	3.40725445163696
Chrom1-21219775	1	44.6742365323194	3.36191416726211
Chrom1-103361357	1	49.8173387571623	3.31660163809408
Chrom1-104768386	1	50.2284265285951	3.32813374581997
Chrom1-106197386	1	50.3305297118583	3.32813374581997
Chrom1-107158010	1	50.5366303207072	3.32813374581997
Chrom1-107263246	1	50.6389936998355	3.32813374581997
Chrom1-108284003	1	50.7410956171125	3.32813374581997
Chrom1-108494030	1	51.0505341100918	3.44251084162806
Chrom1-109218990	1	51.340034065902	3.44251084162806
Chrom1-109281516	1	51.340034165902	3.44251083891675
Chrom1-109593936	1	51.9766394439115	3.31442617281675
Chrom1-109855771	1	51.9766395439115	3.3144261801325
c1.loc52	1	52	3.32769739961634
Chrom1-110853266	1	52.3048591120826	3.55804806375613
Chrom1-111013441	1	52.8013454098666	3.558302756025
Chrom1-111116026	1	52.8013455098666	3.558302761275
Chrom1-111217315	1	52.8013456098666	3.55830276127494
Chrom1-112330121	1	53.0064672089632	3.558302761275
c1.loc72	1	72	3.46744449619644
c1.loc74	1	74	3.64930113672449
c1.loc76	1	76	3.83607157494004
c1.loc78	1	78	4.0240156357192
c1.loc80	1	80	4.2082856552309
c1.loc82	1	82	4.38299780863161
c1.loc84	1	84	4.54148674971884
c1.loc86	1	86	4.67677315081949
c1.loc88	1	88	4.78222414932878
c1.loc90	1	90	4.85231840490394
c1.loc92	1	92	4.8833658846994
c1.loc94	1	94	4.87401255723489
c1.loc96	1	96	4.82540319938425
c1.loc98	1	98	4.74096874021279
c1.loc100	1	100	4.62590631974376
c1.loc102	1	102	4.48648829682583
c1.loc104	1	104	4.32935202766316
c1.loc106	1	106	4.16089265361978
c1.loc108	1	108	3.98682803020006
c1.loc110	1	110	3.81195110234387
c1.loc112	1	112	3.64004578466
c1.loc114	1	114	3.47392278612682
c1.loc116	1	116	3.31552887851154
