chr	pos	lod
Chrom1-10469547	1	30.0442358693533	3.7848657305254
Chrom1-10782470	1	30.2594592018528	3.81473448033199
Chrom1-11002572	1	30.5246015150964	4.20449373546217
Chrom1-11282337	1	31.3436613870164	4.66195705623132
Chrom1-11581340	1	31.5432559709027	4.68890596039138
Chrom1-11734526	1	31.7431112777533	4.56662863878017
c1.loc32	1	32	4.57323575769905
Chrom1-11888825	1	32.4219039912082	4.55032197193817
Chrom1-12010387	1	32.4219040912082	4.55032195053566
Chrom1-12113892	1	32.8386390639686	4.56666486628635
Chrom1-12164327	1	33.578721464302	5.64861861471769
Chrom1-12215819	1	33.6235232290978	5.70340381998908
c1.loc34	1	34	5.90395239171185
Chrom1-12266909	1	34.0070192051692	5.90744283010528
Chrom1-12370910	1	34.2727225599418	5.90744283010527
Chrom1-12522284	1	34.3820431104492	5.90744283010625
Chrom1-12628489	1	34.5878426884874	5.9183922564612
Chrom1-12745616	1	34.5878427884874	5.9183922564612
Chrom1-12902338	1	34.5878428884874	5.91839225646116
Chrom1-12952798	1	34.7106719628827	5.9183922564612
Chrom1-13105023	1	34.9581537777207	5.9183922564612
Chrom1-13213048	1	35.204679608573	5.44385571678504
Chrom1-13320090	1	35.204679708573	5.44385571678487
Chrom1-13490147	1	35.204679808573	5.44385571678488
Chrom1-13540912	1	35.3588311764454	5.44385571678487
Chrom1-13642304	1	35.5123709599889	5.44385571678487
Chrom1-13793503	1	35.5123710599889	5.44385571678494
Chrom1-13960398	1	35.8299267196203	5.72527751490107
Chrom1-14062896	1	35.9869776446686	5.72527751490132
c1.loc36	1	36	5.72527750138181
Chrom1-14167820	1	36.2870880348772	5.72527751490068
Chrom1-14219704	1	36.3067956038196	5.72527751490102
Chrom1-14269866	1	36.5000138487212	5.7252775149011
Chrom1-14476516	1	36.6303954674544	5.59092173114502
Chrom1-14581432	1	36.7250749281307	5.45122801694698
Chrom1-14736217	1	36.9525675838073	5.42860970213381
Chrom1-14898290	1	37.0548736961089	5.42860970213373
Chrom1-15102016	1	37.1574940033545	5.42860970213373
Chrom1-15417330	1	37.2598539411607	5.42860970213376
Chrom1-15575835	1	37.4651561581081	5.42860970213374
Chrom1-15895473	1	37.8785883666525	5.47560747530392
Chrom1-15946213	1	37.8785884666525	5.47560740430417
c1.loc38	1	38	5.38700520890052
Chrom1-15996245	1	38.1528814033053	5.20477353399313
Chrom1-16098601	1	38.2893537580596	5.09459599839556
Chrom1-16368825	1	38.4390972837862	5.37520801395372
Chrom1-16473225	1	38.6161833262119	5.43974813828316
Chrom1-16577688	1	38.7492796980689	5.49070049791777
Chrom1-16631397	1	39.0854216630121	5.667600417692
Chrom1-16786631	1	39.421506590683	5.49668907707544
Chrom1-16943084	1	39.421506690683	5.4966892513293
Chrom1-17043617	1	39.5847857523571	5.65804927683577
Chrom1-17147073	1	39.6964707211547	5.65804927683577
Chrom1-17198172	1	39.7475013564607	5.65804927683556
c1.loc40	1	40	6.11572404072591
Chrom1-17357072	1	40.2450239849802	6.53408114398356
Chrom1-17407545	1	40.2450240849802	6.53408114398333
Chrom1-17457715	1	40.2450241849802	6.53408114398438
Chrom1-17634061	1	40.8436629437429	7.51394493603213
Chrom1-17737887	1	41.2155531349241	7.950435894574
Chrom1-17845954	1	41.5868001923233	8.29985824439559
Chrom1-18053208	1	41.5868002923233	8.29985825059181
Chrom1-18203714	1	41.7092201463062	8.29985825059184
Chrom1-18306263	1	41.9301021841797	8.29985825059114
Chrom1-18409583	1	41.9859968783154	8.29985825059192
c1.loc42	1	42	8.29962662226285
Chrom1-18511464	1	42.2189446302547	8.28710613784051
Chrom1-18663582	1	42.8243675219366	7.66162028665649
Chrom1-18824405	1	43.1871229709535	7.66162028665602
Chrom1-18875865	1	43.2553394337504	7.66615966850824
Chrom1-18925875	1	43.3995390716731	7.63159376098497
Chrom1-19027847	1	43.5435414288201	7.53520108834337
Chrom1-19181536	1	43.7492656739006	7.66432856649816
Chrom1-19283131	1	43.9548355031532	7.31100100134135
c1.loc44	1	44	7.31100111104836
Chrom1-19663347	1	44.1602730572025	7.31100100134128
Chrom1-19957038	1	44.1602731572025	7.3110010013413
Chrom1-20109800	1	44.263022276929	7.3110010013413
Chrom1-20360524	1	44.3656444328576	7.3110010013413
Chrom1-21009672	1	44.4680048797201	7.31100100134118
Chrom1-21219775	1	44.6742365323194	7.44743469622496
Chrom1-21271611	1	44.8786294180737	7.55674062183121
Chrom1-21438326	1	44.8786295180737	7.55674055339111
Chrom1-21902059	1	45.2915932576083	8.32085222566846
Chrom1-21953006	1	45.2915933576083	8.32085228054684
Chrom1-22003207	1	45.2915934576083	8.32085222000704
Chrom1-22163295	1	45.7040969012589	7.7583887496644
Chrom1-22268844	1	45.7040970012589	7.75838874966435
c1.loc46	1	46	7.75838880978985
Chrom1-22475360	1	46.0129803007012	7.75838874966452
Chrom1-22526478	1	46.0129804007012	7.75838880237379
Chrom1-22579384	1	46.0129805007012	7.75838885508276
Chrom1-22685108	1	46.4259708964349	8.05719855365889
Chrom1-22738930	1	46.4259709964349	8.05719855365888
Chrom1-22840863	1	46.6307997771104	7.57351825857695
Chrom1-23114620	1	46.9750419689817	7.85002386342417
Chrom1-23326642	1	47.145668748031	7.85002386342417
Chrom1-23482000	1	47.3169437814551	7.85002386342404
Chrom1-23532260	1	47.3169438814551	7.85002386342417
Chrom1-23585018	1	47.660115554752	7.85002386342417
Chrom1-23686485	1	47.660115654752	7.85002386342417
Chrom1-24175311	1	47.7629160861082	7.85002386342417
Chrom1-24493594	1	47.8655385459496	7.71801595640451
Chrom1-24752701	1	47.9681608099173	7.7180159564046
c1.loc48	1	48	7.6414544150786
Chrom1-25711641	1	48.0707832908858	7.39278599347415
Chrom1-25929840	1	48.1731453759963	7.39278599347402
Chrom1-26549204	1	48.3792398128846	6.76123649882418
Chrom1-27184802	1	48.481601684225	6.9746375304876
Chrom1-27286572	1	48.5839635543164	6.71671401373318
Chrom1-27984580	1	48.7900588654815	6.50553269748329
Chrom1-29782651	1	48.8921630544678	6.13000799551973
Chrom1-33223725	1	49.0976068543367	6.40687316559388
Chrom1-33348869	1	49.0976069543367	6.40687316559388
Chrom1-34690118	1	49.4067616756502	6.27864954768097
Chrom1-34801647	1	49.4067617756502	6.2786494828817
Chrom1-39507600	1	49.5094682685881	6.27864948288182
Chrom1-99913906	1	49.6120918373803	6.27864948288175
Chrom1-102296993	1	49.7147151884736	6.27864948288175
Chrom1-103361357	1	49.8173387571623	6.31617661445068
Chrom1-103675120	1	49.9199625436917	6.04155860349628
c1.loc50	1	50	5.63810774482553
Chrom1-104096031	1	50.022325919725	5.52044621555015
Chrom1-104768386	1	50.2284265285951	5.52044621555014
Chrom1-106197386	1	50.3305297118583	5.52044621555014
Chrom1-107158010	1	50.5366303207072	5.52044621555014
Chrom1-107263246	1	50.6389936998355	5.52044621554995
Chrom1-108284003	1	50.7410956171125	5.52044621555011
Chrom1-108494030	1	51.0505341100918	5.65182734454278
Chrom1-109218990	1	51.340034065902	5.65182734454282
Chrom1-109281516	1	51.340034165902	5.6518273445427
Chrom1-109332307	1	51.629323815394	5.65182734454275
Chrom1-109593936	1	51.9766394439115	5.40521782510794
Chrom1-109855771	1	51.9766395439115	5.40521774218219
c1.loc52	1	52	5.50761489620757
Chrom1-110042458	1	52.1828797360261	5.75407395703554
Chrom1-110853266	1	52.3048591120826	5.14375927028468
Chrom1-111013441	1	52.8013454098666	5.19286340726829
Chrom1-111116026	1	52.8013455098666	5.19286340229277
Chrom1-111217315	1	52.8013456098666	5.19286340229094
Chrom1-112330121	1	53.0064672089632	5.19286340229276
Chrom1-113008060	1	53.4327321036604	5.10310760410226
Chrom1-113112203	1	53.5259597454316	5.04719593698822
Chrom1-113167329	1	53.6283327857229	5.01341887065725
Chrom1-113218365	1	53.9231696467156	5.10475137830117
c1.loc54	1	54	5.1212517656775
Chrom1-113322003	1	54.4223015622162	5.15344622169029
Chrom1-113422520	1	54.4223016622162	5.1534462216902
Chrom1-113576066	1	54.759063369229	5.3238074123397
Chrom1-113780650	1	54.759063469229	5.3238074123396
Chrom1-113936162	1	55.0680735334075	5.3238074123397
Chrom1-114353330	1	55.2218801394243	5.32380741233996
Chrom1-114409403	1	55.3756180131636	5.32380741233972
Chrom1-114511994	1	55.3756181131636	5.3238074123413
Chrom1-114772670	1	55.4771437345352	5.32380741234012
c1.loc56	1	56	5.42600968221497
Chrom1-115029927	1	56.0830419889183	5.41582041745605
Chrom1-115134316	1	56.2012352646029	5.41582041745541
Chrom1-115245443	1	56.4068580400199	5.41582041745602
Chrom1-115349709	1	56.4068581400199	5.415820417456
Chrom1-115551454	1	56.5346424590995	5.39556305384068
Chrom1-115606027	1	56.9216474397811	5.22694309417935
Chrom1-115716576	1	56.9216475397811	5.22694303485572
Chrom1-116034887	1	57.0244710514173	5.22694303485574
Chrom1-117022097	1	57.1270914903887	5.22694303485574
Chrom1-117241720	1	57.2294527342076	5.22694303485574
Chrom1-117522189	1	57.4352751360499	5.02950034620517
Chrom1-117959962	1	57.4352752360499	5.0295003462051
Chrom1-118062249	1	57.4352753360499	5.0295003462051
Chrom1-118502226	1	57.5378256997597	5.02950034620552
Chrom1-119180827	1	57.6673901308554	5.05465541899294
c1.loc58	1	58	5.11098775389445
Chrom1-119335679	1	58.0257213091195	5.10540891938524
Chrom1-119387110	1	58.1549116180915	5.10540891938552
Chrom1-119592282	1	58.1549117180915	5.10540891938516
Chrom1-120069674	1	58.2574759051026	5.10540891938516
Chrom1-120436286	1	58.4632321068141	5.10540891938516
Chrom1-120549952	1	58.4632322068141	5.10540891938516
Chrom1-120652550	1	58.5872209960776	5.10540891938516
Chrom1-121283676	1	59.0440671168088	5.29465798538517
Chrom1-121334052	1	59.3110270289579	4.88557638464984
Chrom1-121384502	1	59.3701080943262	4.77791568981635
Chrom1-121435757	1	59.5039519767497	4.68759667783016
Chrom1-121539380	1	59.6979779156267	4.53828362801104
Chrom1-121805703	1	59.9729591052424	4.67188706378826
c1.loc60	1	60	4.66677722807817
Chrom1-121959926	1	60.1087456399895	4.64291245197688
Chrom1-122854954	1	60.5220280989218	4.80250096534219
Chrom1-123007270	1	60.9340376636462	4.80250096534137
Chrom1-123212824	1	60.9340377636462	4.80250096534236
Chrom1-123414383	1	61.1911224175004	4.79853297271022
Chrom1-123567103	1	61.4481945915442	4.77476292726436
Chrom1-124526980	1	61.8614668315148	3.90318499966345
Chrom1-124688940	1	61.8614815721045	3.90318499966293
c1.loc62	1	62	3.83639232246516
Chrom8-13924075	8	36.9263780194074	4.01696819637891
Chrom8-14025481	8	36.9263781194074	4.01696819436611
Chrom8-14882957	8	37.5728472066028	3.78714683462394
Chrom8-14986015	8	37.5728473066028	3.7871467991047
Chrom8-15087752	8	37.5728474066028	3.78714680434888
Chrom8-15259653	8	37.5728493816064	3.78714705946079
Chrom8-15485229	8	37.8523738969763	3.80626649589776
Chrom8-15592502	8	37.8523739969763	3.80626650029903
c8.loc38	8	38	3.76948396049978
Chrom8-18058137	8	39.1820993238876	3.83252266028742
Chrom8-18274563	8	39.1820994238876	3.83252266028741
Chrom8-18448565	8	39.1820995238876	3.83252266028741
Chrom8-18683818	8	39.1820996238876	3.8325226602874
Chrom8-18848646	8	39.4367633105465	3.83252266028741
Chrom8-19904389	8	39.4367634105465	3.83252266028741
Chrom8-20333800	8	39.563869297409	3.83252266028741
Chrom8-21117884	8	39.7545575247268	3.83252266028741
Chrom8-21606017	8	39.7545603202593	3.83252266028738
Chrom8-22108019	8	39.9458077718391	4.18088138956132
Chrom8-22268690	8	39.9458078718391	4.18088151155268
Chrom8-22377748	8	39.9458079718391	4.18088151155263
c8.loc40	8	40	4.18088158930244
Chrom8-23128741	8	40.0548234037424	4.18088151155169
Chrom8-24461752	8	40.157428702302	4.18088151155271
Chrom8-27713482	8	40.2600494416429	4.18088151155271
Chrom8-28512082	8	40.3626699649908	4.18088151155271
Chrom8-29549395	8	40.465291139873	4.22592761078126
Chrom8-33823147	8	40.5679101737759	4.22592761078126
Chrom8-38038103	8	40.5679102737759	4.22592761078126
Chrom8-38356098	8	40.7733458704726	4.22592761078126
Chrom8-38467862	8	40.7733459704726	4.22592761078126
Chrom8-40191569	8	40.8760939238291	4.22592761078126
Chrom8-40515877	8	40.8760940238291	4.22592761078126
Chrom8-40637481	8	40.8760941238291	4.22592761078126
Chrom8-44276226	8	41.0816554290401	4.22592761078126
Chrom8-44440966	8	41.0816555290401	4.22592761078126
Chrom8-44700904	8	41.0816556290401	4.22592761078124
Chrom8-50415370	8	41.1842749818426	4.22592761078126
Chrom8-75882863	8	41.2866351346688	3.91665917264299
Chrom8-76372637	8	41.4927198759075	3.91665917264307
Chrom8-82069301	8	41.5950795950036	3.91665917264299
c9.loc2	9	2	4.20714718502033
Chrom9-1563665	9	2.06972011297745	4.29796090356369
Chrom9-1616809	9	2.06972021297745	4.29796089622229
Chrom9-1673316	9	2.06972031297746	4.29796089279532
Chrom9-1724692	9	2.37198284363606	3.9829649568934
Chrom9-1775817	9	3.17161183103508	4.07908279264902
Chrom9-1882153	9	3.61930201550683	4.1287614241582
c9.loc4	9	4	3.89717018868791
Chrom9-2037707	9	4.13020527371939	3.77974216924433
Chrom9-2089752	9	4.1302053737194	3.77974217045171
