chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-34440350	55.6021761092847	5.39327834984832
chr2	lod_1.5	Chrom2-46722257	71.6764905869214	6.94523796401998
chr2	lod_1.5	Chrom2-140744131	97.6613589948884	5.30983741837085
chr2	lod_2	Chrom2-23161770	42.4326536454264	4.14060682690086
chr2	lod_2	Chrom2-46722257	71.6764905869214	6.94523796401998
chr2	lod_2	Chrom2-141263060	98.3785065029769	4.66742670748437
chr2	bayes	Chrom2-34593589	55.9416856271949	5.80663853606728
chr2	bayes	Chrom2-46722257	71.6764905869214	6.94523796401998
chr2	bayes	Chrom2-140052013	96.4938907432317	5.30002179407703
chr4.2.9	lod_1.5	Chrom4-5310537	11.8116442976674	3.61746193180807
chr4.2.9	lod_1.5	Chrom4-8841221	20.6589289460521	5.1315254422276
chr4.2.9	lod_1.5	Chrom4-11397134	26.4802465150859	3.36869471604493
chr4.2.9	lod_2	Chrom4-4528833	8.42769452609775	2.98132811279086
chr4.2.9	lod_2	Chrom4-8841221	20.6589289460521	5.1315254422276
chr4.2.9	lod_2	Chrom4-13378985	30.8486772224266	2.92943960633139
chr4.2.9	bayes	Chrom4-5566558	12.9851272657353	3.9549646790062
chr4.2.9	bayes	Chrom4-8841221	20.6589289460521	5.1315254422276
chr4.2.9	bayes	Chrom4-10844391	25.4017788689852	3.92550853483397
chr5	lod_1.5	Chrom5-17491557	19.4002920632425	4.82323937260051
chr5	lod_1.5	Chrom5-120745967	31.2121718431005	6.33933907764657
chr5	lod_1.5	Chrom5-127906088	41.9147535036144	4.36527795327063
chr5	lod_2	Chrom5-14987273	14.7757801394224	4.21132535376259
chr5	lod_2	Chrom5-120745967	31.2121718431005	6.33933907764657
chr5	lod_2	Chrom5-128008071	42.1365078583849	4.10945103821507
chr5	bayes	Chrom5-18913003	20.6838852789636	5.20476578331431
chr5	bayes	Chrom5-120745967	31.2121718431005	6.33933907764657
chr5	bayes	Chrom5-127748648	41.1534040796618	5.18567037884597
chr6	lod_1.5	Chrom6-105182592	49.5689857242217	2.87145740331911
chr6	lod_1.5	Chrom6-117495024	85.3612406842891	4.7107315473101
chr6	lod_1.5	Chrom6-119424603	89.3582831413172	3.92024241928775
chr6	lod_2	Chrom6-103179896	48.6473334604727	2.48539395804769
chr6	lod_2	Chrom6-117495024	85.3612406842891	4.7107315473101
chr6	lod_2	Chrom6-119424603	89.3582831413172	3.92024241928775
chr6	bayes	Chrom6-105337520	49.7745432855388	3.25090443038405
chr6	bayes	Chrom6-117495024	85.3612406842891	4.7107315473101
chr6	bayes	Chrom6-119424603	89.3582831413172	3.92024241928775
