chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-17869	0	2.39215587564877
chr2	lod_1.5	Chrom2-3181097	6.21256944877326	3.47555733371269
chr2	lod_1.5	Chrom2-9426462	20.235216397941	1.88302753112566
chr2	lod_2	Chrom2-17869	0	2.39215587564877
chr2	lod_2	Chrom2-3181097	6.21256944877326	3.47555733371269
chr2	lod_2	Chrom2-139334416	94.6579118819928	1.12840041036975
chr2	bayes	Chrom2-17869	0	2.39215587564877
chr2	bayes	Chrom2-3181097	6.21256944877326	3.47555733371269
chr2	bayes	Chrom2-138549058	92.6147952452788	1.67936688721568
chr6	lod_1.5	Chrom6-90810655	44.1159217254399	2.10484424157505
chr6	lod_1.5	Chrom6-112547270	69.5111468625853	3.856103375663
chr6	lod_1.5	Chrom6-118271451	87.6904224213103	2.23839085382207
chr6	lod_2	Chrom6-11497466	28.4226192440776	1.66063030210694
chr6	lod_2	Chrom6-112547270	69.5111468625853	3.856103375663
chr6	lod_2	Chrom6-118582428	88.5429054290649	1.84329515827505
chr6	bayes	Chrom6-13369426	33.0063829811282	2.27897185545032
chr6	bayes	Chrom6-112547270	69.5111468625853	3.856103375663
chr6	bayes	Chrom6-118271451	87.6904224213103	2.23839085382207
chr7	lod_1.5	Chrom7-6133822	20.0664682290051	3.53847606451166
chr7	lod_1.5	Chrom7-6397362	20.8467839601848	5.13376039227484
chr7	lod_1.5	Chrom7-6998223	23.8069671816653	3.54635435400218
chr7	lod_2	Chrom7-4584623	13.7324823070655	3.03870788363753
chr7	lod_2	Chrom7-6397362	20.8467839601848	5.13376039227484
chr7	lod_2	Chrom7-7535438	25.538308617141	2.9621793450969
chr7	bayes	Chrom7-5003812	15.283606177099	3.09848243385846
chr7	bayes	Chrom7-6397362	20.8467839601848	5.13376039227484
chr7	bayes	Chrom7-7163455	24.3242547487556	3.32825716804581
