chr	pos	lod
Chrom4-294403	4	0	4.18732806121159
Chrom4-449194	4	1.00000002822922e-07	4.18732806116518
Chrom4-878760	4	2.00000005645844e-07	4.18732806111883
Chrom4-556194	4	3.00000008468766e-07	4.18732806107248
Chrom4-777952	4	4.00000011291688e-07	4.18732806096743
Chrom4-724456	4	5.0000001411461e-07	4.18732806086232
Chrom4-18807	4	6.00000016937532e-07	4.18732806075727
Chrom4-674377	4	7.00000019760454e-07	4.18732806065216
Chrom4-192751	4	8.00000022583376e-07	4.18732806054704
Chrom4-608699	4	9.00000025406298e-07	4.18732806044199
Chrom4-398021	4	1.00000002822922e-06	4.18732806033711
Chrom4-929301	4	0.268193322754636	4.187043040577
Chrom4-987818	4	0.535871340374083	4.3715748952268
Chrom4-1105696	4	0.535871440374086	4.37157496269627
Chrom4-1054735	4	0.535871540374089	4.37157496278346
Chrom4-1209962	4	0.95328631156839	4.37193928609373
Chrom4-1158406	4	0.953286411568393	4.37193928618177
Chrom4-1313334	4	1.22956162526039	4.37217843437331
Chrom4-1414400	4	1.22956172526039	4.37217843445968
Chrom4-1471295	4	1.2295618252604	4.37217843454602
Chrom4-1543167	4	1.2295619252604	4.37217848585808
Chrom4-1594414	4	1.79544014738965	4.57598939641581
c4.loc2	4	2	4.56183544334481
Chrom4-1696624	4	2.0641165796382	4.55283108443724
Chrom4-1749121	4	2.4693762312902	4.44684530314348
Chrom4-1915354	4	2.4693763312902	4.44684530402811
Chrom4-1862458	4	2.4693764312902	4.44684534320103
Chrom4-2183942	4	2.9203601963729	4.60535628645819
Chrom4-2080230	4	2.9203602963729	4.60535628654461
Chrom4-2132765	4	2.9203603963729	4.60535628663198
Chrom4-2233943	4	3.42045794336328	4.76276024500229
Chrom4-2286647	4	3.83344884367456	5.36383816611704
Chrom4-2449114	4	3.83344894367456	5.36383829255976
Chrom4-2398186	4	3.83344904367457	5.36383829263781
c4.loc4	4	4	5.37709870610911
Chrom4-2552618	4	4.04686256344954	5.3808254695273
Chrom4-2609617	4	4.04686266344955	5.38082547747781
Chrom4-2718368	4	4.52629569308872	5.68456389459903
Chrom4-2770682	4	4.52629579308873	5.68456392864151
Chrom4-2661805	4	4.52629589308873	5.68456393646375
Chrom4-2932057	4	4.88039623773484	5.4406747007498
Chrom4-2988823	4	4.88039633773485	5.44067470858572
Chrom4-2881053	4	4.88039643773485	5.44067471642523
Chrom4-3047272	4	5.59116600836567	5.87945609063532
Chrom4-3147791	4	5.59116610836568	5.87945610084945
Chrom4-3203204	4	5.75428622195748	6.20383078641355
c4.loc6	4	6	6.34641271679774
Chrom4-3364144	4	6.01216782853793	6.34863981954768
Chrom4-3476373	4	6.20165161107983	6.46982730838475
Chrom4-3628628	4	6.6040143419735	6.50165389749579
Chrom4-3944090	4	7.13063189903886	6.50192769559962
Chrom4-3892624	4	7.13063199903886	6.50192769565044
Chrom4-3995080	4	7.45752533840427	6.50209215110993
Chrom4-4047248	4	7.45752543840427	6.50209215115942
Chrom4-4203621	4	7.78009363091359	6.50225023960716
c4.loc8	4	8	6.43929564399998
Chrom4-4261417	4	8.1021040053948	6.36217239544604
Chrom4-4368463	4	8.1021041053948	6.36217230588088
Chrom4-4311885	4	8.10210420539481	6.36217230504495
Chrom4-4478319	4	8.42769442609774	6.35755002551029
Chrom4-4528833	4	8.42769452609775	6.35755002350919
Chrom4-4581175	4	8.78874015957531	6.68154208542738
Chrom4-4632167	4	9.07096087028569	6.6788182125934
Chrom4-4682806	4	9.15483620593127	6.78269610552523
Chrom4-4939746	4	9.59439646997815	7.09074402506812
Chrom4-4837838	4	9.59439656997815	7.09074403193274
Chrom4-4786840	4	9.59439666997815	7.09074403879744
Chrom4-4735437	4	9.59439676997816	7.09074404566096
Chrom4-4992388	4	9.97287964320203	7.1247882839529
c4.loc10	4	10	7.12901963386199
Chrom4-5147442	4	11.607996249247	6.72465108709863
Chrom4-5256462	4	11.607996349247	6.72465109267715
Chrom4-5198038	4	11.607996449247	6.72465109825566
Chrom4-5095853	4	11.6079965492471	6.72465110383483
Chrom4-5310537	4	11.8116442976674	6.71177666176533
c4.loc12	4	12	6.6960820061788
Chrom4-5363427	4	12.4128677389317	6.64996972502631
Chrom4-5465190	4	12.6820339268685	6.28844117669769
Chrom4-5566558	4	12.9851272657353	6.30546984084874
Chrom4-5515458	4	12.9851273657353	6.30546984645548
Chrom4-5828052	4	13.4083689291682	6.69345503412136
Chrom4-5616622	4	13.4083690291682	6.69345503450968
c4.loc14	4	14	7.04067495422182
Chrom4-5986395	4	14.1021428112526	7.09305150908554
Chrom4-5932985	4	14.1021429112526	7.0930514928066
Chrom4-6201986	4	14.4469579316961	6.92704285053749
Chrom4-6144118	4	14.4469580316961	6.92704285097298
Chrom4-6092143	4	14.4469581316961	6.9270428514088
Chrom4-6378012	4	14.8110516505403	6.66142176163319
Chrom4-6483257	4	15.5092106341939	5.99457195413826
Chrom4-6534450	4	15.8256207667944	6.05869540904768
Chrom4-6584933	4	15.8256208667944	6.05869539158907
c4.loc16	4	16	5.90828563807847
Chrom4-6754016	4	16.561441147924	5.30380247278886
Chrom4-6856389	4	16.9442388208539	5.30537040173702
Chrom4-6958345	4	17.3006016037668	5.32202920342158
Chrom4-7181830	4	17.8457839081956	5.31727267875598
Chrom4-7079338	4	17.8457840081956	5.31727267919268
c4.loc18	4	18	5.36447457464957
Chrom4-7285108	4	18.2835630736535	5.41613148043002
Chrom4-7489448	4	18.2835631736535	5.41613149028327
Chrom4-7386210	4	18.2835632736535	5.41613149028092
Chrom4-7700052	4	18.8027139123365	5.41613149028327
Chrom4-7649914	4	18.8027140123365	5.41613149028326
Chrom4-7750757	4	19.0030593561805	5.41613149028326
Chrom4-7802253	4	19.1601270219354	5.41613149028326
Chrom4-7855311	4	19.3552233262615	5.57742839528942
Chrom4-8009430	4	19.9044294199444	5.79268993291636
Chrom4-7959245	4	19.9044295199444	5.79268993291716
c4.loc20	4	20	5.79268982359257
Chrom4-8113217	4	20.0606274132786	5.79268993291747
Chrom4-8266837	4	20.1786788128224	5.79268993291685
Chrom4-8684117	4	20.6589287460521	5.64379037812913
Chrom4-8963585	4	20.6589288460521	5.64379033784368
Chrom4-8841221	4	20.6589289460521	5.64379033784368
Chrom4-9067160	4	21.5438729282377	6.56859840504239
Chrom4-9016561	4	21.5438730282377	6.56859839242136
Chrom4-9172334	4	21.8358321697471	6.62536854796466
c4.loc22	4	22	6.59896257974084
Chrom4-9224589	4	22.0405303478374	6.59191434837719
Chrom4-9333675	4	22.2985229602038	6.55387972203266
