chr	pos	lod
Chrom2-18152921	2	37.3183999438742	3.8800051699605
Chrom2-18203006	2	37.6652814233168	3.94844647387782
Chrom2-18255877	2	37.718772362051	4.01754613460673
c2.loc38	2	38	4.50726293682681
Chrom2-18306916	2	38.1277539239129	4.66449975231342
Chrom2-18358950	2	38.1277540239129	4.66449985806696
Chrom2-18409093	2	38.1277541239129	4.66449990195775
Chrom2-18510654	2	38.4900950838706	4.23561092169723
Chrom2-18725615	2	39.1636414082186	4.28279670705496
Chrom2-18832578	2	39.2974645971716	4.37905208859098
c2.loc40	2	40	4.43561538715289
c2.loc42	2	42	4.27099807549968
Chrom2-23161770	2	42.4326536454264	4.16617938395984
c2.loc44	2	44	4.74952391859301
Chrom2-27175557	2	45.0973745747932	5.01588867548202
Chrom2-27330415	2	45.0973746747932	5.01588872157913
Chrom2-27433736	2	45.3359423038117	5.10160375557291
Chrom2-27489648	2	45.7534955468582	5.02475152004951
c2.loc46	2	46	4.80356067694328
Chrom2-27593319	2	46.0799575438947	4.7155931770522
Chrom2-27698966	2	46.0799576438947	4.71559317754907
Chrom2-28308525	2	46.8533127316258	4.39796916355169
Chrom2-28412378	2	46.8533128316258	4.39796916403714
Chrom2-28514142	2	46.9563805012083	4.48770654214314
Chrom2-28565881	2	46.9563806012083	4.48770650377338
Chrom2-28624495	2	47.3814663127683	4.11178830865111
c2.loc48	2	48	4.0173225128425
Chrom2-28905072	2	48.4660084266359	3.7831515947438
Chrom2-29226959	2	48.6122599754554	3.76588665112638
Chrom2-29332917	2	48.8740821515946	3.75664127366514
c2.loc50	2	50	3.96539289822675
Chrom2-29904562	2	50.2362752683606	4.13728379618726
Chrom2-30064018	2	50.3790079017688	4.1379111032237
Chrom2-30218803	2	50.4815128822797	3.80551568326337
Chrom2-30433425	2	50.6749262585608	3.80786180722248
Chrom2-30483829	2	50.868089595879	3.79219421451268
Chrom2-30849046	2	50.9964649978191	3.79277098248093
Chrom2-31358245	2	51.1511426359989	4.20352372147602
Chrom2-31409200	2	51.3047741106673	4.20430636867411
Chrom2-31513223	2	51.3047742106673	4.20430636918417
Chrom2-31668030	2	51.6142558718994	3.9511932093011
Chrom2-31775814	2	51.6142559718994	3.95119321330969
c2.loc52	2	52	4.17592226712969
Chrom2-31881209	2	52.0315374972805	4.1905309562942
Chrom2-31983247	2	52.1643777609904	4.33282512521333
Chrom2-32085957	2	52.4400242801231	4.60268070418266
Chrom2-32348968	2	52.8542497245098	4.60516231677616
Chrom2-32399374	2	52.8542498245098	4.6051623588636
Chrom2-32519903	2	53.2157371701485	4.68933452112049
Chrom2-32574600	2	53.2157372701485	4.68933452172996
Chrom2-32627703	2	53.575645089353	4.8667920637248
Chrom2-32781232	2	53.575645189353	4.8667920637248
Chrom2-32831874	2	53.575645289353	4.86679206372503
Chrom2-33355750	2	53.8759334592181	4.66854980794022
c2.loc54	2	54	4.66854991438043
Chrom2-33510074	2	54.1767211527966	4.66854980793988
Chrom2-33618532	2	54.29625580742	4.63505432077477
Chrom2-33720949	2	54.29625590742	4.63505437760489
Chrom2-33773706	2	54.5926761809634	4.77518018001348
Chrom2-33828381	2	54.5926762809634	4.77518019984956
Chrom2-33965696	2	54.7261808505609	4.78087459213322
Chrom2-34072150	2	54.8865464252014	4.69948958849113
Chrom2-34232929	2	55.1580414783971	4.61680538536427
Chrom2-34338495	2	55.1580415783971	4.61680562437942
Chrom2-34388777	2	55.4192376730009	5.42727791325643
Chrom2-34440350	2	55.6021761092847	5.43108722993139
Chrom2-34593589	2	55.9416856271949	5.85185508559914
Chrom2-34805081	2	55.9416857271949	5.8518551904815
c2.loc56	2	56	5.93844474012354
Chrom2-34910104	2	56.2769753688999	6.17072808457817
Chrom2-35193863	2	56.4988575713209	6.23838433240593
Chrom2-35551437	2	56.9472843713748	6.31258061151965
Chrom2-35656488	2	57.1134570667913	6.37016071283108
Chrom2-35756657	2	57.2801616813532	6.2778480075462
Chrom2-35972421	2	57.5387615589471	6.29607103349019
