chr	pos	lod
Chrom1-112330121	1	53.0064672089632	3.8132665943977
Chrom1-113008060	1	53.4327321036604	4.82490421290765
Chrom1-113112203	1	53.5259597454316	4.5994167628669
Chrom1-113167329	1	53.6283327857229	4.25656764114223
Chrom1-113218365	1	53.9231696467156	4.41039020636373
c1.loc54	1	54	4.443889486692
Chrom1-113322003	1	54.4223015622162	4.57302506647375
Chrom1-113422520	1	54.4223016622162	4.5730250664738
Chrom1-113576066	1	54.759063369229	4.53889523456456
Chrom1-113780650	1	54.759063469229	4.53889523456468
Chrom1-113936162	1	55.0680735334075	4.53889523456456
Chrom1-114353330	1	55.2218801394243	4.53889523456445
Chrom1-114409403	1	55.3756180131636	4.69811933890543
Chrom1-114511994	1	55.3756181131636	4.69811940201413
Chrom1-114772670	1	55.4771437345352	4.69811940201447
c1.loc56	1	56	4.87811530445344
Chrom1-115029927	1	56.0830419889183	4.86915787940916
Chrom1-115134316	1	56.2012352646029	4.86915787940916
Chrom1-115245443	1	56.4068580400199	4.86915787940916
Chrom1-115349709	1	56.4068581400199	4.86915787940922
Chrom1-115551454	1	56.5346424590995	4.74818981920714
Chrom1-115606027	1	56.9216474397811	4.76495724538626
Chrom1-115716576	1	56.9216475397811	4.76495724146719
Chrom1-116034887	1	57.0244710514173	4.76495724146719
Chrom1-117022097	1	57.1270914903887	4.81544527111629
Chrom1-117241720	1	57.2294527342076	4.81544527111629
Chrom1-117522189	1	57.4352751360499	5.51426140594549
Chrom1-117959962	1	57.4352752360499	5.51426140594549
Chrom1-118062249	1	57.4352753360499	5.51426140594549
Chrom1-118502226	1	57.5378256997597	5.32217934207836
Chrom1-119180827	1	57.6673901308554	5.30066465654545
c1.loc58	1	58	5.17751294337535
Chrom1-119335679	1	58.0257213091195	5.16179457495952
Chrom1-119387110	1	58.1549116180915	5.16179457495912
Chrom1-119592282	1	58.1549117180915	5.16179457495934
Chrom1-120069674	1	58.2574759051026	5.16179457495934
Chrom1-120436286	1	58.4632321068141	5.16179457495934
Chrom1-120549952	1	58.4632322068141	5.16179457495934
Chrom1-120652550	1	58.5872209960776	5.16179457495934
Chrom1-121283676	1	59.0440671168088	4.80248865866002
Chrom1-121334052	1	59.3110270289579	4.86964859389536
Chrom1-121384502	1	59.3701080943262	4.89382089000389
Chrom1-121435757	1	59.5039519767497	5.0101723237787
Chrom1-121539380	1	59.6979779156267	4.61623021813301
Chrom1-121805703	1	59.9729591052424	4.96881866980868
c1.loc60	1	60	4.96376116520776
Chrom1-121959926	1	60.1087456399895	4.93700381526094
Chrom1-122854954	1	60.5220280989218	4.3012068078051
Chrom1-123007270	1	60.9340376636462	4.26184264920767
Chrom1-123212824	1	60.9340377636462	4.2618426420824
Chrom1-123414383	1	61.1911224175004	4.23794732755448
Chrom1-123567103	1	61.4481945915442	4.13550059767283
Chrom1-124526980	1	61.8614668315148	4.00648252949441
Chrom1-124688940	1	61.8614815721045	4.00647762683775
c1.loc62	1	62	3.92913086464796
c2.loc16	2	16	3.76120455497619
Chrom2-7722875	2	16.5990409418859	3.98041248733409
Chrom2-7828235	2	17.0482162934954	4.07626554505561
Chrom2-7935148	2	17.1717607381977	4.0745652393702
Chrom2-8036322	2	17.1717608381977	4.07456524759141
Chrom2-8138062	2	17.8931138644137	4.06846627505632
Chrom2-8250900	2	17.8931139644137	4.06846621162543
c2.loc18	2	18	4.00179041685226
Chrom2-8312329	2	18.1700378629195	3.90280174009621
Chrom2-8362508	2	18.1700379629195	3.90280173260828
Chrom2-8534728	2	18.7298052779706	3.84690586916275
Chrom2-8693204	2	18.7298053779706	3.84690585672212
Chrom2-8750710	2	18.7298054779706	3.84690584428154
Chrom2-8958966	2	18.9760602724898	3.82513723594337
Chrom2-9010988	2	18.9760603724898	3.82513722061503
Chrom2-9737277	2	20.9642467005033	3.81499967266916
Chrom2-9840589	2	20.9642468005033	3.81499969304093
Chrom2-9951860	2	21.2915418990313	3.75644802917429
Chrom2-10008393	2	21.2915419990313	3.75644800916427
Chrom2-10317666	2	21.9894114689357	3.82382908530946
Chrom2-10367820	2	21.9894115689357	3.82382914630318
c2.loc22	2	22	3.82757521243195
Chrom2-10469968	2	22.3806756078318	3.93811276756577
Chrom2-10572884	2	22.6703595307429	3.82063868412558
Chrom2-11121830	2	23.7458696790007	3.75458415137115
Chrom2-11176246	2	23.7458697790007	3.75458416873477
Chrom2-11227156	2	23.7458698790007	3.75458426737924
Chrom2-11281495	2	23.8516417404039	3.85477899954117
c2.loc24	2	24	3.98014034155295
Chrom2-11332379	2	24.281027358325	4.16310009472176
Chrom2-11385837	2	24.281027458325	4.16310013879536
Chrom2-11436320	2	24.6458396999835	4.19867593082762
Chrom2-11538872	2	24.6458397999835	4.19867590478981
Chrom2-11641169	2	24.6458398999835	4.19867587252821
Chrom2-11808250	2	25.1410290711159	3.91399095967063
Chrom2-12015573	2	25.3189802638361	3.94556854345063
Chrom2-12121107	2	25.6790092917765	3.93645414420388
Chrom2-12223898	2	25.6790093917765	3.93645412837532
Chrom2-12329733	2	25.6790094917765	3.93645413276857
Chrom2-12432524	2	25.6790095917765	3.9364541107758
c2.loc26	2	26	3.76935862083417
Chrom2-12636116	2	26.2439647562251	3.79011505461841
Chrom2-12690566	2	26.6497154525311	3.88068707966926
Chrom2-12809533	2	26.6497155525311	3.8806870810792
Chrom2-12859749	2	26.6497156525311	3.88068708248892
Chrom2-12964373	2	27.0087755154938	3.96865827805078
Chrom2-13180456	2	27.1872850426893	3.97666632849507
Chrom2-13340518	2	27.3321294680469	3.94956092969289
Chrom2-13393879	2	27.623241172449	3.95030721558476
Chrom2-13446167	2	27.623241272449	3.95030720476882
c2.loc28	2	28	3.90801635734198
Chrom2-13702714	2	28.0398925699492	3.9033584687358
Chrom2-13815647	2	28.0398926699492	3.9033584494
Chrom2-13969238	2	28.8787770792329	3.75806933432438
Chrom2-14020217	2	29.0314166044306	3.75136007092772
Chrom2-14074666	2	29.0314167044306	3.75136006471558
Chrom2-14179797	2	29.0314168044306	3.7513599286932
