chr	interval	marker	pos	lod
chr6	lod_1.5	Chrom6-108895911	57.0868487623505	2.21330870229617
chr6	lod_1.5	Chrom6-113158052	71.1027055688265	3.97041806565834
chr6	lod_1.5	Chrom6-115591418	80.0108714498996	2.43840243535755
chr6	lod_2	Chrom6-107327690	53.060116580982	1.95566372478947
chr6	lod_2	Chrom6-113158052	71.1027055688265	3.97041806565834
chr6	lod_2	Chrom6-119424603	89.3582831413172	2.20871706030223
chr6	bayes	Chrom6-107659504	53.5453465933964	2.16583133741511
chr6	bayes	Chrom6-113158052	71.1027055688265	3.97041806565834
chr6	bayes	Chrom6-118009440	86.772287290584	2.28702399352523
chr8	lod_1.5	Chrom8-2315267	4.42262214311179	10.592448481542
chr8	lod_1.5	Chrom8-5150659	13.7323654168753	12.2130952325703
chr8	lod_1.5	Chrom8-6757981	17.5138280921898	10.3480357662648
chr8	lod_2	Chrom8-2159897	3.56816191215158	9.57302839321694
chr8	lod_2	Chrom8-5150659	13.7323654168753	12.2130952325703
chr8	lod_2	Chrom8-7253140	19.5399401578182	10.0248185978836
chr8	bayes	Chrom8-2416517	4.6315812319131	11.2313995027741
chr8	bayes	Chrom8-5150659	13.7323654168753	12.2130952325703
chr8	bayes	Chrom8-6346206	16.4472736446452	11.3236034683418
chr9	lod_1.5	Chrom9-78403	0	3.46415525833883
chr9	lod_1.5	Chrom9-1882153	3.61930201550683	4.69897874048375
chr9	lod_1.5	Chrom9-4078838	8.16515661702292	2.35532678594411
chr9	lod_2	Chrom9-78403	0	3.46415525833883
chr9	lod_2	Chrom9-1882153	3.61930201550683	4.69897874048375
chr9	lod_2	Chrom9-4078838	8.16515661702292	2.35532678594411
chr9	bayes	Chrom9-78403	0	3.46415525833883
chr9	bayes	Chrom9-1882153	3.61930201550683	4.69897874048375
chr9	bayes	Chrom9-3923208	7.87612706967191	3.48606818444865
