chr	interval	marker	pos	lod
chr2	lod_1.5	Chrom2-1236932	1.87198835322641	3.73108743964792
chr2	lod_1.5	Chrom2-129740274	77.6169868048368	5.55732494143575
chr2	lod_1.5	Chrom2-136800537	87.4376648736552	4.04017084549793
chr2	lod_2	Chrom2-550580	0.10197987531197	3.11913409158956
chr2	lod_2	Chrom2-129740274	77.6169868048368	5.55732494143575
chr2	lod_2	Chrom2-140052013	96.4938907432317	2.81484427060559
chr2	bayes	Chrom2-768406	0.545071631783923	3.743613333035
chr2	bayes	Chrom2-129740274	77.6169868048368	5.55732494143575
chr2	bayes	Chrom2-139926410	95.9445214017259	3.63147610499107
chr3	lod_1.5	Chrom3-7875722	14.493402758655	3.83629527366207
chr3	lod_1.5	Chrom3-113656415	60.8471573645268	5.85807758438938
chr3	lod_1.5	Chrom3-117515529	70.8006775916428	4.27246694635016
chr3	lod_2	Chrom3-7875722	14.493402758655	3.83629527366207
chr3	lod_2	Chrom3-113656415	60.8471573645268	5.85807758438938
chr3	lod_2	Chrom3-118461616	74.381830793741	3.41833907788902
chr3	bayes	Chrom3-8086481	15.0988946879327	4.49070419454949
chr3	bayes	Chrom3-113656415	60.8471573645268	5.85807758438938
chr3	bayes	Chrom3-118197135	73.3440233008232	4.21177422687543
chr4	lod_1.5	Chrom4-5465190	12.6820339268685	4.29111804295923
chr4	lod_1.5	Chrom4-9873879	23.6586776894954	5.84699882706616
chr4	lod_1.5	Chrom4-12633024	27.6658646877998	4.28121952690935
chr4	lod_2	Chrom4-5310537	11.8116442976674	3.6985073586518
chr4	lod_2	Chrom4-9873879	23.6586776894954	5.84699882706616
chr4	lod_2	Chrom4-13065911	28.6493296703628	3.41452585387469
chr4	bayes	Chrom4-5566558	12.9851272657353	4.85873967155214
chr4	bayes	Chrom4-9873879	23.6586776894954	5.84699882706616
chr4	bayes	Chrom4-11397134	26.4802465150859	4.70542033573224
chr6	lod_1.5	Chrom6-73270	0	2.47537872191009
chr6	lod_1.5	Chrom6-7521953	18.4244745240047	3.7037984788123
chr6	lod_1.5	Chrom6-9407204	23.4987949716381	2.16252725265588
chr6	lod_2	Chrom6-73270	0	2.47537872191009
chr6	lod_2	Chrom6-7521953	18.4244745240047	3.7037984788123
chr6	lod_2	Chrom6-118271451	87.6904224213103	1.61337312582071
chr6	bayes	Chrom6-73270	0	2.47537872191009
chr6	bayes	Chrom6-7521953	18.4244745240047	3.7037984788123
chr6	bayes	Chrom6-118009440	86.772287290584	1.97823005591118
chr7	lod_1.5	Chrom7-5819927	18.5740038155421	2.37497745706185
chr7	lod_1.5	Chrom7-10932292	30.1061945959168	4.07098792309699
chr7	lod_1.5	Chrom7-15624405	37.6723218856705	2.48377539149618
chr7	lod_2	Chrom7-3725583	10.6204912705596	2.05608576944746
chr7	lod_2	Chrom7-10932292	30.1061945959168	4.07098792309699
chr7	lod_2	Chrom7-39883975	45.162159194165	1.90391513352995
chr7	bayes	Chrom7-5977443	19.0670094733486	2.58801920207605
chr7	bayes	Chrom7-10932292	30.1061945959168	4.07098792309699
chr7	bayes	Chrom7-15469330	37.3970716790262	2.78062133208249
chr8	lod_1.5	Chrom8-99303951	55.9249568963309	2.15796393185224
chr8	lod_1.5	Chrom8-110015317	84.6793336650558	3.6783608938901
chr8	lod_1.5	Chrom8-110015317 	84.6793336650558	3.6783608938901
chr8	lod_2	Chrom8-95259455	51.176519073571	1.61987069128662
chr8	lod_2	Chrom8-110015317	84.6793336650558	3.6783608938901
chr8	lod_2	Chrom8-110015317 	84.6793336650558	3.6783608938901
chr8	bayes	Chrom8-96196375	52.9889892184857	2.05300821434537
chr8	bayes	Chrom8-110015317 	84.6793336650558	3.6783608938901
chr8	bayes	Chrom8-110015317	84.6793336650558	3.6783608938901
