chr	interval	marker	pos	lod
chr1	lod_1.5	Chrom1-17457715	40.2450241849802	8.91659652089945
chr1	lod_1.5	Chrom1-18053208	41.5868002923233	10.4701512118547
chr1	lod_1.5	Chrom1-27286572	48.5839635543164	8.7770405744774
chr1	lod_2	Chrom1-17198172	39.7475013564607	7.99844182150816
chr1	lod_2	Chrom1-18053208	41.5868002923233	10.4701512118547
chr1	lod_2	Chrom1-104096031	50.022325919725	8.16142226076808
chr1	bayes	Chrom1-17634061	40.8436629437429	9.71752009708759
chr1	bayes	Chrom1-18053208	41.5868002923233	10.4701512118547
chr1	bayes	Chrom1-25929840	48.1731453759963	9.69719557679441
chr8	lod_1.5	Chrom8-4833081	10.9999726629396	5.53256287138564
chr8	lod_1.5	Chrom8-44700904	41.0816556290401	7.52827447569913
chr8	lod_1.5	Chrom8-84093539	41.6974416005708	6.01154696549171
chr8	lod_2	Chrom8-3443071	6.3944882399706	5.16794440195349
chr8	lod_2	Chrom8-44700904	41.0816556290401	7.52827447569913
chr8	lod_2	Chrom8-84936295	42.3156153195737	4.35022786897416
chr8	bayes	Chrom8-4833081	10.9999726629396	5.53256287138564
chr8	bayes	Chrom8-44700904	41.0816556290401	7.52827447569913
chr8	bayes	Chrom8-84093539	41.6974416005708	6.01154696549171
chr9	lod_1.5	Chrom9-1250222	1.0026334724508	2.40824035417711
chr9	lod_1.5	Chrom9-2037707	4.13020527371939	4.52787675756829
chr9	lod_1.5	Chrom9-4078838	8.16515661702292	2.65665514373957
chr9	lod_2	Chrom9-1250222	1.0026334724508	2.40824035417711
chr9	lod_2	Chrom9-2037707	4.13020527371939	4.52787675756829
chr9	lod_2	Chrom9-4131929	9.14825760706946	1.80425856217444
chr9	bayes	Chrom9-1407915	1.37552578167463	3.04204292025831
chr9	bayes	Chrom9-2037707	4.13020527371939	4.52787675756829
chr9	bayes	Chrom9-3490865	7.0493859629238	3.1216059676221
